ID	Color	Type	Ability	Price	Gold	Cash	Honor	Exploit	Munition	ResolveSoulPoints	SoulPointsCost	Prestige	URL	ComposeNum	RefiningExp	ItemCompose	
Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	String	Int	Int	Int	
20000.000	2.000	1.000	60.000	400.000	800.000	2.000	10.000	10.000	10.000	0.000	10.000	10.000	LuRong				
20001.000	3.000	1.000	300.000	1200.000	2400.000	8.000	40.000	40.000	40.000	0.000	40.000	40.000	XueLian				
20002.000	4.000	1.000	1500.000	4000.000	8000.000	32.000	160.000	160.000	160.000	0.000	160.000	160.000	LingZhi				
20003.000	2.000	2.000		20000.000	40000.000	15.000	255.000	255.000	255.000	0.000	255.000	255.000	FeiCui				
20004.000	4.000	2.000		500000.000	1000000.000	32.000	572.000	572.000	572.000	0.000	572.000	572.000	YeMingZhu				
20005.000	3.000	2.000		50000.000	1000000.000	25.000	425.000	425.000	425.000	0.000	425.000	425.000	HuPo				
20006.000	1.000	2.000		5000.000	10000.000	5.000	85.000	85.000	85.000	0.000	85.000	85.000	MaNao				
20007.000	2.000	8.000	10.000	600.000	1200.000	1.000	25.000	25.000	25.000	0.000	25.000	25.000	TongJing		10.000		
20008.000	3.000	8.000	60.000	3000.000	6000.000	5.000	125.000	125.000	125.000	0.000	125.000	125.000	XuanTie		60.000		
20009.000	4.000	8.000	200.000	8000.000	16000.000	13.000	325.000	325.000	325.000	0.000	325.000	325.000	ZiJin		200.000		
20010.000	3.000	6.000		100.000	200.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	SaoDangLing				
20011.000	3.000	7.000	30.000	-1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	KaoRou				
20012.000	4.000	5.000		-1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	ShenMiBaoXiang				
20013.000	2.000	5.000		-1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	LvZhuangBaoXiang				
20014.000	3.000	5.000		-1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	LanZhuangBaoXiang				
20015.000	4.000	5.000		-1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	ZiZhuangBaoXiang				
20016.000	4.000	5.000		-1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	TaoYuanJieYiBaoXiang				
20017.000	4.000	5.000		-1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	JiangHunBaoXiang				
20018.000	3.000	9.000	10.000	-1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	MiJiJuanZhou				
20019.000	3.000	5.000		-1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	ShenMiBaoXiang				
20020.000	3.000	5.000		-1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	ZiZhuangBaoXiang				
90101.000	3.000	3.000		4000.000	20000.000	40.000	100.000	100.000	100.000	50.000	100.000	100.000	gyu_01	80.000			
90102.000	3.000	3.000		4000.000	20000.000	40.000	100.000	100.000	100.000	50.000	100.000	100.000	zfei_01	80.000			
90103.000	3.000	3.000		4000.000	20000.000	120.000	300.000	300.000	300.000	50.000	100.000	100.000	zgliang_01	80.000			
90104.000	3.000	3.000		4000.000	20000.000	40.000	100.000	100.000	100.000	50.000	100.000	100.000	hzhong_01	80.000			
90105.000	3.000	3.000		4000.000	20000.000	40.000	100.000	100.000	100.000	50.000	100.000	100.000	xqiao_01	80.000			
90106.000	3.000	3.000		4000.000	20000.000	40.000	100.000	100.000	100.000	50.000	100.000	100.000	dchan_01	80.000			
90107.000	3.000	3.000		4000.000	20000.000	120.000	300.000	300.000	300.000	50.000	100.000	100.000	gjia_01	80.000			
90108.000	3.000	3.000		4000.000	20000.000	40.000	100.000	100.000	100.000	50.000	100.000	100.000	zyu_01	80.000			
90109.000	3.000	3.000		4000.000	20000.000	40.000	100.000	100.000	100.000	50.000	100.000	100.000	ssxiang_01	80.000			
90110.000	3.000	3.000		4000.000	20000.000	40.000	100.000	100.000	100.000	50.000	100.000	100.000	zji_01	10.000			
90111.000	3.000	3.000		4000.000	20000.000	120.000	300.000	300.000	300.000	50.000	100.000	100.000	lbu_01	80.000			
90112.000	3.000	3.000		4000.000	20000.000	40.000	100.000	100.000	100.000	50.000	100.000	100.000	jxu_01	80.000			
90113.000	3.000	3.000		4000.000	20000.000	40.000	100.000	100.000	100.000	50.000	100.000	100.000	xhdun_01	80.000			
90114.000	3.000	3.000		4000.000	20000.000	120.000	300.000	300.000	300.000	50.000	100.000	100.000	zyun_01	30.000			
90115.000	3.000	3.000		4000.000	20000.000	40.000	100.000	100.000	100.000	50.000	100.000	100.000	dzhuo_01	10.000			
90116.000	3.000	3.000		4000.000	20000.000	40.000	100.000	100.000	100.000	50.000	100.000	100.000	gning_01	30.000			
90117.000	3.000	3.000		4000.000	20000.000	40.000	100.000	100.000	100.000	50.000	100.000	100.000	zhe_01	30.000			
90118.000	3.000	3.000		4000.000	20000.000	40.000	100.000	100.000	100.000	50.000	100.000	100.000	yliang_01	30.000			
90119.000	3.000	3.000		4000.000	20000.000	40.000	100.000	100.000	100.000	50.000	100.000	100.000	tsci_01	80.000			
90120.000	3.000	3.000		4000.000	20000.000	40.000	100.000	100.000	100.000	50.000	100.000	100.000	zliao_01	80.000			
90121.000	3.000	3.000		4000.000	20000.000	40.000	100.000	100.000	100.000	50.000	100.000	100.000	lbei_01	10.000			
90122.000	3.000	3.000		4000.000	20000.000	40.000	100.000	100.000	100.000	50.000	100.000	100.000	gning_01	10.000			
90123.000	3.000	3.000		4000.000	20000.000	40.000	100.000	100.000	100.000	50.000	100.000	100.000	gning_01	80.000			
90124.000	3.000	3.000		4000.000	20000.000	40.000	100.000	100.000	100.000	50.000	100.000	100.000	cren_01	80.000			
90125.000	3.000	3.000		4000.000	20000.000	40.000	100.000	100.000	100.000	50.000	100.000	100.000	dqiao_01	80.000			
90126.000	3.000	3.000		4000.000	20000.000	40.000	100.000	100.000	100.000	50.000	100.000	100.000	gning_01	30.000			
90127.000	3.000	3.000		4000.000	20000.000	40.000	100.000	100.000	100.000	50.000	100.000	100.000	mliang_01	30.000			
90128.000	3.000	3.000		4000.000	20000.000	40.000	100.000	100.000	100.000	50.000	100.000	100.000	gning_01	10.000			
