ID	Money	Item1	Number1	Item2	Number2	
Int	Int	Int	Int	Int	Int	
100000.000	305.000	11301.000	1.000			
100001.000	310.000	11101.000	1.000	11201.000	1.000	
100002.000	315.000	11501.000	1.000			
100003.000	320.000	11401.000	1.000	11601.000	1.000	
100004.000	325.000	12301.000	1.000	12101.000	1.000	
100005.000	330.000	12201.000	1.000			
100006.000	335.000	12501.000	1.000	12601.000	1.000	
100007.000	340.000	12401.000	1.000			
100008.000	345.000	13301.000	1.000	13501.000	1.000	
100009.000	350.000	13101.000	1.000			
100010.000	355.000	13401.000	1.000	13601.000	1.000	
100011.000	360.000	13201.000	1.000			
100012.000	365.000	12301.000	1.000	12101.000	1.000	
100013.000	370.000	12201.000	1.000			
100014.000	375.000	12501.000	1.000	12401.000	1.000	
100015.000	380.000	12601.000	1.000			
100016.000	385.000	12301.000	1.000	12101.000	1.000	
100017.000	390.000	12201.000	1.000			
100018.000	395.000	12501.000	1.000	12401.000	1.000	
100019.000	400.000	12601.000	1.000			
100020.000	405.000	11302.000	1.000	11102.000	1.000	
100021.000	410.000	11202.000	1.000			
100022.000	415.000	11502.000	1.000	11402.000	1.000	
100023.000	420.000	11602.000	1.000			
100024.000	425.000	12302.000	1.000	12202.000	1.000	
100025.000	430.000	12102.000	1.000			
100026.000	435.000	12502.000	1.000	12602.000	1.000	
100027.000	440.000	12402.000	1.000			
100028.000	445.000	13302.000	1.000	13202.000	1.000	
100029.000	450.000	13502.000	1.000			
100030.000	455.000	12302.000	1.000	12102.000	1.000	
100031.000	460.000	12502.000	1.000			
100032.000	465.000	13102.000	1.000	13602.000	1.000	
100033.000	470.000	13402.000	1.000			
100034.000	475.000	12202.000	1.000	12402.000	1.000	
100035.000	480.000	12602.000	1.000			
100036.000	485.000	12302.000	1.000			
100037.000	490.000	12102.000	1.000			
100038.000	495.000	12502.000	1.000			
100039.000	500.000	12202.000	1.000			
100040.000	505.000	12402.000	1.000			
100041.000	510.000	12602.000	1.000			
100042.000	515.000	11502.000	1.000			
100043.000	520.000	11402.000	1.000			
100044.000	525.000	11602.000	1.000			
100045.000	530.000	11103.000	1.000			
