Resistance	ResistanceRate	
Int	Float	
1.000	0.000	
3.000	0.010	
6.000	0.020	
9.000	0.030	
12.000	0.040	
15.000	0.050	
19.000	0.060	
23.000	0.070	
26.000	0.080	
31.000	0.090	
35.000	0.100	
40.000	0.110	
45.000	0.120	
50.000	0.130	
56.000	0.140	
63.000	0.150	
70.000	0.160	
77.000	0.170	
86.000	0.180	
95.000	0.190	
105.000	0.200	
116.000	0.210	
128.000	0.220	
142.000	0.230	
158.000	0.240	
175.000	0.250	
196.000	0.260	
219.000	0.270	
247.000	0.280	
280.000	0.290	
321.000	0.300	
370.000	0.310	
433.000	0.320	
515.000	0.330	
627.000	0.340	
788.000	0.350	
1042.000	0.360	
1499.000	0.370	
2566.000	0.380	
7899.000	0.390	
35812.000	0.400	
