ID	Power	Intelligence	Agility	MaxHealth	Physic	Magic	Armor	Resistance	Crit	HealthRecovery	EnergyRecovery	BloodLevel	OffsetArmor	OffsetResistance	AddCure	Dodge	AttackRange	AttackCD	
Int	Float	Float	Float	Float	Float	Float	Float	Float	Float	Float	Float	Float	Float	Float	Float	Float	Int	Float	
1003001.000	1.000	1.000	1.000	99.225	28.560	8.400	2.100	0.700	55.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.000	1.400	
1006001.000	1.000	1.000	1.000	113.190	36.400	7.000	2.940	1.120	55.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.000	1.400	
1001001.000	1.000	1.000	1.000	110.250	16.800	8.400	2.100	0.700	55.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.000	1.400	
1009001.000	1.000	1.000	1.000	88.200	20.160	8.400	2.100	0.700	55.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	9.000	1.400	
1011001.000	1.000	1.000	1.000	77.175	21.840	8.400	2.100	0.700	55.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	9.000	1.400	
1990001.000	1.000	1.000	1.000	251.040	17.790	13.535	9.455	3.315	55.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.000	1.300	
1006002.000	1.000	1.000	1.000	181.913	40.950	7.875	3.308	1.260	55.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.000	1.400	
1001002.000	1.000	1.000	1.000	165.375	18.900	18.900	4.725	0.787	55.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.000	1.400	
1003002.000	1.000	1.000	1.000	148.838	32.130	18.900	4.725	0.787	55.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.000	1.400	
1011002.000	1.000	1.000	1.000	115.763	24.570	18.900	4.725	0.787	55.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	9.000	1.400	
1026002.000	1.000	1.000	1.000	73.001	36.225	11.813	4.158	0.551	55.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	9.000	1.400	
1990002.000	1.000	1.000	1.000	203.383	18.023	18.782	8.983	4.461	55.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	9.000	1.300	
1001003.000	1.000	1.000	1.000	183.750	21.000	21.000	5.250	0.875	55.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.000	1.400	
1003003.000	1.000	1.000	1.000	165.375	35.700	21.000	5.250	0.875	55.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.000	1.400	
1006003.000	1.000	1.000	1.000	202.125	45.500	8.750	3.675	1.400	55.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.000	1.400	
1011003.000	1.000	1.000	1.000	128.625	27.300	21.000	5.250	0.875	55.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	9.000	1.400	
1009003.000	1.000	1.000	1.000	147.000	25.200	21.000	5.250	0.875	55.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	9.000	1.400	
1990003.000	1.000	1.000	1.000	196.631	24.162	20.731	10.044	4.938	55.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.000	1.300	
1003004.000	1.000	1.000	1.000	181.912	39.270	23.100	5.775	0.963	55.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.000	1.400	
1006004.000	1.000	1.000	1.000	222.338	50.050	9.625	4.043	1.540	55.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.000	1.400	
1009004.000	1.000	1.000	1.000	161.700	27.720	23.100	5.775	0.963	55.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	9.000	1.400	
1001004.000	1.000	1.000	1.000	202.125	23.100	23.100	5.775	0.963	55.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.000	1.400	
1026004.000	1.000	1.000	1.000	89.224	44.275	14.438	5.082	0.674	55.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	9.000	1.400	
1011004.000	1.000	1.000	1.000	141.488	30.030	23.100	5.775	0.963	55.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	9.000	1.400	
1990004.000	1.000	1.000	1.000	304.611	24.049	20.137	12.148	4.984	55.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	9.000	1.300	
1003005.000	1.000	1.000	1.000	198.450	42.840	25.200	6.300	1.050	55.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.000	1.400	
1026005.000	1.000	1.000	1.000	97.335	48.300	15.750	5.544	0.735	55.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	9.000	1.400	
1102005.000	1.000	1.000	1.000	287.392	20.188	14.861	10.699	3.578	55.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.000	1.300	
1101005.000	1.000	1.000	1.000	282.842	20.897	12.797	11.149	2.931	55.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.000	1.300	
1990005.000	1.000	1.000	1.000	357.585	26.018	19.290	13.845	4.620	55.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.000	1.300	
1001006.000	1.000	1.000	1.000	238.875	27.300	27.300	6.825	1.138	55.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.000	1.400	
1003006.000	1.000	1.000	1.000	214.987	46.410	27.300	6.825	1.138	55.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.000	1.400	
1026006.000	1.000	1.000	1.000	105.446	52.325	17.063	6.006	0.796	55.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	9.000	1.400	
1006006.000	1.000	1.000	1.000	262.763	59.150	11.375	4.777	1.820	55.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.000	1.400	
1011006.000	1.000	1.000	1.000	167.213	35.490	27.300	6.825	1.138	55.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	9.000	1.400	
1009006.000	1.000	1.000	1.000	191.100	32.760	27.300	6.825	1.138	55.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	9.000	1.400	
1990006.000	1.000	1.000	1.000	376.529	27.503	21.604	14.722	5.289	55.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.000	1.300	
