ID	HardLevel	LevelLimit	Exp	Tickets	Cost	URL	Layout	MonsterStar	MonsterRank	monster1	monster2	monster3	monster4	monster5	monster6	monster7	monster8	monster9	monster10	monster11	monster12	monster13	monster14	monster15	music	MissionTalk	
Int	Int	Int	Int	Int	Int	String	String	Int	Int	String	String	String	String	String	String	String	String	String	String	String	String	String	String	String	String	String	
100000.000	1.000		30.000	-1.000	6.000	taohuayuan_done	baitian_01	1.000	1.000	1003001.000	1006001.000				1001001.000	1009001.000				1003001.000	1011001.000			1990001.000	ZhanDou_03		
100001.000	1.000		32.000	-1.000	6.000	zhulinzhizhan_done	yewan_02	1.000	1.000	1006002.000	1001002.000				1003002.000	1011002.000				1006002.000	1026002.000	1026002.000		1990002.000	ZhanDou_03	1-2guan	
100002.000	1.000		34.000	-1.000	6.000	hebianjunying_done	yewan_01	1.000	1.000	1001003.000	1003003.000				1006003.000	1006003.000	1011003.000			1001003.000	1009003.000	1009003.000		1990003.000	ZhanDou_01	1-3guan	
100003.000	1.000		36.000	-1.000	6.000	wulinzhizhan_done	yewan_01	1.000	1.000	1003004.000	1006004.000	1009004.000			1001004.000	1009004.000	1026004.000			1003004.000	1011004.000	1011004.000		1990004.000	ZhanDou_02	1-4guan	
100004.000	1.000		38.000	-1.000	6.000	shamo_done	baitian_01	1.000	1.000	1003005.000	1003005.000				1003005.000	1026005.000						1102005.000	1101005.000	1990005.000	ZhanDou_02	1-5guan	
100005.000	1.000		40.000	-1.000	6.000	taohuayuan_done	yewan_03	1.000	1.000	1001006.000	1003006.000	1026006.000			1006006.000	1026006.000	1011006.000	1011006.000		1001006.000	1009006.000	1009006.000	1009006.000	1990006.000	ZhanDou_03	1-6guan	
100006.000	1.000		42.000	-1.000	6.000	hebianjunying_done	baitian_02	1.000	1.000	1001007.000	1009007.000	1011007.000	1011007.000		1001007.000	1009007.000	1026007.000	1026007.000		1003007.000	1011007.000	1011007.000	1011007.000	1990007.000	ZhanDou_01	1-7guan	
100007.000	1.000		44.000	-1.000	6.000	zhulinzhizhan_done	baitian_01	1.000	1.000	1006008.000	1001008.000	1011008.000	1011008.000		1003008.000	1009008.000	1006008.000	1011008.000		1006008.000	1026008.000	1026008.000		1990008.000	ZhanDou_01	1-8guan	
100008.000	1.000		46.000	-1.000	6.000	chengmenzhizhan_done	baitian_04	1.000	1.000	1001009.000	1003009.000	1026009.000	1026009.000		1006009.000	1026009.000	1011009.000			1006009.000	1026009.000	1026009.000		1990009.000	ZhanDou_01	1-9guan	
100009.000	1.000		51.000	-1.000	6.000	wulinzhizhan_done	yewan_01	1.000	2.000	1001010.000	1009010.000	1009010.000			1003010.000	1003010.000	1026010.000			1026010.000	1026010.000		1133010.000	1990010.000	ZhanDou_03	1-10guan	
100010.000	1.000		56.000	-1.000	6.000	zhulinzhizhan_done	baitian_05	1.000	2.000	1003011.000	1003011.000	1023011.000			1015011.000	1015011.000	1015011.000	1023011.000		1026011.000	1026011.000	1026011.000		1990011.000	ZhanDou_01	2-1guan	
100011.000	1.000		61.000	-1.000	6.000	hebianjunying_done	baitian_05	1.000	2.000	1025012.000	1026012.000	1026012.000	1026012.000		1025012.000	1025012.000	1013012.000	1013012.000		1014012.000	1013012.000		1113012.000	1990012.000	ZhanDou_03	2-2guan	
100012.000	1.000		66.000	-1.000	6.000	xiagu_done	yewan_07	1.000	2.000	1005013.000	1010013.000	1010013.000			1005013.000	1005013.000	1010013.000	1010013.000		1013013.000	1013013.000	1003013.000		1990013.000	ZhanDou_01	2-3guan	
100013.000	1.000		71.000	-1.000	6.000	chengmenzhizhan_done	baitian_02	1.000	2.000	1008014.000	1026014.000	1026014.000			1008014.000	1003014.000	1026014.000			1001014.000	1011014.000	1011014.000		1990014.000	ZhanDou_03	2-4guan	
100014.000	1.000		76.000	-1.000	6.000	xiagu_done	baitian_04	1.000	2.000	1018015.000	1011015.000	1011015.000			1001015.000	1001015.000	1026015.000	1026015.000		1020015.000	1023015.000		1135015.000	1990015.000	ZhanDou_02	2-5guan	
100015.000	1.000		81.000	-1.000	6.000	zhulinzhizhan_done	yewan_04	1.000	2.000	1003016.000	1010016.000	1010016.000			1003016.000	1003016.000	1023016.000	1023016.000		1003016.000	1013016.000	1013016.000		1990016.000	ZhanDou_03	2-6guan	
100016.000	1.000		86.000	-1.000	6.000	chengmenzhizhan_done	baitian_04	1.000	2.000	1004017.000	1009017.000	1009017.000			1004017.000	1014017.000	1014017.000			1013017.000	1013017.000	1003017.000		1990017.000	ZhanDou_03	2-7guan	
100017.000	1.000		91.000	-1.000	6.000	taohuayuan_done	yewan_04	1.000	2.000	1018018.000		1016018.000	1016018.000		1005018.000	1010018.000			1135018.000	1021018.000		1026018.000	1120018.000	1990018.000	ZhanDou_02	2-8guan	
100018.000	1.000		96.000	-1.000	6.000	hebianjunying_done	baitian_04	1.000	2.000	1025019.000	1006019.000	1010019.000	1010019.000		1022019.000	1023019.000	1023019.000	1023019.000		1013019.000		1106019.000	1111019.000	1990019.000	ZhanDou_01	2-9guan	
100019.000	1.000		101.000	-1.000	6.000	hebianjunying_done	yewan_01	1.000	3.000	1005020.000	1005020.000	1020020.000	1020020.000		1008020.000	1016020.000				1012020.000		1120020.000	1106020.000	1990020.000	ZhanDou_01	2-10guan	
100020.000	1.000		106.000	-1.000	6.000	chengmenzhizhan_done	baitian_03	2.000	3.000	1006021.000	1026021.000	1026021.000			1001021.000	1001021.000				1014021.000	1014021.000			1990021.000	ZhanDou_02	3-1guan	
100021.000	1.000		111.000	-1.000	6.000	wulinzhizhan_done	yewan_06	2.000	3.000	1021022.000	1021022.000	1020022.000			1027022.000	1020022.000			1106022.000	1009022.000	1009022.000	1009022.000		1990022.000	ZhanDou_03	3-2guan	
100022.000	1.000		116.000	-1.000	6.000	zhulinzhizhan_done	baitian_03	2.000	3.000	1001023.000	1024023.000	1024023.000			1010023.000	1010023.000	1024023.000		1131023.000	1012023.000			1119023.000	1990023.000	ZhanDou_02	3-3guan	
100023.000	1.000		121.000	-1.000	6.000	shamo_done	yewan_04	2.000	3.000	1002024.000	1026024.000	1026024.000	1026024.000		1007024.000	1026024.000	1026024.000	1026024.000		1007024.000	1007024.000	1009024.000	1009024.000	1990024.000	ZhanDou_03	3-4guan	
100024.000	1.000		126.000	-1.000	6.000	zhulinzhizhan_done	yewan_05	2.000	3.000	1022025.000	1026025.000	1026025.000			1006025.000	1026025.000	1026025.000	1026025.000		1026025.000		1026025.000	1111025.000	1990025.000	ZhanDou_03	3-5guan	
100025.000	1.000		131.000	-1.000	6.000	zhulinzhizhan_done	baitian_02	2.000	3.000	1008026.000	1023026.000	1023026.000	1023026.000		1008026.000	1003026.000	1023026.000	1023026.000		1023026.000	1003026.000		1106026.000	1990026.000	ZhanDou_02	3-6guan	
100026.000	1.000		136.000	-1.000	6.000	zhulinzhizhan_done	baitian_03	2.000	3.000	1006027.000	1014027.000	1014027.000			1008027.000	1012027.000	1012027.000			1012027.000	1012027.000		1111027.000	1990027.000	ZhanDou_01	3-7guan	
100027.000	1.000		141.000	-1.000	6.000	taohuayuan_done	yewan_04	2.000	3.000	1021028.000	1003028.000	1009028.000	1009028.000		1003028.000	1009028.000	1009028.000		1113028.000	1021028.000	1003028.000	1009028.000	1009028.000	1990028.000	ZhanDou_01	3-8guan	
100028.000	1.000		146.000	-1.000	6.000	chengmenzhizhan_done	baitian_02	2.000	3.000	1018029.000	1013029.000	1013029.000	1013029.000		1018029.000	1026029.000	1026029.000	1026029.000		1026029.000	1026029.000		1135029.000	1990029.000	ZhanDou_02	3-9guan	
