ID	Gold	Cash	Honor	Exploit	Prestige	
Int	Int	Int	Int	Int	Int	
11101.000	52.000					
11102.000	52.000					
11103.000	52.000					
11104.000	52.000					
11105.000	150.000					
11106.000	150.000					
11107.000	150.000					
11108.000	150.000					
11201.000	174.000					
11202.000	184.000					
11203.000	184.000					
11204.000	200.000					
11205.000	224.000					
11206.000	324.000					
11207.000	350.000					
11208.000	440.000					
11301.000	450.000					
11302.000	450.000					
11303.000	450.000					
11304.000	450.000					
11305.000	450.000					
11306.000	450.000					
11307.000	456.000					
11308.000	456.000					
11401.000	470.000					
11402.000	470.000					
11403.000	484.000					
11404.000	484.000					
11405.000	500.000					
11406.000	500.000					
11501.000	524.000					
11502.000	524.000					
11503.000	550.000					
11504.000	550.000					
11505.000	550.000					
11506.000	602.000					
11601.000	800.000					
11602.000	802.000					
11603.000	874.000					
11604.000	874.000					
11605.000	900.000					
11606.000	900.000					
12101.000	950.000					
12102.000	984.000					
12103.000	1000.000					
12104.000	1000.000					
12105.000	1000.000					
12106.000	1074.000					
12107.000	1100.000					
12108.000	1200.000					
12201.000	1350.000					
12202.000	1400.000					
12203.000	1400.000					
12204.000	1400.000					
12205.000	1450.000					
12206.000	1674.000					
12207.000	1750.000					
12208.000	1774.000					
12301.000	1850.000					
12302.000	1900.000					
12303.000	2050.000	11.000	55.000	55.000		
12304.000	2050.000	12.000	60.000	60.000		
12305.000	2050.000	15.000	75.000	75.000		
12306.000	2050.000	15.000	75.000	75.000		
12307.000	2124.000	12.000	60.000	60.000		
12308.000	2224.000	12.000	60.000	60.000		
12401.000	2306.000	13.000	65.000	65.000		
12402.000	3200.000	23.000	115.000	115.000		
12403.000	3300.000	18.000	90.000	90.000		
12404.000	4100.000	27.000	135.000	135.000		
12405.000	4200.000	27.000	135.000	135.000		
12406.000	4612.000	29.000	145.000	145.000		
12501.000	5000.000	18.000	90.000	90.000		
12502.000	5050.000	35.000	175.000	175.000		
12503.000	6000.000	19.000	95.000	95.000		
12504.000	7000.000	25.000	125.000	125.000		
12505.000	7000.000	25.000	125.000	125.000		
12506.000	7000.000	37.000	185.000	185.000		
12601.000	7500.000	26.000	130.000	130.000		
12602.000	8000.000	26.000	130.000	130.000		
12603.000	8000.000	26.000	130.000	130.000		
12604.000	8000.000	32.000	160.000	160.000		
12605.000	8874.000	38.000	190.000	190.000		
12606.000	8900.000	44.000	220.000	220.000		
13101.000	10350.000	51.000	255.000	255.000		
13102.000	11450.000	56.000	280.000	280.000		
13103.000	11450.000	56.000	280.000	280.000		
13104.000	13950.000	69.000	345.000	345.000		
13105.000	14350.000	89.000	445.000	445.000		
13106.000	14500.000	91.000	455.000	455.000		
13107.000	14750.000	79.000	395.000	395.000		
13108.000	15000.000	72.000	360.000	360.000		
13201.000	17950.000	130.000	650.000	650.000		
13202.000	18850.000	151.000	755.000	755.000		
13203.000	20728.000	168.000	840.000	840.000		
13204.000	21000.000	163.000	815.000	815.000		
13205.000	21470.000	130.000	650.000	650.000		
13206.000	22200.000	143.000	715.000	715.000		
13207.000	24000.000	180.000	900.000	900.000		
13208.000	27000.000	209.000	1045.000	1045.000		
13301.000	28000.000	181.000	905.000	905.000		
13302.000	29000.000	191.000	955.000	955.000		
13303.000	29224.000	243.000	1215.000	1215.000		
13304.000	30950.000	216.000	1080.000	1080.000		
13305.000	36000.000	265.000	1325.000	1325.000		
13306.000	36050.000	291.000	1455.000	1455.000		
13307.000	40450.000	276.000	1380.000	1380.000		
13308.000	40924.000	336.000	1680.000	1680.000		
13401.000	42050.000	361.000	1805.000	1805.000		
13402.000	42940.000	333.000	1665.000	1665.000		
13403.000	46000.000	391.000	1955.000	1955.000		
13404.000	47500.000	389.000	1945.000	1945.000		
13405.000	49250.000	398.000	1990.000	1990.000		
13406.000	54550.000	423.000	2115.000	2115.000		
13501.000	55450.000	502.000	2510.000	2510.000		
13502.000	59000.000	492.000	2460.000	2460.000		
13503.000	70700.000	594.000	2970.000	2970.000		
13504.000	74000.000	666.000	3330.000	3330.000		
13505.000	76000.000	646.000	3230.000	3230.000		
13506.000	87850.000	792.000	3960.000	3960.000		
13601.000	88874.000	689.000	3445.000	3445.000		
13602.000	89100.000	774.000	3870.000	3870.000		
13603.000	93950.000	837.000	4185.000	4185.000		
13604.000	102900.000	900.000	4500.000	4500.000		
13605.000	105438.000	974.000	4870.000	4870.000		
13606.000	110130.000	1043.000	5218.000	5218.000		
20000.000	800.000	2.000	10.000	10.000		
20001.000	2400.000	8.000	40.000	40.000		
20002.000	8000.000	32.000	160.000	160.000		
20003.000	40000.000	15.000	255.000	255.000		
20004.000	1000000.000	32.000	572.000	572.000		
20005.000	1000000.000	25.000	425.000	425.000		
20006.000	10000.000	5.000	85.000	85.000		
20007.000	1200.000	1.000	25.000	25.000		
20008.000	6000.000	5.000	125.000	125.000		
20009.000	16000.000	13.000	325.000	325.000		
20010.000	200.000					
90101.000	20000.000	40.000	100.000	100.000		
90102.000	20000.000	40.000	100.000	100.000		
90103.000	20000.000	40.000	100.000	100.000		
90104.000	20000.000	40.000	100.000	100.000		
90105.000	20000.000	40.000	100.000	100.000		
90106.000	20000.000	40.000	100.000	100.000		
90107.000	20000.000	40.000	100.000	100.000		
90108.000	20000.000	40.000	100.000	100.000		
90109.000	20000.000	40.000	100.000	100.000		
90110.000	20000.000	40.000	100.000	100.000		
90111.000	20000.000	40.000	100.000	100.000		
90112.000	20000.000	40.000	100.000	100.000		
90113.000	20000.000	40.000	100.000	100.000		
90114.000	20000.000	40.000	100.000	100.000		
90115.000	20000.000	40.000	100.000	100.000		
90116.000	20000.000	40.000	100.000	100.000		
90117.000	20000.000	40.000	100.000	100.000		
90118.000	20000.000	40.000	100.000	100.000		
90119.000	20000.000	40.000	100.000	100.000		
90120.000	20000.000	40.000	100.000	100.000		
90121.000	20000.000	40.000	100.000	100.000		
90122.000	20000.000	40.000	100.000	100.000		
90123.000	20000.000	40.000	100.000	100.000		
90124.000	20000.000	40.000	100.000	100.000		
90125.000	20000.000	40.000	100.000	100.000		
90126.000	20000.000	40.000	100.000	100.000		
90127.000	20000.000	40.000	100.000	100.000		
90128.000	20000.000	40.000	100.000	100.000		
90129.000	20000.000	40.000	100.000	100.000		
90130.000	20000.000	40.000	100.000	100.000		
90131.000	20000.000	40.000	100.000	100.000		
90132.000	20000.000	40.000	100.000	100.000		
90133.000	20000.000	40.000	100.000	100.000		
90134.000	20000.000	40.000	100.000	100.000		
90135.000	20000.000	40.000	100.000	100.000		
90136.000	20000.000	40.000	100.000	100.000		
90137.000	20000.000	40.000	100.000	100.000		
90138.000	20000.000	40.000	100.000	100.000		
90139.000	20000.000	40.000	100.000	100.000		
90140.000	20000.000	40.000	100.000	100.000		
90141.000	20000.000	40.000	100.000	100.000		
90142.000	20000.000	40.000	100.000	100.000		
81104.000	425.000					
81105.000	445.000					
81204.000	461.000					
81205.000	640.000					
81304.000	660.000					
81305.000	820.000					
81403.000	840.000					
81404.000	922.000					
