ID	AccessibleLevel	Type	Value1	Value2	AwardType	AwardID	AwardNum	
Int	Int	Int	Int	Int	Int	Int	Int	
9700.000	20.000	3.000	100009.000	3.000	4.000		10000.000	
9701.000	20.000	3.000	100019.000	3.000	4.000		10000.000	
9702.000	20.000	3.000	100034.000	3.000	4.000		10000.000	
9703.000	20.000	1.000		2.000	4.000		10000.000	
9704.000	20.000	4.000		2.000	4.000		10000.000	
9705.000	30.000	3.000	100035.000	3.000	4.000		15000.000	
9706.000	30.000	3.000	100044.000	3.000	4.000		15000.000	
9707.000	30.000	3.000	100054.000	3.000	4.000		15000.000	
9708.000	30.000	1.000		2.000	4.000		15000.000	
9709.000	30.000	4.000		2.000	4.000		15000.000	
9710.000	40.000	3.000	100055.000	3.000	4.000		20000.000	
9711.000	40.000	3.000	100061.000	3.000	4.000		20000.000	
9712.000	40.000	3.000	100067.000	3.000	4.000		20000.000	
9713.000	40.000	1.000		2.000	4.000		20000.000	
9714.000	40.000	4.000		2.000	4.000		20000.000	
9715.000	50.000	3.000	100068.000	3.000	4.000		25000.000	
9716.000	50.000	3.000	100079.000	3.000	4.000		25000.000	
9717.000	50.000	3.000	100088.000	3.000	4.000		25000.000	
9718.000	50.000	1.000		2.000	4.000		25000.000	
9719.000	50.000	4.000		2.000	4.000		25000.000	
9720.000	60.000	3.000	100090.000	3.000	4.000		30000.000	
9721.000	60.000	3.000	100094.000	3.000	4.000		30000.000	
9722.000	60.000	3.000	100098.000	3.000	4.000		30000.000	
9723.000	60.000	1.000		2.000	4.000		30000.000	
9724.000	60.000	4.000		2.000	4.000		30000.000	
9725.000	70.000	3.000	100099.000	3.000	4.000		30000.000	
9726.000	70.000	3.000	100109.000	3.000	4.000		30000.000	
9727.000	70.000	3.000	100119.000	3.000	4.000		30000.000	
9728.000	70.000	1.000		2.000	4.000		30000.000	
9729.000	70.000	4.000		2.000	4.000		30000.000	
9730.000	80.000	3.000	100120.000	3.000	4.000		35000.000	
9731.000	80.000	3.000	100129.000	3.000	4.000		35000.000	
9732.000	80.000	3.000	100139.000	3.000	4.000		35000.000	
9733.000	80.000	1.000		2.000	4.000		35000.000	
9734.000	80.000	4.000		2.000	4.000		35000.000	
