Level	Efficiency	Probability	Money	MoneyWeight	Gold	GoldWeight	Props	PropsWeight	Equipment	EquipmentWeight	Debris	DebrisWeight	
Int	Float	Float	Int	Float	Int	Float	String	Float	String	Float	String	Float	
1.000	4.000	30.000	300.000	20.000	3.000	10.000	20000|20006|20010	15.000	11101|11201|11301|11401|11501|11601|12101|12201|12301|12401|12501|12601|13101|13201|13301|13401|13501|13601	15.000	90131|90133|90135|90137|90138|90140	10.000	
2.000	4.000	30.000	330.000	20.000	3.000	10.000	20000|20006|20010	15.000	11101|11201|11301|11401|11501|11601|12101|12201|12301|12401|12501|12601|13101|13201|13301|13401|13501|13601	15.000	90131|90133|90135|90137|90138|90140	10.000	
3.000	5.000	30.000	360.000	20.000	3.000	10.000	20000|20006|20010	15.000	11101|11201|11301|11401|11501|11601|12101|12201|12301|12401|12501|12601|13101|13201|13301|13401|13501|13601	15.000	90131|90133|90135|90137|90138|90140	10.000	
4.000	5.000	30.000	390.000	20.000	3.000	10.000	20000|20006|20010	15.000	11101|11201|11301|11401|11501|11601|12101|12201|12301|12401|12501|12601|13101|13201|13301|13401|13501|13601	15.000	90131|90133|90135|90137|90138|90140	10.000	
5.000	6.000	30.000	420.000	20.000	3.000	10.000	20000|20006|20010	15.000	11101|11201|11301|11401|11501|11601|12101|12201|12301|12401|12501|12601|13101|13201|13301|13401|13501|13601	15.000	90131|90133|90135|90137|90138|90140	10.000	
6.000	6.000	30.000	450.000	20.000	3.000	10.000	20000|20006|20010	15.000	11101|11201|11301|11401|11501|11601|12101|12201|12301|12401|12501|12601|13101|13201|13301|13401|13501|13601	15.000	90131|90133|90135|90137|90138|90140	10.000	
7.000	6.000	30.000	480.000	20.000	3.000	10.000	20000|20006|20010	15.000	11101|11201|11301|11401|11501|11601|12101|12201|12301|12401|12501|12601|13101|13201|13301|13401|13501|13601	15.000	90131|90133|90135|90137|90138|90140	10.000	
8.000	7.000	30.000	510.000	20.000	3.000	10.000	20000|20006|20010	15.000	11101|11201|11301|11401|11501|11601|12101|12201|12301|12401|12501|12601|13101|13201|13301|13401|13501|13601	15.000	90131|90133|90135|90137|90138|90140	10.000	
9.000	7.000	30.000	540.000	20.000	3.000	10.000	20000|20006|20010	15.000	11101|11201|11301|11401|11501|11601|12101|12201|12301|12401|12501|12601|13101|13201|13301|13401|13501|13601	15.000	90131|90133|90135|90137|90138|90140	10.000	
10.000	8.000	30.000	570.000	20.000	3.000	10.000	20000|20006|20010	15.000	11101|11201|11301|11401|11501|11601|12101|12201|12301|12401|12501|12601|13101|13201|13301|13401|13501|13601	15.000	90131|90133|90135|90137|90138|90140	10.000	
