Level	HeroExp	
Int	Int	
1.000	0.000	
2.000	15.000	
3.000	32.000	
4.000	70.000	
5.000	140.000	
6.000	249.000	
7.000	408.000	
8.000	624.000	
9.000	908.000	
10.000	1267.000	
11.000	1712.000	
12.000	2250.000	
13.000	2892.000	
14.000	3645.000	
15.000	4520.000	
16.000	5524.000	
17.000	7012.000	
18.000	8814.000	
19.000	10960.000	
20.000	13480.000	
21.000	16404.000	
22.000	19762.000	
23.000	23584.000	
24.000	27900.000	
25.000	32740.000	
26.000	38134.000	
27.000	44112.000	
28.000	50704.000	
29.000	57940.000	
30.000	65850.000	
31.000	74464.000	
32.000	83812.000	
33.000	93924.000	
34.000	104830.000	
35.000	116560.000	
36.000	129144.000	
37.000	142612.000	
38.000	156994.000	
39.000	172320.000	
40.000	188620.000	
41.000	205924.000	
42.000	224262.000	
43.000	243664.000	
44.000	264160.000	
45.000	285780.000	
46.000	308554.000	
47.000	332512.000	
48.000	357684.000	
49.000	384100.000	
50.000	411790.000	
51.000	440784.000	
52.000	471112.000	
53.000	502804.000	
54.000	535890.000	
55.000	570400.000	
56.000	606364.000	
57.000	643812.000	
58.000	682774.000	
59.000	723280.000	
60.000	765360.000	
61.000	809044.000	
62.000	854362.000	
63.000	901344.000	
64.000	950020.000	
65.000	1000420.000	
66.000	1052574.000	
67.000	1106512.000	
68.000	1162264.000	
69.000	1219860.000	
70.000	1279330.000	
71.000	1340704.000	
72.000	1404012.000	
73.000	1469284.000	
74.000	1536550.000	
75.000	1605840.000	
76.000	1677184.000	
77.000	1750612.000	
78.000	1826154.000	
79.000	1903840.000	
80.000	1983700.000	
