ID	Star	PowerGrowth	IntelligenceGrowth	AgilityGrowth	Item	Number	
Int	Int	Float	Float	Float	Int	Int	
101.000	1.000	3.800	3.400	2.400	90101.000	10.000	
101.000	2.000	4.900	5.000	3.000	90101.000	30.000	
101.000	3.000	6.000	6.600	3.600	90101.000	80.000	
101.000	4.000	7.100	8.200	4.200	90101.000	180.000	
101.000	5.000	8.200	9.800	4.800	90101.000	330.000	
102.000	1.000	4.000	2.400	1.500	90102.000	10.000	
102.000	2.000	5.550	3.050	2.550	90102.000	30.000	
102.000	3.000	7.100	3.700	3.600	90102.000	80.000	
102.000	4.000	8.650	4.350	4.650	90102.000	180.000	
102.000	5.000	10.200	5.000	5.700	90102.000	330.000	
103.000	1.000	1.800	5.100	2.600	90103.000	10.000	
103.000	2.000	2.400	7.000	3.300	90103.000	30.000	
103.000	3.000	3.000	8.900	4.000	90103.000	80.000	
103.000	4.000	3.600	10.800	4.700	90103.000	180.000	
103.000	5.000	4.200	12.700	5.400	90103.000	330.000	
104.000	1.000	1.900	2.300	4.000	90104.000	10.000	
104.000	2.000	2.550	3.100	5.700	90104.000	30.000	
104.000	3.000	3.200	3.900	7.400	90104.000	80.000	
104.000	4.000	3.850	4.700	9.100	90104.000	180.000	
104.000	5.000	4.500	5.500	10.800	90104.000	330.000	
105.000	1.000	1.100	3.000	1.800	90105.000	10.000	
105.000	2.000	1.700	4.500	2.700	90105.000	30.000	
105.000	3.000	2.300	6.000	3.600	90105.000	80.000	
105.000	4.000	2.900	7.500	4.500	90105.000	180.000	
105.000	5.000	3.500	9.000	5.400	90105.000	330.000	
106.000	1.000	2.200	5.500	2.100	90106.000	10.000	
106.000	2.000	3.300	6.700	3.300	90106.000	30.000	
106.000	3.000	4.400	7.900	3.900	90106.000	80.000	
106.000	4.000	5.500	9.100	4.800	90106.000	180.000	
106.000	5.000	6.600	10.300	5.400	90106.000	330.000	
107.000	1.000	1.700	5.500	2.400	90107.000	10.000	
107.000	2.000	2.200	6.400	3.200	90107.000	30.000	
107.000	3.000	2.700	7.300	4.000	90107.000	80.000	
107.000	4.000	3.200	8.200	4.800	90107.000	180.000	
107.000	5.000	3.700	9.100	5.600	90107.000	330.000	
108.000	1.000	4.300	4.640	1.200	90108.000	10.000	
108.000	2.000	5.600	5.800	1.800	90108.000	30.000	
108.000	3.000	6.900	6.960	2.400	90108.000	80.000	
108.000	4.000	8.200	8.120	3.000	90108.000	180.000	
108.000	5.000	9.500	9.280	3.600	90108.000	330.000	
109.000	1.000	2.000	3.000	1.500	90109.000	10.000	
109.000	2.000	3.000	4.350	2.300	90109.000	30.000	
109.000	3.000	4.000	5.700	3.100	90109.000	80.000	
109.000	4.000	5.000	7.050	3.900	90109.000	180.000	
109.000	5.000	6.000	8.400	4.700	90109.000	330.000	
110.000	1.000	1.500	2.900	1.600	90110.000	10.000	
110.000	2.000	2.200	4.200	2.500	90110.000	30.000	
110.000	3.000	2.900	5.500	3.400	90110.000	80.000	
110.000	4.000	3.600	6.800	4.300	90110.000	180.000	
110.000	5.000	4.300	8.100	5.200	90110.000	330.000	
111.000	1.000	5.000	2.100	3.200	90111.000	10.000	
111.000	2.000	6.300	2.800	4.200	90111.000	30.000	
111.000	3.000	7.600	3.500	5.200	90111.000	80.000	
111.000	4.000	8.900	4.200	6.200	90111.000	180.000	
111.000	5.000	10.200	4.900	7.200	90111.000	330.000	
112.000	1.000	1.700	5.200	1.900	90112.000	10.000	
112.000	2.000	2.300	6.400	3.100	90112.000	30.000	
112.000	3.000	2.900	7.600	4.300	90112.000	80.000	
112.000	4.000	3.500	8.800	5.500	90112.000	180.000	
112.000	5.000	4.100	10.000	6.700	90112.000	330.000	
113.000	1.000	4.100	2.800	2.000	90113.000	10.000	
113.000	2.000	5.400	3.500	3.000	90113.000	30.000	
113.000	3.000	6.700	4.200	4.000	90113.000	80.000	
113.000	4.000	8.000	4.900	5.000	90113.000	180.000	
113.000	5.000	9.300	5.600	6.000	90113.000	330.000	
114.000	1.000	2.100	3.100	4.900	90114.000	10.000	
114.000	2.000	3.150	4.000	6.000	90114.000	30.000	
114.000	3.000	4.200	4.900	7.100	90114.000	80.000	
114.000	4.000	5.250	5.800	8.200	90114.000	180.000	
114.000	5.000	6.300	6.700	9.300	90114.000	330.000	
115.000	1.000	2.400	2.100	1.500	90115.000	10.000	
115.000	2.000	3.600	3.150	2.100	90115.000	30.000	
115.000	3.000	4.800	4.200	2.700	90115.000	80.000	
115.000	4.000	6.000	5.250	3.300	90115.000	180.000	
115.000	5.000	7.200	6.300	3.900	90115.000	330.000	
116.000	1.000	2.000	5.400	1.400	90116.000	10.000	
116.000	2.000	2.600	6.800	2.400	90116.000	30.000	
116.000	3.000	3.200	8.200	3.400	90116.000	80.000	
116.000	4.000	3.800	9.600	4.400	90116.000	180.000	
116.000	5.000	4.400	11.000	5.400	90116.000	330.000	
117.000	1.000	2.500	2.400	3.800	90117.000	10.000	
117.000	2.000	3.750	3.400	4.800	90117.000	30.000	
117.000	3.000	5.000	4.400	5.800	90117.000	80.000	
117.000	4.000	6.250	5.400	6.800	90117.000	180.000	
117.000	5.000	7.500	6.400	7.800	90117.000	330.000	
118.000	1.000	4.000	3.000	1.200	90118.000	10.000	
118.000	2.000	5.200	4.200	1.800	90118.000	30.000	
118.000	3.000	6.400	5.400	2.400	90118.000	80.000	
118.000	4.000	7.600	6.600	3.000	90118.000	180.000	
118.000	5.000	8.800	7.800	3.600	90118.000	330.000	
119.000	1.000	1.900	2.200	4.500	90119.000	10.000	
119.000	2.000	2.850	3.100	5.700	90119.000	30.000	
119.000	3.000	3.800	4.000	6.900	90119.000	80.000	
119.000	4.000	4.750	4.900	8.100	90119.000	180.000	
119.000	5.000	5.700	5.800	9.300	90119.000	330.000	
120.000	1.000	5.700	3.000	1.500	90120.000	10.000	
120.000	2.000	6.800	4.100	2.250	90120.000	30.000	
120.000	3.000	7.900	5.200	3.000	90120.000	80.000	
120.000	4.000	9.000	6.300	3.750	90120.000	180.000	
120.000	5.000	10.100	7.400	4.500	90120.000	330.000	
121.000	1.000	4.000	3.150	1.700	90121.000	10.000	
121.000	2.000	5.400	3.800	2.550	90121.000	30.000	
121.000	3.000	6.800	4.450	3.400	90121.000	80.000	
121.000	4.000	8.200	5.100	4.250	90121.000	180.000	
121.000	5.000	9.600	5.750	5.100	90121.000	330.000	
122.000	1.000	5.400	3.200	1.500	90122.000	10.000	
