HeroID	RelationshipHero	Style	AddPercent	
Int	String	string	String	
101.000	102|114	4|2	0.12|0.12	
101.000	133|104	1|6	0.12|0.12	
102.000	142|104	1|2	0.12|0.12	
102.000	101|121	4|4	0.12|0.12	
103.000	108|144	7|3	0.12|0.12	
103.000	127|146	3|3	0.12|0.12	
104.000	119|109	2|2	0.12|0.12	
104.000	133|142	4|1	0.12|0.12	
105.000	125.000	3.000	0.080	
105.000	108.000	1.000	0.080	
106.000	111|115	1|4	0.12|0.12	
106.000	110|105	3|5	0.12|0.12	
107.000	103|112	5|3	0.12|0.12	
107.000	140|146	4|5	0.12|0.12	
108.000	119|131	6|1	0.12|0.12	
108.000	146|107	3|5	0.12|0.12	
109.000	110|125	3|3	0.1|0.1	
109.000	141.000	6.000	0.100	
110.000	125.000	3.000	0.080	
110.000	106.000	8.000	0.080	
111.000	138|113	2|4	0.15|0.15	
111.000	114|142	6|1	0.15|0.15	
112.000	144|107	3|5	0.12|0.12	
112.000	130|129	5|8	0.12|0.12	
113.000	140|117	4|6	0.12|0.12	
113.000	144|107	5|3	0.12|0.12	
114.000	120|122	1|1	0.12|0.12	
114.000	101|102	4|7	0.12|0.12	
115.000	106.000	3.000	0.080	
115.000	130.000	5.000	0.080	
117.000	113|120	1|7	0.1|0.1	
117.000	129.000	3.000	0.100	
118.000	111|122	2|4	0.1|0.1	
118.000	138.000	6.000	0.100	
119.000	104|138	2|6	0.12|0.12	
119.000	131|143	1|3	0.12|0.12	
120.000	113|117	4|2	0.12|0.12	
120.000	111|115	1|7	0.12|0.12	
121.000	143|144	5|3	0.1|0.1	
121.000	109.000	8.000	0.100	
122.000	143|119	5|2	0.12|0.12	
122.000	108|131	5|1	0.12|0.12	
125.000	106|110	3|8	0.1|0.1	
125.000	105.000	3.000	0.100	
127.000	103|146	3|8	0.1|0.1	
127.000	129.000	6.000	0.100	
129.000	120.000	1.000	0.080	
129.000	112.000	3.000	0.080	
130.000	112|129	3|5	0.12|0.12	
130.000	135|115	1|2	0.12|0.12	
131.000	108.000	1.000	0.080	
131.000	122.000	4.000	0.080	
133.000	130.000	3.000	0.080	
133.000	101.000	2.000	0.080	
135.000	115.000	1.000	0.080	
135.000	118.000	2.000	0.080	
137.000	114.000	6.000	0.080	
137.000	141.000	6.000	0.080	
138.000	113|111	1|2	0.12|0.12	
138.000	118|135	2|3	0.12|0.12	
140.000	112|117	2|3	0.1|0.1	
140.000	119.000	6.000	0.100	
141.000	101.000	1.000	0.080	
141.000	109.000	3.000	0.080	
142.000	133|104	8|5	0.12|0.12	
142.000	102|114	4|2	0.12|0.12	
143.000	144|121	3|1	0.1|0.1	
143.000	109.000	2.000	0.100	
144.000	143|121	3|3	0.1|0.1	
144.000	142.000	1.000	0.100	
146.000	103|127	5|3	0.12|0.12	
146.000	104|121	6|1	0.12|0.12	
124.000	144|113	3|4	0.1|0.1	
124.000	101.000	1.000	0.100	
