ID	MinLevel	MaxLevel	Index	MinQuantity	MaxQuantity	Item1	Weight1	Item2	Weight2	Item3	Weight3	Item4	Weight4	Item5	Weight5	
Int	Int	Int	Int	Int	Int	String	Int	String	Int	String	Int	String	Int	String	Int	
1.000	1.000	10.000	1.000	1.000	1.000	90131|90133|90135|90137|90138|90140	60.000	90121|90122|90125|90127|90129|90130	30.000	90101|90102|90103|90104|90105|90106|90107|90108|90109|90110|90111|90112|90113|90115|90117|90118|90119|90120	10.000					
2.000	1.000	10.000	2.000	5.000	5.000	20000.000	60.000	20001.000	30.000	20002.000	10.000					
3.000	1.000	10.000	3.000	1.000	2.000	11101|11201|11301|11401|11501|11601|12101|12201|12301|12401|12501|12601|13101|13201|13301|13401|13501|13601	100.000	11102|11103|11202|11203|11302|11303|11402|11502|11602|12102|12103|12202|12203|12302|12303|12402|12502|12602|13102|13103|13202|13203|13302|13303|13402|13502|13602	40.000	81104|81105|81204|81205|81304|81305|81403|81404|81503|81504|81603|81604|82104|82105|82204|82205|82304|82305|82403|82404|82503|82504|82603|82604|83104|83105|83204|83205|83304|83305|83403|83404|83503|83504|83603|83604	10.000	81106|81107|81206|81207|81306|81307|81405|81406|81505|81506|81605|81606|82106|82107|82206|82207|82306|82307|82405|82406|82505|82506|82605|82606|83106|83107|83206|83207|83306|83307|83405|83406|83505|83506|83605|83606	2.000			
4.000	1.000	10.000	4.000	1.000	2.000	11101|11201|11301|11401|11501|11601|12101|12201|12301|12401|12501|12601|13101|13201|13301|13401|13501|13601	100.000	11102|11103|11202|11203|11302|11303|11402|11502|11602|12102|12103|12202|12203|12302|12303|12402|12502|12602|13102|13103|13202|13203|13302|13303|13402|13502|13602	40.000	81104|81105|81204|81205|81304|81305|81403|81404|81503|81504|81603|81604|82104|82105|82204|82205|82304|82305|82403|82404|82503|82504|82603|82604|83104|83105|83204|83205|83304|83305|83403|83404|83503|83504|83603|83604	10.000	81106|81107|81206|81207|81306|81307|81405|81406|81505|81506|81605|81606|82106|82107|82206|82207|82306|82307|82405|82406|82505|82506|82605|82606|83106|83107|83206|83207|83306|83307|83405|83406|83505|83506|83605|83606	2.000			
5.000	1.000	10.000	5.000	1.000	2.000	11101|11201|11301|11401|11501|11601|12101|12201|12301|12401|12501|12601|13101|13201|13301|13401|13501|13601	100.000	11102|11103|11202|11203|11302|11303|11402|11502|11602|12102|12103|12202|12203|12302|12303|12402|12502|12602|13102|13103|13202|13203|13302|13303|13402|13502|13602	40.000	81104|81105|81204|81205|81304|81305|81403|81404|81503|81504|81603|81604|82104|82105|82204|82205|82304|82305|82403|82404|82503|82504|82603|82604|83104|83105|83204|83205|83304|83305|83403|83404|83503|83504|83603|83604	10.000	81106|81107|81206|81207|81306|81307|81405|81406|81505|81506|81605|81606|82106|82107|82206|82207|82306|82307|82405|82406|82505|82506|82605|82606|83106|83107|83206|83207|83306|83307|83405|83406|83505|83506|83605|83606	2.000			
6.000	1.000	10.000	6.000	1.000	2.000	11101|11201|11301|11401|11501|11601|12101|12201|12301|12401|12501|12601|13101|13201|13301|13401|13501|13601	100.000	11102|11103|11202|11203|11302|11303|11402|11502|11602|12102|12103|12202|12203|12302|12303|12402|12502|12602|13102|13103|13202|13203|13302|13303|13402|13502|13602	40.000	81104|81105|81204|81205|81304|81305|81403|81404|81503|81504|81603|81604|82104|82105|82204|82205|82304|82305|82403|82404|82503|82504|82603|82604|83104|83105|83204|83205|83304|83305|83403|83404|83503|83504|83603|83604	10.000	81106|81107|81206|81207|81306|81307|81405|81406|81505|81506|81605|81606|82106|82107|82206|82207|82306|82307|82405|82406|82505|82506|82605|82606|83106|83107|83206|83207|83306|83307|83405|83406|83505|83506|83605|83606	2.000			
7.000	1.000	10.000	9.000	10.000	10.000	20010.000	100.000									
8.000	1.000	10.000	8.000	1.000	5.000	20007.000	60.000	20008.000	30.000	20009.000	10.000					
9.000	11.000	20.000	1.000	1.000	3.000	90131|90133|90135|90137|90138|90140	60.000	90121|90122|90125|90127|90129|90130	30.000	90101|90102|90103|90104|90105|90106|90107|90108|90109|90110|90111|90112|90113|90115|90117|90118|90119|90120	10.000					
