ID	LevelLimit	Type	Color	Power	Intelligence	Agility	MaxHealth	Physic	Magic	Armor	Resistance	Crit	Magic Crit	HealthRecovery	EnergyRecovery	BloodLevel	OffsetArmor	OffsetResistance	AddCure	Dodge	Price	Gold	Cash	Honor	Munition	ResolveSoulPoints	SoulPointsCost	Exploit	Prestige	URL	RefiningEXP	EquipPieceID	
Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Float	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	String	Int	Int	
11101.000	2.000	1.000	1.000	0.000	0.000	0.000	0.000	6.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	100.000	200.000	4.000	12.000	12.000	0.000	12.000	12.000	12.000	QingFengJian	4.000		
11102.000	4.000	2.000	0.000	0.000	0.000	0.000	15.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	475.000	950.000	19.000	57.000	57.000	0.000	57.000	57.000	57.000	GuanShiFu	9.000		
11103.000	13.000	1.000	2.000	0.000	0.000	0.000	0.000	25.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2050.000	4100.000	82.000	246.000	246.000	0.000	246.000	246.000	246.000	QingGangJian	23.000		
11104.000	20.000	1.000	3.000	0.000	0.000	0.000	0.000	44.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3125.000	6250.000	125.000	375.000	375.000	0.000	375.000	375.000	375.000	GuDingDao	49.000	81104.000	
11105.000	30.000	1.000	3.000	0.000	0.000	0.000	0.000	82.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	9375.000	18750.000	375.000	1125.000	1125.000	0.000	1125.000	1125.000	1125.000	ZhangBaSheMao	94.000	81105.000	
11106.000	47.000	1.000	4.000	0.000	0.000	0.000	0.000	139.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	31250.000	62500.000	1250.000	3750.000	3750.000	0.000	3750.000	3750.000	3750.000	LongDanQiang	168.000	81106.000	
11107.000	58.000	1.000	4.000	0.000	0.000	0.000	0.000	221.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	18.000	0.000	0.000	0.000	46875.000	93750.000	1875.000	5625.000	5625.000	0.000	5625.000	5625.000	5625.000	QingLongYanYue	246.000	81107.000	
11108.000	58.000	1.000	4.000	0.000	0.000	0.000	0.000	311.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	25.000	0.000	0.000	0.000	125000.000	250000.000	5000.000	15000.000	15000.000	0.000	15000.000	15000.000	15000.000	FangTianHuaJi	30.000	81108.000	
11201.000	1.000	2.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	2.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	75.000	150.000	3.000	9.000	9.000	0.000	9.000	9.000	9.000	SuoZiJia	3.000		
11202.000	5.000	2.000	2.000	0.000	0.000	0.000	0.000	0.000	0.000	6.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	300.000	600.000	12.000	36.000	36.000	0.000	36.000	36.000	36.000	JingJiKai	10.000		
11203.000	18.000	2.000	2.000	0.000	0.000	0.000	0.000	0.000	0.000	12.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1300.000	2600.000	52.000	156.000	156.000	0.000	156.000	156.000	156.000	LieShiKai	25.000		
11204.000	21.000	2.000	3.000	0.000	0.000	0.000	0.000	0.000	0.000	23.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2000.000	4000.000	80.000	240.000	240.000	0.000	240.000	240.000	240.000	LongLinKai	53.000	81204.000	
11205.000	33.000	2.000	3.000	0.000	0.000	0.000	0.000	0.000	0.000	48.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	6000.000	12000.000	240.000	720.000	720.000	0.000	720.000	720.000	720.000	HanTieZhanKai	103.000	81205.000	
11206.000	49.000	2.000	4.000	0.000	0.000	0.000	0.000	0.000	0.000	84.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	20000.000	40000.000	800.000	2400.000	2400.000	0.000	2400.000	2400.000	2400.000	ShangWuZhanKai	192.000	81206.000	
