ID	RefiningTime	Power	Intelligence	Agility	MaxHealth	Physic	Magic	Armor	Resistance	Crit	MagicCrit	HealthRecovery	EnergyRecovery	BloodLevel	OffsetArmor	OffsetResistance	AddCure	Dodge	DecreaseEnergyConsume	Level1Exp	Level2Exp	Level3Exp	Level4Exp	Level5Exp	
Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Float	Int	Int	Int	Int	Int	Int	Int	
11102.000	1.000	0.000	0.000	0.000	0.000	3.000	0.000	0.000	0.000	0.000		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	20.000					
11103.000	1.000	0.000	0.000	0.000	0.000	5.000	0.000	0.000	0.000	0.000		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	20.000					
11202.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	20.000					
11203.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	2.000	0.000	0.000		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	20.000					
11302.000	1.000	0.000	0.000	0.000	51.000	0.000	0.000	0.000	0.000	0.000		31.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	20.000					
11303.000	1.000	0.000	0.000	0.000	89.000	0.000	0.000	0.000	0.000	0.000		36.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	20.000					
11402.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.000		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	20.000					
11502.000	1.000	0.000	0.000	0.000	0.000	0.000	2.000	0.000	0.000	0.000		0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	20.000					
11602.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.000	0.000		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	20.000					
12102.000	1.000	0.000	0.000	0.000	0.000	3.000	0.000	0.000	0.000	0.000		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	20.000					
12103.000	1.000	0.000	0.000	0.000	0.000	4.000	0.000	0.000	0.000	0.000		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	20.000					
12202.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	20.000					
12203.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	20.000					
12302.000	1.000	0.000	0.000	0.000	23.000	0.000	0.000	0.000	0.000	0.000		14.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	20.000					
12303.000	1.000	0.000	0.000	0.000	23.000	0.000	0.000	0.000	0.000	0.000		9.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	20.000					
12402.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.000		0.000	0.000	0.000	0.000	2.000	0.000	0.000	0.000	20.000					
12502.000	1.000	0.000	0.000	0.000	0.000	0.000	9.000	0.000	0.000	0.000		0.000	2.000	0.000	0.000	0.000	0.000	0.000	0.000	20.000					
12602.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.000	0.000		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	20.000					
13102.000	1.000	0.000	0.000	0.000	0.000	4.000	0.000	0.000	0.000	0.000		0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	20.000					
13103.000	1.000	0.000	0.000	0.000	0.000	7.000	0.000	0.000	0.000	0.000		0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	20.000					
13202.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	20.000					
13203.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	3.000	0.000	0.000		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	20.000					
13302.000	1.000	0.000	0.000	0.000	22.000	0.000	0.000	0.000	0.000	0.000		7.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	20.000					
