ID	Name	Style	InitialValue	AddValue	EffectiveTime	Interval	Count	EffectiveStyle	
Int	String	Int	Float	Float	Float	Float	Int	Int	
9101201.000	Armor	1.000	4.000	4.000	8.000		0.000	1.000	
9101202.000	Resistance	1.000	4.000	1.000	8.000			1.000	
9101301.000	Stun	0.000	0.000	0.000	2.500				
9101401.000	Physic	1.000	168.000	15.000	600.000			0.000	
9101402.000	Magic	1.000	168.000	15.000	600.000			0.000	
9102101.000	Stun	0.000	1.000	1.000	0.200				
9102201.000	Stun	0.000	169.000	17.000	2.000				
9102301.000	Shield	1.000	260.000	17.000	3.000		0.000	5.000	
9102401.000	Armor	1.000	143.000	16.000	600.000		0.000	0.000	
9103201.000	Stun	0.000	42.000	2.000	2.000				
9103301.000	Energy	1.000	38.000	5.000	8.000		0.000	0.000	
9103401.000	Resistance	1.000	45.000	4.000	600.000		0.000	1.000	
9104201.000	Magic	1.000	7.000	6.000	8.000		0.000	0.000	
9104202.000	Physic	1.000	7.000	6.000	8.000		0.000	0.000	
9104301.000	Stun	0.000	14.000	15.000	3.000			0.000	
9104401.000	Physic	1.000	95.000	9.000	600.000		0.000	0.000	
9105201.000	Charm	0.000	0.000	0.000	2.000				
9105401.000	Armor	1.000	130.000	14.000	600.000		0.000	0.000	
9106301.000	Silence	0.000	312.000	30.000	2.500				
9106401.000	Magic	1.000	364.000	33.000	10.000		0.000	0.000	
9107101.000	Chaos	0.000	0.000	0.000	2.750				
9107301.000	Energy	1.000	9.000	1.000		0.100	1.000	2.000	
9107401.000	Magic	1.000	56.000	5.000	600.000			0.000	
9108101.000	Frozen	0.000	18.000	48.000	3.000				
9108201.000	Trap	1.000	0.000	0.000		0.500	6.000	1.000	
9108301.000	Shield	1.000	770.000	49.000	3.000		0.000	5.000	
9108401.000	Physic	1.000	140.000	13.000	600.000		0.000	0.000	
9108402.000	Magic	1.000	140.000	13.000	600.000		0.000	0.000	
9109201.000	Stun	0.000	144.000	14.000	2.000				
9109401.000	Dodge	1.000	33.000	1.000			0.000	0.000	
9110201.000	Frozen	0.000	0.000	0.000	2.000				
9110301.000	Cooldown	1.000	0.100	0.001	5.000		0.000	1.000	
9110401.000	Energy	1.000	8.000	1.000		60.000	0.000	0.000	
9111101.000	Stun	0.000	7.000	10.000	3.000				
9111102.000	Health	1.000	32.000	9.000		0.300	0.000	1.000	
9111201.000	Physic	1.000	21.000	17.000	10.000			0.000	
9111202.000	Critical	1.000	10.000	6.000	10.000			0.000	
9111301.000	Drain	1.000	42.000	11.000	5.000		0.000	6.000	
9111401.000	HealthRatio	1.000	15.000	0.800		0.100	1.000	11.000	
9112201.000	Health	1.000	56.000	7.000		0.500	4.000	1.000	
9112301.000	Shield	1.000	715.000	46.000	3.000		0.000	5.000	
9112401.000	Armor	1.000	26.000	3.000	7.000		0.000	1.000	
9112402.000	Resistance	1.000	21.000	1.000	7.000		0.000	1.000	
9113201.000	Health	1.000	55.000	6.000		1.000	4.000	1.000	
9113301.000	Resistance	1.000	114.000	16.000	8.000		0.000	0.000	
9113302.000	Taunt	1.000	0.000	0.000	3.000		0.000		
9113401.000	Armor	1.000	112.000	12.000	600.000		0.000	0.000	
9114101.000	Energy	1.000	100.000	0.000		1.000	1.000	1.000	
9114201.000	Energy	1.000	19.000	4.000		1.000	1.000	1.000	
9114202.000	Immunity	1.000	0.000	0.000		1.000	5.000	5.000	
9114301.000	Stun	0.000	1.000	1.000	2.000				
9114401.000	Physic	1.000	140.000	13.000	8.000		1.000	0.000	
9114402.000	Critical	1.000	35.000	5.000	9.000		1.000	0.000	
9115101.000	Armor	1.000	8.000	11.000	10.000		0.000	0.000	
9115102.000	Resistance	1.000	4.000	8.000	10.000		0.000	0.000	
9115201.000	Armor	1.000	5.000	5.000	7.000		0.000	1.000	
9115401.000	Physic	1.000	200.000	18.000	600.000		0.000	0.000	
9117101.000	Fear	0.000	52.000	10.000	3.000				
9117201.000	Health	1.000	48.000	6.000		1.000	4.000	1.000	
9117301.000	Fear	0.000	52.000	5.000	3.000				
9117401.000	Dodge	1.000	33.000	1.000	600.000		0.000	0.000	
9118401.000	Magic	1.000	220.000	20.000	600.000		0.000	0.000	
9118402.000	Cooldown	1.000	0.100	0.001	600.000		0.000	0.000	
9119101.000	Health	1.000	29.000	9.000		1.500	4.000	1.000	
9119102.000	Stun	0.000	1.000	1.000	0.200				
9119201.000	Armor	1.000	9.000	9.000	10.000		0.000	1.000	
9119202.000	Health	1.000	56.000	7.000		0.500	4.000	1.000	
9119301.000	Armor	1.000	72.000	14.000	10.000		0.000	1.000	
9119401.000	Physic	1.000	260.000	23.000	600.000		0.000	0.000	
9120101.000	Shield	1.000	126.000	63.000	5.000		0.000	5.000	
9120301.000	Armor	1.000	77.000	15.000	10.000		0.000	0.000	
9120401.000	Resistance	1.000	112.000	10.000	600.000		0.000	0.000	
9121101.000	Shield	1.000	65.000	33.000	5.000		0.000	5.000	
9121301.000	Shield	1.000	650.000	42.000	3.000		0.000	4.000	
9121401.000	Armor	1.000	52.000	6.000	600.000		0.000	0.000	
9122101.000	Stun	0.000	1.000	1.000	3.000				
9122301.000	Armor	1.000	23.000	5.000	8.000		0.000	1.000	
9122401.000	Armor	1.000	140.000	15.000			0.000	0.000	
9123401.000	Physic	1.000	87.000	8.000			0.000	0.000	
9124101.000	HealthRatio	1.000	20.000	0.000		0.100	1.000	9.000	
9124201.000	Health	1.000	48.000	6.000		0.500	4.000	1.000	
9124401.000	Resistance	1.000	88.000	8.000	8.000		0.000	0.000	
9125201.000	Health	1.000	44.000	5.000		0.500	4.000	1.000	
9125401.000	Dodge	1.000	33.000	1.000			0.000	0.000	
9126201.000	Stun	0.000	280.000	27.000	2.000				
9126401.000	Armor	1.000	130.000	14.000	600.000		0.000	0.000	
9127101.000	Stun	0.000	29.000	1.000	3.000				
9127401.000	Resistance	1.000	88.000	8.000	8.000		0.000	0.000	
9129201.000	Energy	1.000	7.000	1.000		0.500	0.000	2.000	
9129401.000	Magic	1.000	200.000	18.000	600.000		0.000	0.000	
9130101.000	Silence	0.000	66.000	16.000	3.000				
9130201.000	Silence	0.000	36.000	7.000	2.000				
9130301.000	Energy	1.000	20.000	3.000		1.000	1.000	1.000	
9130401.000	Physic	1.000	312.000	28.000	600.000		0.000	0.000	
