ID	Type	Value1	Value2	AwardType	AwardID	AwardNum	
Int	Int	Int	Int	Int	Int	Int	
9000.000	0.000	100002.000	1.000	0.000	141.000	1.000	
9001.000	0.000	100009.000	1.000	0.000	137.000	1.000	
9002.000	0.000	100013.000	1.000	0.000	105.000	1.000	
9003.000	1.000	100001.000	1.000	2.000		10.000	
9004.000	1.000	100003.000	1.000	2.000		10.000	
9005.000	1.000	100005.000	1.000	2.000		10.000	
9006.000	1.000	100007.000	1.000	2.000		10.000	
9007.000	1.000	100009.000	1.000	2.000		10.000	
9008.000	1.000	100011.000	1.000	2.000		10.000	
9009.000	1.000	100013.000	1.000	2.000		10.000	
9010.000	1.000	100015.000	1.000	2.000		10.000	
9011.000	1.000	100017.000	1.000	2.000		10.000	
9012.000	1.000	100019.000	1.000	2.000		10.000	
9013.000	1.000	100021.000	1.000	2.000		10.000	
9014.000	1.000	100023.000	1.000	2.000		10.000	
9015.000	1.000	100025.000	1.000	2.000		10.000	
9016.000	1.000	100027.000	1.000	2.000		10.000	
9017.000	1.000	100029.000	1.000	2.000		10.000	
9018.000	1.000	100031.000	1.000	2.000		10.000	
9019.000	1.000	100033.000	1.000	2.000		10.000	
9020.000	1.000	100035.000	1.000	2.000		10.000	
9021.000	1.000	100037.000	1.000	2.000		10.000	
9022.000	1.000	100039.000	1.000	2.000		10.000	
9023.000	1.000	100041.000	1.000	2.000		20.000	
9024.000	1.000	100043.000	1.000	2.000		20.000	
9025.000	1.000	100045.000	1.000	2.000		20.000	
9026.000	1.000	100047.000	1.000	2.000		20.000	
9027.000	1.000	100049.000	1.000	2.000		20.000	
9028.000	1.000	100051.000	1.000	2.000		20.000	
9029.000	1.000	100053.000	1.000	2.000		20.000	
9030.000	1.000	100055.000	1.000	2.000		20.000	
9031.000	1.000	100057.000	1.000	2.000		20.000	
9032.000	1.000	100059.000	1.000	2.000		20.000	
9033.000	1.000	100061.000	1.000	2.000		20.000	
9034.000	1.000	100063.000	1.000	2.000		20.000	
9035.000	1.000	100065.000	1.000	2.000		20.000	
9036.000	1.000	100067.000	1.000	2.000		20.000	
9037.000	1.000	100069.000	1.000	2.000		20.000	
9038.000	1.000	100071.000	1.000	2.000		20.000	
9039.000	1.000	100073.000	1.000	2.000		20.000	
9040.000	1.000	100075.000	1.000	2.000		20.000	
9041.000	1.000	100077.000	1.000	2.000		20.000	
9042.000	1.000	100079.000	1.000	2.000		20.000	
9043.000	2.000	100000.000	2.000	3.000	11302.000	5.000	
9044.000	2.000	100001.000	2.000	3.000	11102.000	5.000	
9045.000	2.000	100006.000	2.000	3.000	11202.000	5.000	
9046.000	2.000	100008.000	2.000	3.000	11502.000	5.000	
9047.000	2.000	100012.000	2.000	3.000	11402.000	5.000	
9048.000	2.000	100014.000	2.000	3.000	11602.000	5.000	
9049.000	2.000	100016.000	2.000	3.000	12302.000	5.000	
9050.000	2.000	100018.000	2.000	3.000	12102.000	5.000	
9051.000	2.000	100022.000	2.000	3.000	12202.000	5.000	
9052.000	2.000	100024.000	2.000	3.000	12502.000	5.000	
9053.000	2.000	100026.000	2.000	3.000	12402.000	5.000	
9054.000	2.000	100028.000	2.000	3.000	12602.000	5.000	
9055.000	2.000	100032.000	2.000	3.000	13302.000	5.000	
9056.000	2.000	100034.000	2.000	3.000	13102.000	5.000	
9057.000	2.000	100036.000	2.000	3.000	13202.000	5.000	
9058.000	2.000	100038.000	2.000	3.000	13502.000	5.000	
9059.000	3.000	200001.000	1.000	2.000		20.000	
9060.000	3.000	200003.000	1.000	2.000		20.000	
9061.000	3.000	200005.000	1.000	2.000		20.000	
9062.000	3.000	200007.000	1.000	2.000		20.000	
9063.000	3.000	200009.000	1.000	2.000		20.000	
9064.000	3.000	200011.000	1.000	2.000		20.000	
9065.000	3.000	200013.000	1.000	2.000		20.000	
9066.000	3.000	200015.000	1.000	2.000		20.000	
9067.000	3.000	200017.000	1.000	2.000		20.000	
9068.000	3.000	200019.000	1.000	2.000		20.000	
9069.000	3.000	200021.000	1.000	2.000		20.000	
9070.000	3.000	200023.000	1.000	2.000		20.000	
9071.000	3.000	200025.000	1.000	2.000		20.000	
9072.000	3.000	200027.000	1.000	2.000		20.000	
9073.000	3.000	200029.000	1.000	2.000		20.000	
9074.000	3.000	200031.000	1.000	2.000		20.000	
9075.000	3.000	200033.000	1.000	2.000		20.000	
9076.000	3.000	200035.000	1.000	2.000		20.000	
9077.000	3.000	200037.000	1.000	2.000		20.000	
9078.000	3.000	200039.000	1.000	2.000		20.000	
9079.000	3.000	200041.000	1.000	2.000		40.000	
9080.000	3.000	200043.000	1.000	2.000		40.000	
9081.000	3.000	200045.000	1.000	2.000		40.000	
9082.000	3.000	200047.000	1.000	2.000		40.000	
9083.000	3.000	200049.000	1.000	2.000		40.000	
9084.000	3.000	200051.000	1.000	2.000		40.000	
9085.000	3.000	200053.000	1.000	2.000		40.000	
9086.000	3.000	200055.000	1.000	2.000		40.000	
