Count	Cash	Gold	MinRandom	MaxRandom	MinCrit	MaxCrit	CritOdd	
Int	Int	Int	Int	Int	Int	Int	Int	
1.000	10.000	40910.000	1.000	99.000	1.000	3.000	40.000	
2.000	20.000	41830.000	1.000	99.000	1.000	3.000	40.000	
3.000	20.000	42750.000	1.000	99.000	1.000	3.000	40.000	
4.000	20.000	43670.000	1.000	99.000	1.000	3.000	40.000	
5.000	40.000	54610.000	1.000	99.000	1.000	3.000	40.000	
6.000	40.000	55550.000	1.000	99.000	1.000	3.000	40.000	
7.000	40.000	56490.000	1.000	99.000	1.000	3.000	40.000	
8.000	40.000	57430.000	1.000	99.000	1.000	3.000	40.000	
9.000	40.000	58370.000	1.000	99.000	1.000	3.000	40.000	
10.000	100.000	60000.000	1.000	99.000	1.000	3.000	40.000	
11.000	100.000	60270.000	1.000	99.000	1.000	3.000	40.000	
12.000	100.000	61170.000	1.000	99.000	1.000	3.000	40.000	
13.000	100.000	62070.000	1.000	99.000	1.000	3.000	40.000	
14.000	100.000	62970.000	1.000	99.000	1.000	3.000	40.000	
15.000	100.000	63870.000	1.000	99.000	1.000	3.000	40.000	
16.000	100.000	64770.000	1.000	99.000	1.000	3.000	40.000	
17.000	100.000	65670.000	1.000	99.000	1.000	3.000	40.000	
18.000	100.000	66570.000	1.000	99.000	1.000	3.000	40.000	
19.000	100.000	67470.000	1.000	99.000	1.000	3.000	40.000	
20.000	100.000	68370.000	1.000	99.000	1.000	3.000	40.000	
21.000	200.000	70470.000	1.000	99.000	1.000	3.000	40.000	
22.000	200.000	71570.000	1.000	99.000	1.000	3.000	40.000	
23.000	200.000	72670.000	1.000	99.000	1.000	3.000	40.000	
24.000	200.000	73770.000	1.000	99.000	1.000	3.000	40.000	
25.000	200.000	74870.000	1.000	99.000	1.000	3.000	40.000	
26.000	200.000	75970.000	1.000	99.000	1.000	3.000	40.000	
27.000	200.000	77070.000	1.000	99.000	1.000	3.000	40.000	
28.000	200.000	78170.000	1.000	99.000	1.000	3.000	40.000	
29.000	200.000	79270.000	1.000	99.000	1.000	3.000	40.000	
30.000	200.000	80370.000	1.000	99.000	1.000	3.000	40.000	
31.000	200.000	81470.000	1.000	99.000	1.000	3.000	40.000	
32.000	200.000	82570.000	1.000	99.000	1.000	3.000	40.000	
33.000	200.000	83670.000	1.000	99.000	1.000	3.000	40.000	
34.000	200.000	84770.000	1.000	99.000	1.000	3.000	40.000	
35.000	200.000	85870.000	1.000	99.000	1.000	3.000	40.000	
36.000	200.000	86970.000	1.000	99.000	1.000	3.000	40.000	
37.000	200.000	88070.000	1.000	99.000	1.000	3.000	40.000	
38.000	200.000	89170.000	1.000	99.000	1.000	3.000	40.000	
39.000	200.000	90270.000	1.000	99.000	1.000	3.000	40.000	
40.000	400.000	91570.000	1.000	99.000	1.000	3.000	40.000	
41.000	400.000	92870.000	1.000	99.000	1.000	3.000	40.000	
42.000	400.000	94170.000	1.000	99.000	1.000	3.000	40.000	
43.000	400.000	95470.000	1.000	99.000	1.000	3.000	40.000	
44.000	400.000	96770.000	1.000	99.000	1.000	3.000	40.000	
45.000	400.000	98070.000	1.000	99.000	1.000	3.000	40.000	
46.000	400.000	99370.000	1.000	99.000	1.000	3.000	40.000	
47.000	400.000	100670.000	1.000	99.000	1.000	3.000	40.000	
48.000	400.000	101970.000	1.000	99.000	1.000	3.000	40.000	
49.000	400.000	103270.000	1.000	99.000	1.000	3.000	40.000	
50.000	400.000	104570.000	1.000	99.000	1.000	3.000	40.000	
51.000	400.000	105870.000	1.000	99.000	1.000	3.000	40.000	
52.000	400.000	107170.000	1.000	99.000	1.000	3.000	40.000	
53.000	400.000	108470.000	1.000	99.000	1.000	3.000	40.000	
54.000	400.000	109770.000	1.000	99.000	1.000	3.000	40.000	
55.000	400.000	111070.000	1.000	99.000	1.000	3.000	40.000	
56.000	400.000	112370.000	1.000	99.000	1.000	3.000	40.000	
57.000	400.000	113670.000	1.000	99.000	1.000	3.000	40.000	
58.000	400.000	114970.000	1.000	99.000	1.000	3.000	40.000	
59.000	400.000	116270.000	1.000	99.000	1.000	3.000	40.000	
60.000	400.000	117570.000	1.000	99.000	1.000	3.000	40.000	
61.000	400.000	118870.000	1.000	99.000	1.000	3.000	40.000	
62.000	400.000	120170.000	1.000	99.000	1.000	3.000	40.000	
63.000	400.000	121470.000	1.000	99.000	1.000	3.000	40.000	
64.000	400.000	122770.000	1.000	99.000	1.000	3.000	40.000	
65.000	400.000	124070.000	1.000	99.000	1.000	3.000	40.000	
66.000	400.000	125370.000	1.000	99.000	1.000	3.000	40.000	
67.000	400.000	126670.000	1.000	99.000	1.000	3.000	40.000	
68.000	400.000	127970.000	1.000	99.000	1.000	3.000	40.000	
69.000	400.000	129270.000	1.000	99.000	1.000	3.000	40.000	
70.000	500.000	130670.000	1.000	99.000	1.000	3.000	40.000	
71.000	500.000	132070.000	1.000	99.000	1.000	3.000	40.000	
72.000	500.000	133470.000	1.000	99.000	1.000	3.000	40.000	
73.000	500.000	134870.000	1.000	99.000	1.000	3.000	40.000	
74.000	500.000	136270.000	1.000	99.000	1.000	3.000	40.000	
75.000	500.000	137670.000	1.000	99.000	1.000	3.000	40.000	
76.000	500.000	139070.000	1.000	99.000	1.000	3.000	40.000	
77.000	500.000	140470.000	1.000	99.000	1.000	3.000	40.000	
78.000	500.000	141870.000	1.000	99.000	1.000	3.000	40.000	
79.000	500.000	143270.000	1.000	99.000	1.000	3.000	40.000	
80.000	500.000	144670.000	1.000	99.000	1.000	3.000	40.000	
81.000	500.000	146070.000	1.000	99.000	1.000	3.000	40.000	
82.000	500.000	147470.000	1.000	99.000	1.000	3.000	40.000	
83.000	500.000	148870.000	1.000	99.000	1.000	3.000	40.000	
