rankUp	rankFloor	Gold	Gem	RefinedMaterial	RefinedMaterialNumber	Medicine	MedicineNumber	Honor	BestRecord	
Int	Int	Int	Int	Int	Int	Int	Int	Int	Float	
1.000	1.000	100000.000	550.000	20008.000	4.000	20002.000	12.000	800.000	400.000	
2.000	2.000	95000.000	500.000	20008.000	3.000	20002.000	10.000	775.000	375.000	
3.000	3.000	90000.000	450.000	20008.000	2.000	20002.000	9.000	750.000	350.000	
4.000	4.000	85000.000	400.000	20008.000	2.000	20002.000	8.000	725.000	325.000	
5.000	5.000	80000.000	350.000	20008.000	1.000	20002.000	7.000	700.000	300.000	
6.000	6.000	75000.000	340.000	20008.000	1.000	20002.000	6.000	680.000	275.000	
7.000	7.000	70000.000	330.000	20007.000	4.000	20002.000	5.000	660.000	250.000	
8.000	8.000	65000.000	320.000	20007.000	4.000	20002.000	4.000	640.000	225.000	
9.000	9.000	60000.000	310.000	20007.000	3.000	20002.000	3.000	620.000	200.000	
10.000	10.000	55000.000	300.000	20007.000	3.000	20002.000	2.000	600.000	175.000	
11.000	20.000	50000.000	250.000	20007.000	3.000	20001.000	8.000	590.000	50.000	
21.000	30.000	45000.000	200.000	20007.000	3.000	20001.000	7.000	575.000	40.000	
31.000	40.000	40000.000	150.000	20007.000	2.000	20001.000	6.000	560.000	32.000	
41.000	50.000	35000.000	130.000	20007.000	2.000	20001.000	5.000	545.000	24.000	
51.000	70.000	30000.000	110.000	20007.000	1.000	20001.000	4.000	530.000	16.000	
71.000	100.000	27500.000	100.000	20007.000	1.000	20001.000	3.000	500.000	8.000	
101.000	200.000	25000.000	90.000	20007.000	1.000	20001.000	2.000	475.000	4.800	
201.000	300.000	22500.000	80.000			20000.000	8.000	450.000	4.000	
301.000	400.000	20000.000	70.000			20000.000	7.000	425.000	3.200	
401.000	500.000	18000.000	60.000			20000.000	6.000	400.000	2.400	
501.000	700.000	16000.000	55.000			20000.000	5.000	350.000	1.600	
701.000	1000.000	14000.000	55.000			20000.000	4.000	300.000	0.800	
1001.000	2000.000	12000.000	55.000			20000.000	3.000	260.000	0.240	
2001.000	3000.000	10000.000	50.000			20000.000	3.000	220.000	0.200	
3001.000	4000.000	9000.000	50.000			20000.000	2.000	180.000	0.160	
4001.000	5000.000	8000.000	50.000			20000.000	2.000	140.000	0.120	
5001.000	7000.000	7000.000	45.000			20000.000	1.000	100.000	0.080	
7001.000	10000.000	5000.000	45.000			20000.000	1.000	50.000	0.040	
10001.000	15000.000	2500.000	45.000			20000.000	1.000	30.000	0.020	
15001.000	9999999.000	1500.000	30.000			20000.000	1.000	20.000	0.020	
