ID	MinLevel	MaxLevel	Index	MinQuantity	MaxQuantity	Item1	Weight1	Item2	Weight2	Item3	Weight3	Item4	Weight4	Item5	Weight5	Item6	Weight6	Item7	Weight7	Item8	
Int	Int	Int	Int	Int	Int	String	Int	String	Int	String	Int	String	Int	String	Int	String	Int	String	Int	String	
1.000	1.000	54.000	1.000	5.000	5.000	81306|81106|81206|81505|81405|81605|82306|82106|82206|82505|82405|82605|83306|83106|83206|83505|83405|83605	100.000														
2.000	1.000	54.000	2.000	5.000	5.000	81306|81106|81206|81505|81405|81605|82306|82106|82206|82505|82405|82605|83306|83106|83206|83505|83405|83605	100.000														
3.000	1.000	54.000	3.000	5.000	5.000	81306|81106|81206|81505|81405|81605|82306|82106|82206|82505|82405|82605|83306|83106|83206|83505|83405|83605	100.000														
4.000	1.000	54.000	4.000	5.000	5.000	81306|81106|81206|81505|81405|81605|82306|82106|82206|82505|82405|82605|83306|83106|83206|83505|83405|83605	100.000														
5.000	1.000	54.000	5.000	5.000	5.000	81306|81106|81206|81505|81405|81605|82306|82106|82206|82505|82405|82605|83306|83106|83206|83505|83405|83605	100.000														
6.000	1.000	54.000	6.000	5.000	5.000	81306|81106|81206|81505|81405|81605|82306|82106|82206|82505|82405|82605|83306|83106|83206|83505|83405|83605	100.000														
7.000	1.000	54.000	7.000	5.000	5.000	90124.000	100.000														
8.000	1.000	54.000	8.000	5.000	5.000	90108.000	100.000														
9.000	55.000	65.000	1.000	5.000	5.000	81307|81107|81207|81505|81405|81605|82307|82107|82207|82505|82405|82605|83307|83107|83207|83505|83405|83605	100.000														
10.000	55.000	65.000	2.000	5.000	5.000	81307|81107|81207|81505|81405|81605|82307|82107|82207|82505|82405|82605|83307|83107|83207|83505|83405|83605	100.000														
11.000	55.000	65.000	3.000	5.000	5.000	81307|81107|81207|81505|81405|81605|82307|82107|82207|82505|82405|82605|83307|83107|83207|83505|83405|83605	100.000														
12.000	55.000	65.000	4.000	5.000	5.000	81307|81107|81207|81505|81405|81605|82307|82107|82207|82505|82405|82605|83307|83107|83207|83505|83405|83605	100.000														
13.000	55.000	65.000	5.000	5.000	5.000	81306|81106|81206|81505|81405|81605|82306|82106|82206|82505|82405|82605|83306|83106|83206|83505|83405|83605	100.000														
14.000	55.000	65.000	6.000	5.000	5.000	81306|81106|81206|81505|81405|81605|82306|82106|82206|82505|82405|82605|83306|83106|83206|83505|83405|83605	100.000														
15.000	55.000	65.000	7.000	5.000	5.000	90124.000	100.000														
16.000	55.000	65.000	8.000	5.000	5.000	90108.000	100.000														
17.000	66.000	75.000	1.000	5.000	5.000	81307|81107|81207|81506|81406|81606|82307|82107|82207|82506|82406|82606|83307|83107|83207|83506|83406|83606	100.000														
18.000	66.000	75.000	2.000	5.000	5.000	81307|81107|81207|81506|81406|81606|82307|82107|82207|82506|82406|82606|83307|83107|83207|83506|83406|83606	100.000														
19.000	66.000	75.000	3.000	5.000	5.000	81307|81107|81207|81506|81406|81606|82307|82107|82207|82506|82406|82606|83307|83107|83207|83506|83406|83606	100.000														
20.000	66.000	75.000	4.000	5.000	5.000	81307|81107|81207|81506|81406|81606|82307|82107|82207|82506|82406|82606|83307|83107|83207|83506|83406|83606	100.000														
21.000	66.000	75.000	5.000	5.000	5.000	81307|81107|81207|81505|81405|81605|82307|82107|82207|82505|82405|82605|83307|83107|83207|83505|83405|83605	100.000														
22.000	66.000	75.000	6.000	5.000	5.000	81306|81106|81206|81505|81405|81605|82306|82106|82206|82505|82405|82605|83306|83106|83206|83505|83405|83605	100.000														
23.000	66.000	75.000	7.000	5.000	5.000	90124.000	100.000														
24.000	66.000	75.000	8.000	5.000	5.000	90108.000	100.000														
25.000	76.000	80.000	1.000	5.000	5.000	81308|81108|81208|81506|81406|81606|82308|82108|82208|82506|82406|82606|83308|83108|83208|83506|83406|83606	100.000														
26.000	76.000	80.000	2.000	5.000	5.000	81308|81108|81208|81506|81406|81606|82308|82108|82208|82506|82406|82606|83308|83108|83208|83506|83406|83606	100.000														
27.000	76.000	80.000	3.000	5.000	5.000	81308|81108|81208|81506|81406|81606|82308|82108|82208|82506|82406|82606|83308|83108|83208|83506|83406|83606	100.000														
28.000	76.000	80.000	4.000	5.000	5.000	81308|81108|81208|81506|81406|81606|82308|82108|82208|82506|82406|82606|83308|83108|83208|83506|83406|83606	100.000														
29.000	76.000	80.000	5.000	5.000	5.000	81307|81107|81207|81505|81405|81605|82307|82107|82207|82505|82405|82605|83307|83107|83207|83505|83405|83605|81306|81106|81206|81505|81405|81605|82306|82106|82206|82505|82405|82605|83306|83106|83206|83505|83405|83605|81307|81107|81207|81506|81406|81606|82307|82107|82207|82506|82406|82606|83307|83107|83207|83506|83406|83606	100.000														
30.000	76.000	80.000	6.000	5.000	5.000	81307|81107|81207|81505|81405|81605|82307|82107|82207|82505|82405|82605|83307|83107|83207|83505|83405|83605|81306|81106|81206|81505|81405|81605|82306|82106|82206|82505|82405|82605|83306|83106|83206|83505|83405|83605|81307|81107|81207|81506|81406|81606|82307|82107|82207|82506|82406|82606|83307|83107|83207|83506|83406|83606	100.000														
31.000	76.000	80.000	7.000	5.000	5.000	90124.000	100.000														
32.000	76.000	80.000	8.000	5.000	5.000	90108.000	100.000														
