Time	RewardType1	RewardID1	RewardNumber1	RewardType2	RewardID2	RewardNumber2	Double	
Int	Int	Int	Int	Int	Int	Int	Int	
1.000	3.000	90129.000	5.000	1.000		1000.000	0.000	
2.000	3.000	20006.000	1.000	1.000		1000.000	0.000	
3.000	2.000	0.000	40.000	1.000		1000.000	0.000	
4.000	3.000	20017.000	1.000	1.000		1000.000	0.000	
5.000	3.000	20001.000	5.000	1.000		1000.000	0.000	
6.000	3.000	20007.000	3.000	1.000		1000.000	0.000	
7.000	4.000	129.000	1.000	1.000		1000.000	0.000	
8.000	3.000	20006.000	2.000	1.000		1000.000	0.000	
9.000	2.000	0.000	60.000	1.000		1000.000	0.000	
10.000	3.000	20017.000	2.000	1.000		1000.000	0.000	
11.000	3.000	20001.000	10.000	1.000		1000.000	0.000	
12.000	3.000	20007.000	6.000	1.000		1000.000	0.000	
13.000	3.000	90129.000	15.000	1.000		1000.000	0.000	
14.000	3.000	20006.000	3.000	1.000		1000.000	0.000	
15.000	2.000	0.000	80.000	1.000		1000.000	0.000	
16.000	3.000	20017.000	3.000	1.000		1000.000	0.000	
17.000	3.000	20001.000	15.000	1.000		1000.000	0.000	
18.000	3.000	20007.000	9.000	1.000		1000.000	0.000	
19.000	3.000	90129.000	20.000	1.000		1000.000	0.000	
20.000	3.000	20003.000	2.000	1.000		1000.000	0.000	
21.000	2.000	0.000	100.000	1.000		1000.000	0.000	
22.000	3.000	20017.000	4.000	1.000		1000.000	0.000	
23.000	3.000	20001.000	20.000	1.000		1000.000	0.000	
24.000	3.000	20007.000	12.000	1.000		1000.000	0.000	
25.000	3.000	90129.000	30.000	1.000		1000.000	0.000	
26.000	3.000	20003.000	3.000	1.000		1000.000	0.000	
27.000	2.000	0.000	120.000	1.000		1000.000	0.000	
28.000	3.000	20017.000	5.000	1.000		1000.000	0.000	
29.000	3.000	20001.000	25.000	1.000		1000.000	0.000	
30.000	3.000	20007.000	15.000	1.000		1000.000	0.000	
31.000	3.000	20006.000	1.000	1.000		1000.000	0.000	
32.000	4.000	119.000	1.000	1.000		1000.000	0.000	
33.000	2.000	0.000	40.000	1.000		1000.000	0.000	
34.000	3.000	90119.000	20.000	1.000		1000.000	0.000	
35.000	3.000	20002.000	1.000	1.000		1000.000	0.000	
36.000	3.000	20007.000	4.000	1.000		1000.000	0.000	
37.000	3.000	20006.000	2.000	1.000		1000.000	0.000	
38.000	3.000	90119.000	30.000	1.000		1000.000	0.000	
39.000	2.000	0.000	60.000	1.000		1000.000	0.000	
40.000	3.000	90119.000	20.000	1.000		1000.000	0.000	
41.000	3.000	20002.000	2.000	1.000		1000.000	0.000	
42.000	3.000	20007.000	5.000	1.000		1000.000	0.000	
43.000	3.000	20006.000	3.000	1.000		1000.000	0.000	
44.000	3.000	90119.000	30.000	1.000		1000.000	0.000	
45.000	2.000	0.000	80.000	1.000		1000.000	0.000	
46.000	3.000	90119.000	20.000	1.000		1000.000	0.000	
47.000	3.000	20002.000	3.000	1.000		1000.000	0.000	
48.000	3.000	20007.000	6.000	1.000		1000.000	0.000	
49.000	3.000	20003.000	2.000	1.000		1000.000	0.000	
50.000	3.000	90119.000	30.000	1.000		1000.000	0.000	
51.000	2.000	0.000	100.000	1.000		1000.000	0.000	
52.000	3.000	90119.000	50.000	1.000		1000.000	0.000	
53.000	3.000	20002.000	4.000	1.000		1000.000	0.000	
54.000	3.000	20007.000	9.000	1.000		1000.000	0.000	
55.000	3.000	20003.000	3.000	1.000		1000.000	0.000	
56.000	3.000	90119.000	50.000	1.000		1000.000	0.000	
57.000	2.000	0.000	120.000	1.000		150000.000	14.000	
58.000	3.000	90119.000	50.000	1.000		150000.000	14.000	
59.000	3.000	20002.000	5.000	1.000		150000.000	15.000	
60.000	3.000	20007.000	15.000	1.000		150000.000		
61.000	3.000	20006.000	1.000	1.000		1000.000	0.000	
62.000	4.000	118.000	1.000	1.000		1000.000	0.000	
63.000	2.000	0.000	40.000	1.000		1000.000	0.000	
64.000	3.000	90118.000	20.000	1.000		1000.000	0.000	
65.000	3.000	20002.000	1.000	1.000		1000.000	0.000	
