ID	Type	AvaliableLevel	RequirementsNumber	Exp	Gold	AwardItem	Number	RewardsType	
Int	Int	Int	Int	Int	Int	Int	Int	Int	
50.000	0.000	1.000	1.000				120.000	0.000	
51.000	1.000	1.000	1.000			20010.000	-1.000	2.000	
52.000	2.000	1.000	1.000				60.000	5.000	
53.000	3.000	1.000	1.000				60.000	6.000	
54.000	4.000	1.000	1.000				60.000	7.000	
55.000	5.000	1.000	10.000	150.000		20000.000	3.000	3.000	
56.000	6.000	9.000	3.000	100.000		20001.000	1.000	3.000	
57.000	7.000	15.000	2.000	100.000	1000.000			4.000	
58.000	8.000	18.000	3.000	100.000	1000.000			4.000	
59.000	9.000	10.000	3.000	100.000	1000.000			4.000	
60.000	10.000	1.000	3.000	100.000	2000.000			4.000	
61.000	11.000	20.000	1.000	100.000		20007.000	1.000	3.000	
62.000	12.000	1.000	5.000		10000.000			4.000	
63.000	13.000	25.000	1.000	100.000	2000.000			4.000	
64.000	1.000	1.000	3.000				120.000	0.000	
