Level	Experience	PlusNormal	NormalConsume	PlusEnhance	EnhanceConsume	PlusLimit	LimitConsume	EndConsume	
Int	Float	Float	Int	Float	Int	Float	Int	Float	
1.000	0.050	1.000	125.000	1.200	250.000	2.000	1.000	0.000	
2.000	0.080	1.000	200.000	1.200	400.000	2.000	1.000	0.000	
3.000	0.120	1.000	300.000	1.200	650.000	2.000	2.000	0.010	
4.000	0.160	1.000	425.000	1.200	900.000	2.000	2.000	0.010	
5.000	0.220	1.000	575.000	1.200	1250.000	2.000	3.000	0.010	
6.000	0.280	1.000	750.000	1.200	1650.000	2.000	3.000	0.010	
7.000	0.360	1.000	950.000	1.200	2050.000	2.000	4.000	0.010	
8.000	0.440	1.000	1175.000	1.200	2550.000	2.000	5.000	0.010	
9.000	0.530	1.000	1425.000	1.200	3100.000	2.000	6.000	0.020	
10.000	0.630	1.000	1700.000	1.200	3700.000	2.000	7.000	0.020	
11.000	0.750	1.000	2000.000	1.200	4400.000	2.000	8.000	0.020	
12.000	0.870	1.000	2325.000	1.200	5100.000	2.000	10.000	0.030	
13.000	1.000	1.000	2675.000	1.200	5850.000	2.000	11.000	0.030	
14.000	1.130	1.000	3050.000	1.200	6700.000	2.000	13.000	0.040	
15.000	1.280	1.000	3450.000	1.200	7550.000	2.000	14.000	0.040	
16.000	1.470	1.000	3950.000	1.200	8650.000	2.000	16.000	0.040	
17.000	1.630	1.000	4400.000	1.200	9650.000	2.000	18.000	0.050	
18.000	1.810	1.000	4875.000	1.200	10700.000	2.000	20.000	0.060	
19.000	2.000	1.000	5375.000	1.200	11800.000	2.000	22.000	0.060	
20.000	2.180	1.000	5875.000	1.200	12900.000	2.000	24.000	0.070	
21.000	2.370	1.000	6375.000	1.200	14000.000	2.000	26.000	0.070	
22.000	2.550	1.000	6875.000	1.200	15100.000	2.000	28.000	0.080	
23.000	2.740	1.000	7375.000	1.200	16200.000	2.000	30.000	0.080	
24.000	2.920	1.000	7875.000	1.200	17300.000	2.000	32.000	0.090	
25.000	3.110	1.000	8375.000	1.200	18400.000	2.000	34.000	0.090	
26.000	3.290	1.000	8875.000	1.200	19500.000	2.000	36.000	0.100	
