ID	SkillType	EffectRatio	Factor	Damage	AddDamage	ExtraDamage	Effective	BuffID1	BuffID2	SelfBuff	
Int	Int	Float	Float	Float	Float	Float	Int	Int	Int	Int	
10100001.000			2.100	28.000	28.000	42.000	0.000	0.000	0.000		
10100002.000			0.600	8.000	8.000	12.000	0.000	9101201.000	9101202.000		
10100003.000			1.000	13.350	13.350	20.020	0.000	9101301.000	0.000		
10100004.000			0.000	0.000	0.000	0.000	0.000	9101401.000	9101402.000		
10200001.000			1.860	24.820	24.820	37.230	0.000	9102101.000	0.000		
10200002.000			0.590	7.800	7.800	11.700	0.000	9102201.000	0.000		
10200003.000			0.000	0.000	0.000	0.000	0.000	9102301.000	0.000		
10200004.000			0.000	0.000	0.000	0.000	0.000	9102401.000	0.000		
10300001.000			1.790	23.800	23.800	35.700	0.000	0.000	0.000		
10300002.000			0.840	11.200	11.200	16.800	0.000	9103201.000	0.000		
10300003.000			0.000	0.000	0.000	0.000	0.000	9103301.000			
10300004.000			0.000	0.000	0.000	0.000	0.000	9103401.000	0.000		
10400001.000			0.980	13.000	13.000	19.500	0.000	0.000	0.000		
10400002.000			0.000	0.000	0.000	0.000	0.000	9104201.000	9104202.000		
10400003.000			1.520	20.280	20.280	30.420	0.000	9104301.000	0.000		
10400004.000			0.000	0.000	0.000	0.000	0.000	9104401.000	0.000		
10500001.000	1.000		1.340	17.860	17.860	26.790	0.000		0.000		
10500002.000			0.000	0.000	0.000	0.000	0.000	9105201.000	0.000		
10500003.000			0.640	8.500	8.500	12.750	0.000	0.000	0.000		
10500004.000			0.000	0.000	0.000	0.000	0.000	9105401.000	0.000		
10600001.000	2.000		1.060	14.110	14.110	21.170	0.000		0.000		
10600002.000			0.980	13.070	13.070	19.600	0.000	0.000	0.000		
10600003.000			0.000	0.000	0.000	0.000	0.000	9106301.000	0.000		
10600004.000			0.000	0.000	0.000	0.000	0.000	9106401.000	0.000		
10700001.000			0.000	0.000	0.000	0.000	0.000	9107101.000	0.000		
10700002.000	2.000		0.300	4.030	4.030	6.050	0.000		0.000		
10700003.000			0.000	0.000	0.000	0.000	0.000	9107301.000	0.000		
10700004.000			0.000	0.000	0.000	0.000	0.000	9107401.000	0.000		
10800001.000			0.740	9.800	9.800	14.700	0.000	9108101.000	0.000		
10800002.000			0.760	10.080	10.080	15.120	0.000	9108201.000	0.000		
10800003.000			0.000	0.000	0.000	0.000	0.000	9108301.000	0.000		
10800004.000			0.000	0.000	0.000	0.000	0.000	9108401.000	9108402.000		
10900001.000			1.240	16.500	16.500	24.750	0.000	0.000	0.000		
10900002.000			1.290	17.160	17.160	25.740	0.000	9109201.000	0.000		
10900003.000		1.500	0.970	12.870	12.870	19.310	0.000	0.000	0.000		
10900004.000			0.000	0.000	0.000	0.000	0.000	9109401.000	0.000		
11000001.000			0.750	10.000	10.000	15.000	0.000	0.000	0.000		
11000002.000			1.080	14.400	14.400	21.600	0.000	9110201.000	0.000		
11000003.000			1.070	14.300	14.300	21.450	0.000	9110301.000	0.000		
11000004.000			0.000	0.000	0.000	0.000	0.000	9110401.000	0.000		
11100001.000			1.100	14.700	14.700	22.050	0.000	9111101.000	9111102.000		
11100002.000			0.000	0.000	0.000	0.000	0.000	9111201.000	9111202.000		
11100003.000			0.000	0.000	0.000	0.000	0.000	9111301.000	0.000		
11100004.000			0.000	0.000	0.000	0.000	0.000	9111401.000	0.000		
11200001.000	1.000		1.630	21.670	21.670	32.500	0.000				
11200002.000			1.400	18.720	18.720	28.080	0.000	9112201.000			
11200003.000			0.000	0.000	0.000	0.000	0.000	9112301.000			
11200004.000			0.000	0.000	0.000	0.000	0.000	9112401.000	9112402.000		
11300001.000		2.500	2.350	31.360	31.360	47.040	0.000	0.000	0.000		
11300002.000			1.390	18.480	18.480	27.720	0.000	9113201.000			
11300003.000			0.000	0.000	0.000	0.000	0.000	9113302.000		9113301.000	
11300004.000			0.000	0.000	0.000	0.000	0.000	9113401.000	0.000		
11400001.000			3.150	42.000	42.000	63.000	0.000	9114101.000	0.000		
11400002.000			0.000	0.000	0.000	0.000	0.000	9114201.000	9114202.000		
11400003.000			1.000	13.350	13.350	20.020	0.000	9114301.000	0.000		
11400004.000			0.000	0.000	0.000	0.000	0.000	9114401.000	9114402.000		
11500001.000			0.000	0.000	0.000	0.000	0.000	9115101.000	9115102.000		
11500002.000			0.960	12.800	12.800	19.200	0.000	9115201.000	0.000		
11500003.000			1.400	18.700	18.700	28.050	0.000		0.000		
11500004.000			0.000	0.000	0.000	0.000	0.000	9115401.000	0.000		
11700001.000			1.730	23.100	23.100	34.650	0.000	9117101.000	0.000		
11700002.000			1.190	15.840	15.840	23.760	0.000	9117201.000	0.000		
11700003.000			1.180	15.730	15.730	23.600	0.000	9117301.000	0.000		
11700004.000			0.000	0.000	0.000	0.000	0.000	9117401.000	0.000		
11800001.000			1.650	22.000	22.000	33.000	0.000	0.000	0.000		
11800002.000			1.580	21.120	21.120	31.680	0.000	0.000	0.000		
11800003.000			1.540	20.570	20.570	30.860	0.000	0.000	0.000		
11800004.000			0.000	0.000	0.000	0.000	0.000	9118401.000	9118402.000		
11900001.000			1.020	13.650	13.650	20.480	0.000	9119101.000	9119102.000		
11900002.000			1.400	18.720	18.720	28.080	0.000	9119201.000	9119202.000		
11900003.000			0.000	0.000	0.000	0.000	0.000	9119301.000	0.000		
11900004.000			0.000	0.000	0.000	0.000	0.000	9119401.000	0.000		
12000001.000	1.000		2.210	29.400	29.400	44.100	0.000	9120101.000			
12000002.000			2.020	26.880	26.880	40.320	0.000	0.000	0.000		
12000003.000			0.000	0.000	0.000	0.000	0.000	9120301.000	0.000		
12000004.000			0.000	0.000	0.000	0.000	0.000	9120401.000	0.000		
