ID	Type	Position	County	Star	Rank	Power	Intelligence	Agility	MaxHealth	Physic	Magic	Armor	Resistance	Crit	HealthRecovery	EnergyRecovery	BloodLevel	OffsetArmor	OffsetResistance	AddCure	Dodge	Skill1	Skill2	Skill3	Skill4	SkillLoop	AttackCD	AttackRange	Relationship1	Relationship2	Relationship3	Relationship4	URL	
Int	Int	Int	Int	Int	Int	Float	Float	Float	Float	Float	Float	Float	Float	Float	Float	Float	Float	Float	Float	Float	Float	Int	Int	Int	Int	string	Float	Float	Int	Int	Int	Int	String	
101.000	0.000	0.000	2.000	3.000	1.000	34.800	21.600	27.600	681.600	66.000	39.600	4.800	1.200	8.400	0.000	0.000	0.000	0.000	0.000	0.000	0.000	10100001.000	10100002.000	10100003.000	10100004.000	0,1,2,0,0,0,1	1.300	2.520	1097.000	1022.000	1037.000	1073.000	gyu_01	
102.000	0.000	0.000	2.000	3.000	1.000	34.800	18.000	26.400	778.800	62.400	62.400	6.000	2.400	6.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	10200001.000	10200002.000	10200003.000	10200004.000	2,0,0,0,0	1.300	2.510	1098.000	1022.000	1025.000	1032.000	zfei_01	
103.000	1.000	1.000	2.000	3.000	1.000	21.600	36.000	24.000	607.200	58.800	88.800	3.600	2.400	7.200	0.000	0.000	0.000	0.000	0.000	0.000	0.000	10300001.000	10300002.000	10300003.000	10300004.000	1,2,0,0,1,2,0	1.300	8.053	1097.000	1028.000	1029.000	1033.000	zgliang_01	
104.000	2.000	0.000	2.000	3.000	1.000	27.600	24.000	30.000	567.600	70.000	49.200	3.600	2.400	9.600	0.000	0.000	0.000	0.000	0.000	0.000	0.000	10400001.000	10400002.000	10400003.000	10400004.000	2,0,0,0,2,0,0,0	1.100	8.080	1022.000	1023.000	1078.000	1040.000	hzhong_01	
105.000	1.000	1.000	3.000	1.000	1.000	16.000	16.000	19.000	454.000	42.000	40.000	3.000	1.000	8.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	10500001.000	10500002.000	10500003.000	10500004.000	0,1,2,0,0,1,2	1.300	8.100	1052.000	1093.000	1054.000	1079.000	xqiao_01	
106.000	1.000	1.000	4.000	3.000	1.000	21.600	27.600	24.000	752.400	52.400	85.200	3.600	3.600	4.800	0.000	0.000	0.000	0.000	0.000	0.000	0.000	10600001.000	10600002.000	10600003.000	10600004.000	1,2,0,0,1,0,2	1.300	8.040	1102.000	1088.000	1061.000	1079.000	dchan_01	
107.000	1.000	1.000	1.000	3.000	1.000	20.400	33.600	20.400	591.600	52.400	81.600	2.400	3.600	8.400	0.000	0.000	0.000	0.000	0.000	0.000	0.000	10700001.000	10700002.000	10700003.000	10700004.000	0,0,0,2,1,0,0,1,2	1.300	8.030	1007.000	1021.000	1006.000	1005.000	gjia_01	
108.000	1.000	0.000	3.000	3.000	1.000	22.000	29.000	15.000	627.000	65.000	71.000	3.000	3.000	4.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	10800001.000	10800002.000	10800003.000	10800004.000	0,1,2,0,0	1.300	2.530	1044.000	1084.000	1046.000	1054.000	zyu_01	
109.000	1.000	0.000	3.000	2.000	1.000	16.500	24.200	18.700	478.500	55.000	60.500	1.100	2.200	7.700	0.000	0.000	0.000	0.000	0.000	0.000	0.000	10900001.000	10900002.000	10900003.000	10900004.000	0,1,2,0,0,1,2	1.300	8.070	1051.000	1084.000	1076.000	1075.000	ssxiang_01	
