ID	MinLevel	MaxLevel	Hardlevel	Money	Exploit	WhiteItemWeight	GreenItemWeight	BlueItemWeight	PurpleItemWeight	WhiteItem	GreenItem	BlueItem	PurpleItem	StageWeight1	StageWeight2	StageWeight3	StageId1	StageId2	StageId3	
Int	Int	Int	Float	Int	Int	Int	Int	Int	Int	String	String	String	String	Int	Int	Int	String	String	String	
300001.000	1.000	24.000	0.300	10000.000	30.000	8.000	4.000	2.000	1.000	11101|11201|11301|11401|11501|11601|12101|12201|12301|12401|12501|12601|13101|13201|13301|13401|13501|13601	11102|11103|11202|11203|11302|11303|11402|11502|11602|12102|12103|12202|12203|12302|12303|12402|12502|12602|13102|13103|13202|13203|13302|13303|13402|13502|13602	81104|81105|81204|81205|81304|81305|81403|81404|81503|81504|81603|81604|82104|82105|82204|82205|82304|82305|82403|82404|82503|82504|82603|82604|83104|83105|83204|83205|83304|83305|83403|83404|83503|83504|83603|83604	81106|81107|81206|81207|81306|81307|81405|81406|81505|81506|81605|81606|82106|82107|82206|82207|82306|82307|82405|82406|82505|82506|82605|82606|83106|83107|83206|83207|83306|83307|83405|83406|83505|83506|83605|83606	0.000	0.000	0.000	129|131|130|135	141.000	101|102	
300002.000	1.000	24.000	0.350	15000.000	40.000	8.000	4.000	2.000	1.000	11101|11201|11301|11401|11501|11601|12101|12201|12301|12401|12501|12601|13101|13201|13301|13401|13501|13601	11102|11103|11202|11203|11302|11303|11402|11502|11602|12102|12103|12202|12203|12302|12303|12402|12502|12602|13102|13103|13202|13203|13302|13303|13402|13502|13602	81104|81105|81204|81205|81304|81305|81403|81404|81503|81504|81603|81604|82104|82105|82204|82205|82304|82305|82403|82404|82503|82504|82603|82604|83104|83105|83204|83205|83304|83305|83403|83404|83503|83504|83603|83604	81106|81107|81206|81207|81306|81307|81405|81406|81505|81506|81605|81606|82106|82107|82206|82207|82306|82307|82405|82406|82505|82506|82605|82606|83106|83107|83206|83207|83306|83307|83405|83406|83505|83506|83605|83606	0.000	0.000	0.000	129|131|130|135	141.000	101|102	
300003.000	1.000	24.000	0.400	20000.000	50.000	8.000	4.000	2.000	1.000	11101|11201|11301|11401|11501|11601|12101|12201|12301|12401|12501|12601|13101|13201|13301|13401|13501|13601	11102|11103|11202|11203|11302|11303|11402|11502|11602|12102|12103|12202|12203|12302|12303|12402|12502|12602|13102|13103|13202|13203|13302|13303|13402|13502|13602	81104|81105|81204|81205|81304|81305|81403|81404|81503|81504|81603|81604|82104|82105|82204|82205|82304|82305|82403|82404|82503|82504|82603|82604|83104|83105|83204|83205|83304|83305|83403|83404|83503|83504|83603|83604	81106|81107|81206|81207|81306|81307|81405|81406|81505|81506|81605|81606|82106|82107|82206|82207|82306|82307|82405|82406|82505|82506|82605|82606|83106|83107|83206|83207|83306|83307|83405|83406|83505|83506|83605|83606	0.500	0.000	0.000	129|131|130|135	141.000	101|102	
300004.000	1.000	24.000	0.450	25000.000	60.000	8.000	4.000	2.000	1.000	11101|11201|11301|11401|11501|11601|12101|12201|12301|12401|12501|12601|13101|13201|13301|13401|13501|13601	11102|11103|11202|11203|11302|11303|11402|11502|11602|12102|12103|12202|12203|12302|12303|12402|12502|12602|13102|13103|13202|13203|13302|13303|13402|13502|13602	81104|81105|81204|81205|81304|81305|81403|81404|81503|81504|81603|81604|82104|82105|82204|82205|82304|82305|82403|82404|82503|82504|82603|82604|83104|83105|83204|83205|83304|83305|83403|83404|83503|83504|83603|83604	81106|81107|81206|81207|81306|81307|81405|81406|81505|81506|81605|81606|82106|82107|82206|82207|82306|82307|82405|82406|82505|82506|82605|82606|83106|83107|83206|83207|83306|83307|83405|83406|83505|83506|83605|83606	0.000	0.000	0.000	129|131|130|135	141.000	101|102	
300005.000	1.000	24.000	0.500	30000.000	70.000	8.000	4.000	2.000	1.000	11101|11201|11301|11401|11501|11601|12101|12201|12301|12401|12501|12601|13101|13201|13301|13401|13501|13601	11102|11103|11202|11203|11302|11303|11402|11502|11602|12102|12103|12202|12203|12302|12303|12402|12502|12602|13102|13103|13202|13203|13302|13303|13402|13502|13602	81104|81105|81204|81205|81304|81305|81403|81404|81503|81504|81603|81604|82104|82105|82204|82205|82304|82305|82403|82404|82503|82504|82603|82604|83104|83105|83204|83205|83304|83305|83403|83404|83503|83504|83603|83604	81106|81107|81206|81207|81306|81307|81405|81406|81505|81506|81605|81606|82106|82107|82206|82207|82306|82307|82405|82406|82505|82506|82605|82606|83106|83107|83206|83207|83306|83307|83405|83406|83505|83506|83605|83606	0.000	0.000	0.000	129|131|130|135	141.000	101|102	
300006.000	1.000	24.000	0.600	35000.000	80.000	8.000	4.000	2.000	1.000	11101|11201|11301|11401|11501|11601|12101|12201|12301|12401|12501|12601|13101|13201|13301|13401|13501|13601	11102|11103|11202|11203|11302|11303|11402|11502|11602|12102|12103|12202|12203|12302|12303|12402|12502|12602|13102|13103|13202|13203|13302|13303|13402|13502|13602	81104|81105|81204|81205|81304|81305|81403|81404|81503|81504|81603|81604|82104|82105|82204|82205|82304|82305|82403|82404|82503|82504|82603|82604|83104|83105|83204|83205|83304|83305|83403|83404|83503|83504|83603|83604	81106|81107|81206|81207|81306|81307|81405|81406|81505|81506|81605|81606|82106|82107|82206|82207|82306|82307|82405|82406|82505|82506|82605|82606|83106|83107|83206|83207|83306|83307|83405|83406|83505|83506|83605|83606	0.000	0.300	0.000	129|131|130|135	141.000	101|102	
300007.000	1.000	24.000	0.700	40000.000	90.000		4.000	2.000	1.000	11101|11201|11301|11401|11501|11601|12101|12201|12301|12401|12501|12601|13101|13201|13301|13401|13501|13601	11102|11103|11202|11203|11302|11303|11402|11502|11602|12102|12103|12202|12203|12302|12303|12402|12502|12602|13102|13103|13202|13203|13302|13303|13402|13502|13602	81104|81105|81204|81205|81304|81305|81403|81404|81503|81504|81603|81604|82104|82105|82204|82205|82304|82305|82403|82404|82503|82504|82603|82604|83104|83105|83204|83205|83304|83305|83403|83404|83503|83504|83603|83604	81106|81107|81206|81207|81306|81307|81405|81406|81505|81506|81605|81606|82106|82107|82206|82207|82306|82307|82405|82406|82505|82506|82605|82606|83106|83107|83206|83207|83306|83307|83405|83406|83505|83506|83605|83606	0.000	0.000	0.000	129|131|130|135	141.000	101|102	
300008.000	1.000	24.000	0.800	45000.000	100.000		4.000	2.000	1.000	11101|11201|11301|11401|11501|11601|12101|12201|12301|12401|12501|12601|13101|13201|13301|13401|13501|13601	11102|11103|11202|11203|11302|11303|11402|11502|11602|12102|12103|12202|12203|12302|12303|12402|12502|12602|13102|13103|13202|13203|13302|13303|13402|13502|13602	81104|81105|81204|81205|81304|81305|81403|81404|81503|81504|81603|81604|82104|82105|82204|82205|82304|82305|82403|82404|82503|82504|82603|82604|83104|83105|83204|83205|83304|83305|83403|83404|83503|83504|83603|83604	81106|81107|81206|81207|81306|81307|81405|81406|81505|81506|81605|81606|82106|82107|82206|82207|82306|82307|82405|82406|82505|82506|82605|82606|83106|83107|83206|83207|83306|83307|83405|83406|83505|83506|83605|83606	0.000	0.000	0.000	129|131|130|135	141.000	101|102	
300009.000	1.000	24.000	0.900	50000.000	110.000		4.000	2.000	1.000	11101|11201|11301|11401|11501|11601|12101|12201|12301|12401|12501|12601|13101|13201|13301|13401|13501|13601	11102|11103|11202|11203|11302|11303|11402|11502|11602|12102|12103|12202|12203|12302|12303|12402|12502|12602|13102|13103|13202|13203|13302|13303|13402|13502|13602	81104|81105|81204|81205|81304|81305|81403|81404|81503|81504|81603|81604|82104|82105|82204|82205|82304|82305|82403|82404|82503|82504|82603|82604|83104|83105|83204|83205|83304|83305|83403|83404|83503|83504|83603|83604	81106|81107|81206|81207|81306|81307|81405|81406|81505|81506|81605|81606|82106|82107|82206|82207|82306|82307|82405|82406|82505|82506|82605|82606|83106|83107|83206|83207|83306|83307|83405|83406|83505|83506|83605|83606	0.000	0.000	0.000	129|131|130|135	141.000	101|102	
