ID	Tickets	Type	Battle	
Int	Int	Int	String	
900001.000	-1.000		100000|100001|100002|100003|100004|100005|100006|100007|100008|100009	
900002.000	-1.000	0.000	100010|100011|100012|100013|100014|100015|100016|100017|100018|100019	
900003.000	-1.000	0.000	100020|100021|100022|100023|100024|100025|100026|100027|100028|100029	
900004.000	-1.000	0.000	100030|100031|100032|100033|100034|100035|100036|100037|100038|100039	
900005.000	-1.000	0.000	100040|100041|100042|100043|100044|100045|100046|100047|100048|100049	
900006.000	-1.000	0.000	100050|100051|100052|100053|100054|100055|100056|100057|100058|100059	
900007.000	-1.000	0.000	100060|100061|100062|100063|100064|100065|100066|100067|100068|100069	
900008.000	-1.000	0.000	100070|100071|100072|100073|100074|100075|100076|100077|100078|100079	
900009.000	-1.000	0.000	100080|100081|100082|100083|100084|100085|100086|100087|100088|100089	
900010.000	-1.000	0.000	100090|100091|100092|100093|100094|100095|100096|100097|100098|100099	
900011.000	-1.000	0.000	100100|100101|100102|100103|100104|100105|100106|100107|100108|100109	
900012.000	-1.000	0.000	100110|100111|100112|100113|100114|100115|100116|100117|100118|100119	
900013.000	-1.000	0.000	100120|100121|100122|100123|100124|100125|100126|100127|100128|100129	
900014.000	-1.000	0.000	100130|100131|100132|100133|100134|100135|100136|100137|100138|100139	
900015.000	-1.000	0.000	100140|100141|100142|100143|100144|100145|100146|100147|100148|100149	
900016.000	-1.000	0.000	100150|100151|100152|100153|100154|100155|100156|100157|100158|100159	
901001.000	-1.000	1.000	200000|200001|200002|200003|200004|200005|200006|200007|200008|200009	
901002.000	-1.000	1.000	200010|200011|200012|200013|200014|200015|200016|200017|200018|200019	
901003.000	-1.000	1.000	200020|200021|200022|200023|200024|200025|200026|200027|200028|200029	
901004.000	-1.000	1.000	200030|200031|200032|200033|200034|200035|200036|200037|200038|200039	
901005.000	-1.000	1.000	200040|200041|200042|200043|200044|200045|200046|200047|200048|200049	
901006.000	-1.000	1.000	200050|200051|200052|200053|200054|200055|200056|200057|200058|200059	
901007.000	-1.000	1.000	200060|200061|200062|200063|200064|200065|200066|200067|200068|200069	
901008.000	-1.000	1.000	200070|200071|200072|200073|200074|200075|200076|200077|200078|200079	
901009.000	-1.000	1.000	200080|200081|200082|200083|200084|200085|200086|200087|200088|200089	
901010.000	-1.000	1.000	200090|200091|200092|200093|200094|200095|200096|200097|200098|200099	
901011.000	-1.000	1.000	200100|200101|200102|200103|200104|200105|200106|200107|200108|200109	
901012.000	-1.000	1.000	200110|200111|200112|200113|200114|200115|200116|200117|200118|200119	
901013.000	-1.000	1.000	200120|200121|200122|200123|200124|200125|200126|200127|200128|200129	
901014.000	-1.000	1.000	200130|200131|200132|200133|200134|200135|200136|200137|200138|200139	
901015.000	-1.000	1.000	200140|200141|200142|200143|200144|200145|200146|200147|200148|200149	
901016.000	-1.000	1.000	200150|200151|200152|200153|200154|200155|200156|200157|200158|200159	
800001.000	3.000	5.000	800001|800002|800003|800004|800005|800006	
700001.000	5.000	4.000	700001|700002|700003|700004|700005|700006	
700002.000	5.000	4.000	700007|700008|700009|700010|700011|700012	
700003.000	5.000	4.000	700013|700014|700015|700016|700017|700018	
100001.000	-1.000	7.000	800040|800060|800070|800090|800100|800120|800140|800160	
