Level	Exp	RoleMaxLevel	ActionLimited	ActionRecover	
Int	Int	Int	Int	Int	
1.000	0.000	25.000	60.000	20.000	
2.000	12.000	25.000	62.000	20.000	
3.000	30.000	25.000	63.000	20.000	
4.000	50.000	25.000	64.000	20.000	
5.000	85.000	25.000	65.000	20.000	
6.000	135.000	25.000	66.000	25.000	
7.000	200.000	25.000	67.000	25.000	
8.000	265.000	25.000	68.000	25.000	
9.000	335.000	25.000	69.000	25.000	
10.000	435.000	25.000	70.000	25.000	
11.000	535.000	25.000	71.000	25.000	
12.000	660.000	25.000	72.000	30.000	
13.000	785.000	25.000	73.000	30.000	
14.000	920.000	25.000	74.000	30.000	
15.000	1050.000	25.000	75.000	30.000	
16.000	1180.000	25.000	76.000	30.000	
17.000	1310.000	25.000	77.000	30.000	
18.000	1440.000	25.000	78.000	30.000	
19.000	1570.000	25.000	79.000	30.000	
20.000	1700.000	25.000	80.000	30.000	
21.000	1830.000	25.000	81.000	40.000	
22.000	1960.000	25.000	82.000	40.000	
23.000	2110.000	25.000	83.000	40.000	
24.000	2270.000	25.000	84.000	40.000	
25.000	2450.000	25.000	85.000	40.000	
26.000	2640.000	26.000	86.000	40.000	
27.000	2840.000	27.000	87.000	40.000	
28.000	3080.000	28.000	88.000	40.000	
29.000	3360.000	29.000	89.000	40.000	
30.000	3660.000	30.000	90.000	40.000	
31.000	4000.000	31.000	91.000	60.000	
32.000	4400.000	32.000	92.000	60.000	
33.000	4850.000	33.000	93.000	60.000	
34.000	5350.000	34.000	94.000	60.000	
35.000	5960.000	35.000	95.000	60.000	
36.000	6680.000	36.000	96.000	60.000	
37.000	7510.000	37.000	97.000	60.000	
38.000	8610.000	38.000	98.000	60.000	
39.000	9810.000	39.000	99.000	60.000	
40.000	11010.000	40.000	100.000	60.000	
41.000	12510.000	41.000	101.000	80.000	
42.000	14010.000	42.000	102.000	80.000	
43.000	15710.000	43.000	103.000	80.000	
44.000	17410.000	44.000	104.000	80.000	
45.000	19110.000	45.000	105.000	80.000	
46.000	20910.000	46.000	106.000	80.000	
47.000	22910.000	47.000	107.000	80.000	
48.000	24910.000	48.000	108.000	80.000	
49.000	27110.000	49.000	109.000	80.000	
50.000	29310.000	50.000	110.000	80.000	
51.000	31610.000	51.000	111.000	100.000	
52.000	33910.000	52.000	112.000	100.000	
53.000	36210.000	53.000	113.000	100.000	
54.000	38710.000	54.000	114.000	100.000	
55.000	41410.000	55.000	115.000	100.000	
56.000	44110.000	56.000	116.000	100.000	
57.000	46910.000	57.000	117.000	100.000	
58.000	49910.000	58.000	118.000	100.000	
59.000	53110.000	59.000	119.000	100.000	
60.000	56410.000	60.000	120.000	100.000	
61.000	59720.000	61.000	121.000	120.000	
62.000	63020.000	62.000	122.000	120.000	
63.000	66520.000	63.000	123.000	120.000	
64.000	70020.000	64.000	124.000	120.000	
65.000	73720.000	65.000	125.000	120.000	
66.000	77520.000	66.000	126.000	120.000	
67.000	81520.000	67.000	127.000	120.000	
68.000	85720.000	68.000	128.000	120.000	
69.000	90020.000	69.000	129.000	120.000	
70.000	94520.000	70.000	130.000	120.000	
71.000	99220.000	71.000	131.000	140.000	
72.000	103920.000	72.000	132.000	140.000	
73.000	108620.000	73.000	133.000	140.000	
74.000	113320.000	74.000	134.000	140.000	
75.000	118020.000	75.000	135.000	140.000	
76.000	122720.000	76.000	136.000	140.000	
77.000	127420.000	77.000	137.000	140.000	
78.000	132120.000	78.000	138.000	140.000	
79.000	136820.000	79.000	139.000	140.000	
80.000	141615.000	80.000	140.000	140.000	
