//属性	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
生命上限	39744	38194	36705	35273	33897	32575	31305	30084	28911	27783	26700	25658	24658	23696	22772	21884	21030	20210	19422	18665	17937	17237	16565	15919	15298	14701	14128	13577	13048	12539	12050	11580	11128	10694	10277	9876	9491	9121	8765	8423	8095	7779	7476	7184	6904	6635	6376	6127	5888	5659	5438	5226	5022	4826	4638	4457	4283	4116	3956	3801	3653	3511	3374	3242	3116	2994	2878	2765	2657	2554	2454	2358	2267	2178	2093	2012	1933	1858	1785	1716	1649	1584	1523	1463	1406	1351	1299	1248	1199	1153	1108	1064	1023	983	945	908	872	838	806	774
内力上限	232504	180706	138782	106585	81857	62866	48281	37080	28477	21871	16797	12900	9907	7609	5843	4488	3447																																																																																			
外功基础	178694	144000	119232	98724	81744	67684	56042	46403	38422	31813	26341	21811	18059	14953	12381	10251	8488	7028	5819	4818	3990	3303																																																																														
外功精通	624113	243750	95063	37074																																																																																																
内功基础	178694	144000	119232	98724	81744	67684	56042	46403	38422	31813	26341	21811	18059	14953	12381	10251	8488	7028	5819	4818	3990	3303																																																																														
内功精通	624113	243750	95063	37074																																																																																																
外防基础	119343	87971	79323	71526	64495	58155	52438	47284	42636	38445	34665	31258	28185	25415	22916	20664	18632	16801	15149	13660	12317	11107	10015	9030	8143	7342	6620	5970	5383	4854	4377	3946	3558	3209	2893	2609	2352	2121	1913	1725	1555																																																											
外防精通	624113	243750	95063	37074																																																																																																
内防基础	119343	87971	79323	71526	64495	58155	52438	47284	42636	38445	34665	31258	28185	25415	22916	20664	18632	16801	15149	13660	12317	11107	10015	9030	8143	7342	6620	5970	5383	4854	4377	3946	3558	3209	2893	2609	2352	2121	1913	1725	1555																																																											
内防精通	624113	243750	95063	37074																																																																																																
杀气	503906	250000	125000	62500	31250	15625	7813	3906																																																																																												
