//名称	编号	脚本ID	类型	物品模型编号	最大耐久度	耐久改变方式	耐久改变数	叠加数量	购入货币类型	购买价格	使用门派	等级需求	性别需求	可否丢弃	可否卖店	可否交易	可否修理	可否存仓库	死亡掉落	可否使用	可否鉴定	冷却时间	冷却组	吟唱时间（毫秒）	道具颜色类型	任务关联	任务关联数量	图标编号	物品说明
//★【新手装备】★	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
新手棍	9000001	0	101	200	4000	16	0	1	1	0	3	1	0	1	1	1	1	0	0	1	0	0	0	0	1	0	0	20001	兵器的一种，习武初学武器。
新手剑	9000002	0	101	50	4000	16	0	1	1	0	2	1	0	1	1	1	1	0	0	1	0	0	0	0	1	0	0	14001	兵器的一种，习武初学武器。
新手刀	9000003	0	101	300	4000	16	0	1	1	0	1	1	0	1	1	1	1	0	0	1	0	0	0	0	1	0	0	18001	兵器的一种，习武初学武器。
新手环	9000004	0	101	100	4000	16	0	1	1	0	5	1	0	1	1	1	1	0	0	1	0	0	0	0	1	0	0	16001	兵器的一种，习武初学武器。
新手法器	9000005	0	101	400	4000	16	0	1	1	0	4	1	0	1	1	1	1	0	0	1	0	0	0	0	1	0	0	22001	兵器的一种，习武初学武器。
新手袍	9010001	0	107	4000	4000	16	0	1	1	0	0	1	1	1	1	1	1	0	0	1	0	0	0	0	1	0	0	6001	
新手袍	9010002	0	107	4000	4000	16	0	1	1	0	0	1	1	1	1	1	1	0	0	1	0	0	0	0	1	0	0	6001	
新手袍	9010003	0	107	4000	4000	16	0	1	1	0	0	1	1	1	1	1	1	0	0	1	0	0	0	0	1	0	0	6001	
新手袍	9010004	0	107	4003	4000	16	0	1	1	0	0	1	2	1	1	1	1	0	0	1	0	0	0	0	1	0	0	6005	
新手袍	9010005	0	107	4003	4000	16	0	1	1	0	0	1	2	1	1	1	1	0	0	1	0	0	0	0	1	0	0	6005	
新手袍	9010006	0	107	4003	4000	16	0	1	1	0	0	1	2	1	1	1	1	0	0	1	0	0	0	0	1	0	0	6005	
新手裤	9010007	0	104	4000	4000	16	0	1	1	0	0	1	1	1	1	1	1	0	0	1	0	0	0	0	1	0	0	8001	
新手裤	9010008	0	104	4000	4000	16	0	1	1	0	0	1	1	1	1	1	1	0	0	1	0	0	0	0	1	0	0	8001	
新手裤	9010009	0	104	4000	4000	16	0	1	1	0	0	1	1	1	1	1	1	0	0	1	0	0	0	0	1	0	0	8001	
新手裤	9010010	0	104	4003	4000	16	0	1	1	0	0	1	2	1	1	1	1	0	0	1	0	0	0	0	1	0	0	8005	
新手裤	9010011	0	104	4003	4000	16	0	1	1	0	0	1	2	1	1	1	1	0	0	1	0	0	0	0	1	0	0	8005	
新手裤	9010012	0	104	4003	4000	16	0	1	1	0	0	1	2	1	1	1	1	0	0	1	0	0	0	0	1	0	0	8005	
新手护腕	9010013	0	103	4000	4000	16	0	1	1	0	0	1	1	1	1	1	1	0	0	1	0	0	0	0	1	0	0	4001	
新手护腕	9010014	0	103	4000	4000	16	0	1	1	0	0	1	1	1	1	1	1	0	0	1	0	0	0	0	1	0	0	4001	
新手护腕	9010015	0	103	4000	4000	16	0	1	1	0	0	1	1	1	1	1	1	0	0	1	0	0	0	0	1	0	0	4001	
新手护腕	9010016	0	103	4003	4000	16	0	1	1	0	0	1	2	1	1	1	1	0	0	1	0	0	0	0	1	0	0	4005	
新手护腕	9010017	0	103	4003	4000	16	0	1	1	0	0	1	2	1	1	1	1	0	0	1	0	0	0	0	1	0	0	4005	
新手护腕	9010018	0	103	4003	4000	16	0	1	1	0	0	1	2	1	1	1	1	0	0	1	0	0	0	0	1	0	0	4005	
新手鞋	9010019	0	106	4000	4000	16	0	1	1	0	0	1	1	1	1	1	1	0	0	1	0	0	0	0	1	0	0	2001	
新手鞋	9010020	0	106	4000	4000	16	0	1	1	0	0	1	1	1	1	1	1	0	0	1	0	0	0	0	1	0	0	2001	
新手鞋	9010021	0	106	4000	4000	16	0	1	1	0	0	1	1	1	1	1	1	0	0	1	0	0	0	0	1	0	0	2001	
新手鞋	9010022	0	106	4003	4000	16	0	1	1	0	0	1	2	1	1	1	1	0	0	1	0	0	0	0	1	0	0	2005	
新手鞋	9010023	0	106	4003	4000	16	0	1	1	0	0	1	2	1	1	1	1	0	0	1	0	0	0	0	1	0	0	2005	
新手鞋	9010024	0	106	4003	4000	16	0	1	1	0	0	1	2	1	1	1	1	0	0	1	0	0	0	0	1	0	0	2005	
侠义道测试金针菇	9000025	0	101	200	10000	16	0	1	1	0	0	1	0	1	1	1	1	0	0	1	0	0	0	0	1	0	0	20001	侠义道3专门杀怪武器，该武器名字很鬼意，但属性很强。
//★【少林武器】★	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
//【少林白色武器】	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
石纹	2000001	0	101	200	4000	16	0	1	1	64	3	1	0	1	1	1	1	0	0	1	0	0	0	0	1	0	0	20001	兵器的一种，百姓日常武器。
赤金	2000002	0	101	201	4000	16	0	1	1	520	3	10	0	1	1	1	1	0	0	1	0	0	0	0	1	0	0	20002	兵器的一种，百姓日常武器。
万法	2000003	0	101	201	4000	16	0	1	1	1307	3	20	0	1	1	1	1	0	0	1	0	0	0	0	1	0	0	20002	兵器的一种，民间习武之人惯用武器。
无量	2000004	0	101	201	4000	16	0	1	1	2267	3	30	0	1	1	1	1	0	0	1	0	0	0	0	1	0	0	20002	兵器的一种，民间习武之人惯用武器。
玄象	2000005	0	101	208	4000	16	0	1	1	0	3	40	0	1	1	1	1	0	0	1	0	0	0	0	1	0	0	20009	兵器的一种，民间习武之人惯用武器。
金阳	2000006	0	101	208	4000	16	0	1	1	0	3	50	0	1	1	1	1	0	0	1	0	0	0	0	1	0	0	20009	兵器的一种，民间习武之人惯用武器。
太祖	2000007	0	101	208	4000	16	0	1	1	0	3	60	0	1	1	1	1	0	0	1	0	0	0	0	1	0	0	20009	兵器的一种，民间习武之人惯用武器。
