//侠客ID	侠客姓名	生命	内力	攻击	防御	稀有度最小值	稀有度最大值	升级经验（初值+（当前等级-1）*10）	模型ID	道具ICON(对应未使用的侠客道具)	携带等级要求	性别	门派
1	少林大师兄	440	110	64	48	1	3	138	9001	10010001	5	1	9
2	少林大师姐	440	110	64	48	1	3	138	9002	10010002	5	2	9
3	日月大师兄	440	110	64	48	1	3	138	9003	10010003	5	1	11
4	日月大师姐	440	110	64	48	1	3	138	9004	10010004	5	2	11
5	蜀山大师兄	440	110	64	48	1	3	138	9005	10010005	5	1	8
6	蜀山大师姐	440	110	64	48	1	3	138	9006	10010006	5	2	8
7	五岳大师兄	440	110	64	48	1	3	138	9007	10010007	5	1	7
8	五岳大师姐	440	110	64	48	1	3	138	9008	10010008	5	2	7
9	不死僧	5000	5000	500	100	5	5	138	30131	10010009	10	1	6
10	杨过	500	200	70	50	5	5	138	9003	1002	10	1	6
11	郭靖	800	300	80	40	5	5	138	9004	1003	10	1	6
12	黄蓉	400	500	50	30	5	5	138	9001	1004	10	2	6
13	小龙女	400	600	60	40	5	5	138	9002	1005	10	2	6
14	欧阳峰	1000	600	90	40	5	5	138	9003	1006	10	1	6
15	凤姐	5000	5000	1	100	3	5	138	9004	1007	10	2	6
16	不死僧	5000	5000	500	100	5	5	138	30131	8002016	10	1	6
