//ÐÅÑö	Ö÷ÉñÐòºÅ	ÐÇËÞÐòºÅ	ÉúÃüÔö¼ÓÖµ	¾«Á¦Ôö¼ÓÖµ	ÌåÁ¦Ôö¼ÓÖµ	ÃüÖÐÔö¼ÓÖµ	¹¥»÷Ôö¼ÓÖµ	·ÀÓùÔö¼ÓÖµ	±©»÷Ôö¼ÓÖµ	ÆÆ»÷Ôö¼ÓÖµ	´©´ÌÔö¼ÓÖµ	¿¹±©Ôö¼ÓÖµ	¿¹ÆÆÔö¼ÓÖµ	¿¹´©Ôö¼ÓÖµ	ÉÁ±ÜÔö¼ÓÖµ	³É¹¦ÂÊ%	Òø±ÒÏûºÄ	×©Ê¯ÏûºÄ	µÀ¾ßÏûºÄ	ÃèÊö	Íæ¼ÒVIPµÈ¼¶	Ö÷Éñ¼¼ÄÜID	ÏûºÄÐÅÑöÖ®Á¦£¨ÕæÆø£©
//ÖæË¹(Zeus)0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ÐÇËÞ1	1	1	26	0	0	0	0	0	0	0	0	0	0	0	0	99	4775	9	0	0	0	20001	1870
ÐÇËÞ2	1	2	0	0	0	0	8	0	0	0	0	0	0	0	0	98	7160	9	0	0	0	20001	3745
ÐÇËÞ3	1	3	0	0	0	0	0	8	0	0	0	0	0	0	0	96	9550	9	0	0	0	20001	7495
ÐÇËÞ4	1	4	26	0	0	0	0	0	0	0	0	0	0	0	0	93	16710	9	0	0	0	20001	11245
ÐÇËÞ5	1	5	0	0	0	4	0	0	0	0	0	0	0	0	0	90	23875	9	0	0	0	20001	18740
ÐÇËÞ6	1	6	0	0	0	0	0	0	0	0	0	0	0	0	4	86	28650	9	0	0	0	20001	26240
ÐÇËÞ7	1	7	26	0	0	0	0	0	0	0	0	0	0	0	0	82	38200	9	0	0	0	20001	31860
ÐÇËÞ8	1	8	0	0	0	0	8	0	0	0	0	0	0	0	0	77	47755	9	0	0	0	20001	37485
ÐÇËÞ9	1	9	0	0	0	0	0	8	0	0	0	0	0	0	0	71	52530	9	0	0	0	20001	41235
ÐÇËÞ10	1	10	26	0	0	0	0	0	0	0	0	0	0	0	0	65	66855	9	0	0	0	20001	52480
ÐÇËÞ11	1	11	0	0	0	4	0	0	0	0	0	0	0	0	0	58	85955	9	0	0	0	20001	67475
ÐÇËÞ12	1	12	0	0	0	0	0	0	0	0	0	0	0	0	4	50	95510	9	0	0	0	20001	74975
//ºÕÀ­£¨Hera£©	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
