//等级	血量	精力	攻击	防御	命中	闪避	暴击	抗暴	破击	抗破	穿刺	抗穿	体力	体力恢复	恢复时间	升级需总经验
1	30	100	1	1	1	1	9999	1	9999	1	9999	1	200	5	720	5
2	40	100	3	2	1	1	9999	1	9999	1	9999	1	200	5	720	8
3	50	100	6	4	2	2	9999	1	9999	1	9999	1	200	5	720	22
4	60	100	10	7	4	4	9999	1	9999	1	9999	1	200	5	720	24
5	74	100	15	10	6	6	9999	1	9999	1	9999	1	200	5	720	26
6	103	100	21	14	9	9	9999	1	9999	1	9999	1	200	5	720	32
7	137	100	28	19	12	12	9999	1	9999	1	9999	1	200	5	720	40
8	176	100	36	25	16	16	9999	1	9999	1	9999	1	200	5	720	50
9	220	100	45	31	20	20	9999	1	9999	1	9999	1	200	5	720	64
10	269	100	55	38	25	25	9999	1	9999	1	9999	1	200	5	720	70
11	322	100	66	46	30	30	9999	1	9999	1	9999	1	200	5	720	75
12	380	100	78	54	36	36	9999	1	9999	1	9999	1	200	5	720	120
13	443	100	91	63	42	42	9999	1	9999	1	9999	1	200	5	720	130
14	511	100	105	73	49	49	9999	1	9999	1	9999	1	200	5	720	140
15	584	100	120	83	56	56	9999	1	9999	1	9999	1	200	5	720	245
16	662	100	136	94	64	64	9999	1	9999	1	9999	1	200	5	720	295
17	745	100	153	106	72	72	9999	1	9999	1	9999	1	200	5	720	350
18	832	100	171	118	81	81	9999	1	9999	1	9999	1	200	5	720	80688
19	924	100	190	131	90	90	9999	1	9999	1	9999	1	200	5	720	108491
20	1021	100	210	145	100	100	9999	1	9999	1	9999	1	200	5	720	133786
21	1123	100	231	159	110	110	9999	1	9999	1	9999	1	200	5	720	164859
22	1230	100	253	174	121	121	9999	1	9999	1	9999	1	200	5	720	203009
23	1342	100	276	190	132	132	9999	1	9999	1	9999	1	200	5	720	249826
24	1459	100	300	207	144	144	9999	1	9999	1	9999	1	200	5	720	307248
25	1581	100	325	224	156	156	9999	1	9999	1	9999	1	200	5	720	377647
26	1707	100	351	242	169	169	9999	1	9999	1	9999	1	200	5	720	463915
27	1838	100	378	261	182	182	9999	1	9999	1	9999	1	200	5	720	569585
28	1974	100	406	280	196	196	9999	1	9999	1	9999	1	200	5	720	698965
29	2115	100	435	300	210	210	9999	1	9999	1	9999	1	200	5	720	853604
30	2261	100	465	321	225	225	9999	1	9999	1	9999	1	200	5	720	1046592
31	2412	100	496	342	240	240	9999	1	9999	1	9999	1	200	5	720	1282632
32	2568	100	528	364	256	256	9999	1	9999	1	9999	1	200	5	720	1564811
33	2728	100	561	387	272	272	9999	1	9999	1	9999	1	200	5	720	1908557
34	2893	100	595	410	289	289	9999	1	9999	1	9999	1	200	5	720	2336443
35	3063	100	630	434	306	306	9999	1	9999	1	9999	1	200	5	720	2729390
36	3238	100	666	459	324	324	9999	1	9999	1	9999	1	200	5	720	3187651
37	3418	100	703	484	342	342	9999	1	9999	1	9999	1	200	5	720	3736025
38	3603	100	741	510	361	361	9999	1	9999	1	9999	1	200	5	720	4361037
39	3793	100	780	537	380	380	9999	1	9999	1	9999	1	200	5	720	8488678
40	3987	100	820	565	400	400	9999	1	9999	1	9999	1	200	5	720	9911506
41	4186	100	861	593	420	420	9999	1	9999	1	9999	1	200	5	720	11545623
42	4390	100	903	622	441	441	9999	1	9999	1	9999	1	200	5	720	13475216
43	4599	100	946	652	462	462	9999	1	9999	1	9999	1	200	5	720	15723910
44	4813	100	990	682	484	484	9999	1	9999	1	9999	1	200	5	720	18306660
45	5032	100	1035	713	506	506	9999	1	9999	1	9999	1	200	5	720	21353412
46	5256	100	1081	745	529	529	9999	1	9999	1	9999	1	200	5	720	24852879
47	5484	100	1128	777	552	552	9999	1	9999	1	9999	1	200	5	720	28978556
48	5717	100	1176	810	576	576	9999	1	9999	1	9999	1	200	5	720	33717402
49	5955	100	1225	844	600	600	9999	1	9999	1	9999	1	200	5	720	54931268
50	6198	100	1275	878	625	625	9999	1	9999	1	9999	1	200	5	720	63948712
51	6446	100	1325	913	650	650	9999	1	9999	1	9999	1	200	5	720	74435437
52	6699	100	1376	949	676	676	9999	1	9999	1	9999	1	200	5	720	86515046
53	6957	100	1428	985	702	702	9999	1	9999	1	9999	1	200	5	720	100675171
54	7219	100	1481	1022	729	729	9999	1	9999	1	9999	1	200	5	720	117136744
55	7486	100	1535	1060	756	756	9999	1	9999	1	9999	1	200	5	720	130180488
56	7758	100	1590	1099	784	784	9999	1	9999	1	9999	1	200	5	720	144661613
57	8035	100	1646	1138	812	812	9999	1	9999	1	9999	1	200	5	720	160938330
58	8317	100	1703	1178	841	841	9999	1	9999	1	9999	1	200	5	720	178802485
59	8604	100	1761	1219	870	870	9999	1	9999	1	9999	1	200	5	720	255346766
60	8896	100	1820	1260	900	900	9999	1	9999	1	9999	1	200	5	720	283826815
61	9192	100	1880	1302	930	930	9999	1	9999	1	9999	1	200	5	720	315154869
62	9493	100	1941	1345	961	961	9999	1	9999	1	9999	1	200	5	720	350234257
63	9799	100	2003	1388	992	992	9999	1	9999	1	9999	1	200	5	720	388821584
64	10110	100	2066	1432	1024	1024	9999	1	9999	1	9999	1	200	5	720	431624034
65	10426	100	2130	1477	1056	1056	9999	1	9999	1	9999	1	200	5	720	522653189
66	10747	100	2195	1522	1089	1089	9999	1	9999	1	9999	1	200	5	720	632829047
67	11073	100	2261	1568	1122	1122	9999	1	9999	1	9999	1	200	5	720	766169118
68	11404	100	2328	1615	1156	1156	9999	1	9999	1	9999	1	200	5	720	927532057
69	11739	100	2396	1663	1190	1190	9999	1	9999	1	9999	1	200	5	720	1372519829
70	12079	100	2465	1711	1225	1225	9999	1	9999	1	9999	1	200	5	720	1812077351
71	12424	100	2535	1760	1260	1260	9999	1	9999	1	9999	1	200	5	720	2375366512
72	12774	100	2606	1810	1296	1296	9999	1	9999	1	9999	1	200	5	720	3096545204
73	13129	100	2678	1860	1332	1332	9999	1	9999	1	9999	1	200	5	720	4013203496
74	13489	100	2751	1911	1369	1369	9999	1	9999	1	9999	1	200	5	720	5177517978
75	13854	100	2825	1963	1406	1406	9999	1	9999	1	9999	1	200	5	720	0
