等级	经验	速度	血量	外功	内功	外放	内防	杀气	[简介]
1	2	50	93	33	33	33	33	24	大宛马
2	4	50	93	33	33	33	33	24	大宛马
3	10	50	93	33	33	33	33	24	大宛马
4	20	50	93	33	33	33	33	24	大宛马
5	30	50	93	33	33	33	33	24	大宛马
6	44	50	93	33	33	33	33	24	大宛马
7	76	50	93	33	33	33	33	24	大宛马
8	143	50	93	33	33	33	33	24	大宛马
9	240	50	93	33	33	33	33	24	大宛马
10	382	50	93	33	33	33	33	24	大宛马
11	586	50	93	33	33	33	33	24	大宛马
12	845	50	93	33	33	33	33	24	大宛马
13	1197	50	93	33	33	33	33	24	大宛马
14	1704	50	93	33	33	33	33	24	大宛马
15	2362	50	93	33	33	33	33	24	大宛马
16	3180	50	93	33	33	33	33	24	大宛马
17	4191	50	93	33	33	33	33	24	大宛马
18	5587	50	93	33	33	33	33	24	大宛马
19	7277	50	93	33	33	33	33	24	大宛马
20	9337	50	93	33	33	33	33	24	大宛马
21	11760	50	93	33	33	33	33	24	大宛马
22	14628	50	93	33	33	33	33	24	大宛马
23	17983	50	93	33	33	33	33	24	大宛马
24	22227	50	93	33	33	33	33	24	大宛马
25	27135	50	93	33	33	33	33	24	大宛马
26	32832	50	93	33	33	33	33	24	大宛马
27	39308	50	93	33	33	33	33	24	大宛马
28	47268	50	93	33	33	33	33	24	大宛马
29	56292	50	93	33	33	33	33	24	大宛马
30	66547	50	93	33	33	33	33	24	大宛马
31	78022	50	93	33	33	33	33	24	大宛马
32	90950	50	93	33	33	33	33	24	大宛马
33	105316	50	93	33	33	33	33	24	大宛马
34	122340	50	93	33	33	33	33	24	大宛马
35	141224	50	93	33	33	33	33	24	大宛马
36	162140	50	93	33	33	33	33	24	大宛马
37	185274	50	93	33	33	33	33	24	大宛马
38	212101	50	93	33	33	33	33	24	大宛马
39	241623	50	93	33	33	33	33	24	大宛马
40	273900	50	93	33	33	33	33	24	大宛马
41	309324	50	93	33	33	33	33	24	大宛马
42	347882	50	93	33	33	33	33	24	大宛马
43	389812	50	93	33	33	33	33	24	大宛马
44	437580	50	93	33	33	33	33	24	大宛马
45	489348	50	93	33	33	33	33	24	大宛马
46	545400	50	93	33	33	33	33	24	大宛马
47	606037	50	93	33	33	33	33	24	大宛马
48	674215	50	93	33	33	33	33	24	大宛马
49	747740	50	93	33	33	33	33	24	大宛马
50	826965	50	93	33	33	33	33	24	大宛马
51	911997	50	93	33	33	33	33	24	大宛马
52	1003200	50	93	33	33	33	33	24	大宛马
53	1100812	50	93	33	33	33	33	24	大宛马
54	1209160	50	93	33	33	33	33	24	大宛马
55	1325165	50	93	33	33	33	33	24	大宛马
56	1448808	50	93	33	33	33	33	24	大宛马
57	1580680	50	93	33	33	33	33	24	大宛马
58	1726142	50	93	33	33	33	33	24	大宛马
59	1880960	50	93	33	33	33	33	24	大宛马
60	2045460	50	93	33	33	33	33	24	大宛马
61	2219964	50	93	33	33	33	33	24	大宛马
62	2405187	50	93	33	33	33	33	24	大宛马
63	2601287	50	93	33	33	33	33	24	大宛马
64	2815614	50	93	33	33	33	33	24	大宛马
65	3042375	50	93	33	33	33	33	24	大宛马
66	3281960	50	93	33	33	33	33	24	大宛马
67	3534759	50	93	33	33	33	33	24	大宛马
68	3809552	50	93	33	33	33	33	24	大宛马
69	4099563	50	93	33	33	33	33	24	大宛马
70	4405005	50	93	33	33	33	33	24	大宛马
71	4726319	50	93	33	33	33	33	24	大宛马
72	5064470	50	93	33	33	33	33	24	大宛马
73	5419672	50	93	33	33	33	33	24	大宛马
74	5803176	50	93	33	33	33	33	24	大宛马
75	6205815	50	93	33	33	33	33	24	大宛马
76	6628398	50	93	33	33	33	33	24	大宛马
77	7071166	50	93	33	33	33	33	24	大宛马
78	7547256	50	93	33	33	33	33	24	大宛马
79	8045853	50	93	33	33	33	33	24	大宛马
80	8567857	50	93	33	33	33	33	24	大宛马
81	9113868	50	93	33	33	33	33	24	大宛马
82	9684485	50	93	33	33	33	33	24	大宛马
83	10280308	50	93	33	33	33	33	24	大宛马
84	10918025	50	93	33	33	33	33	24	大宛马
85	11583291	50	93	33	33	33	33	24	大宛马
86	12277488	50	93	33	33	33	33	24	大宛马
87	13001304	50	93	33	33	33	33	24	大宛马
88	13773109	50	93	33	33	33	33	24	大宛马
89	14577130	50	93	33	33	33	33	24	大宛马
90	15414502	50	93	33	33	33	33	24	大宛马
91	16285983	50	93	33	33	33	33	24	大宛马
92	17192327	50	93	33	33	33	33	24	大宛马
93	18134726	50	93	33	33	33	33	24	大宛马
94	19135512	50	93	33	33	33	33	24	大宛马
95	20175308	50	93	33	33	33	33	24	大宛马
96	21255404	50	93	33	33	33	33	24	大宛马
97	22376655	50	93	33	33	33	33	24	大宛马
98	23564335	50	93	33	33	33	33	24	大宛马
99	24796390	50	93	33	33	33	33	24	大宛马
100	0	50	93	33	33	33	33	24	大宛马
