µÈ¼¶	¾­Ñé	ËÙ¶È	ÑªÁ¿	Íâ¹¦	ÄÚ¹¦	Íâ·Å	ÄÚ·À	É±Æø	[¼ò½é]
1	2	50	105	37	37	37	37	27	×¦»Æ·Éµç
2	4	50	105	37	37	37	37	27	×¦»Æ·Éµç
3	10	50	105	37	37	37	37	27	×¦»Æ·Éµç
4	20	50	105	37	37	37	37	27	×¦»Æ·Éµç
5	30	50	105	37	37	37	37	27	×¦»Æ·Éµç
6	44	50	105	37	37	37	37	27	×¦»Æ·Éµç
7	76	50	105	37	37	37	37	27	×¦»Æ·Éµç
8	143	50	105	37	37	37	37	27	×¦»Æ·Éµç
9	240	50	105	37	37	37	37	27	×¦»Æ·Éµç
10	382	50	105	37	37	37	37	27	×¦»Æ·Éµç
11	586	50	105	37	37	37	37	27	×¦»Æ·Éµç
12	845	50	105	37	37	37	37	27	×¦»Æ·Éµç
13	1197	50	105	37	37	37	37	27	×¦»Æ·Éµç
14	1704	50	105	37	37	37	37	27	×¦»Æ·Éµç
15	2362	50	105	37	37	37	37	27	×¦»Æ·Éµç
16	3180	50	105	37	37	37	37	27	×¦»Æ·Éµç
17	4191	50	105	37	37	37	37	27	×¦»Æ·Éµç
18	5587	50	105	37	37	37	37	27	×¦»Æ·Éµç
19	7277	50	105	37	37	37	37	27	×¦»Æ·Éµç
20	9337	50	105	37	37	37	37	27	×¦»Æ·Éµç
21	11760	50	105	37	37	37	37	27	×¦»Æ·Éµç
22	14628	50	105	37	37	37	37	27	×¦»Æ·Éµç
23	17983	50	105	37	37	37	37	27	×¦»Æ·Éµç
24	22227	50	105	37	37	37	37	27	×¦»Æ·Éµç
25	27135	50	105	37	37	37	37	27	×¦»Æ·Éµç
26	32832	50	105	37	37	37	37	27	×¦»Æ·Éµç
27	39308	50	105	37	37	37	37	27	×¦»Æ·Éµç
28	47268	50	105	37	37	37	37	27	×¦»Æ·Éµç
29	56292	50	105	37	37	37	37	27	×¦»Æ·Éµç
30	66547	50	105	37	37	37	37	27	×¦»Æ·Éµç
31	78022	50	105	37	37	37	37	27	×¦»Æ·Éµç
32	90950	50	105	37	37	37	37	27	×¦»Æ·Éµç
33	105316	50	105	37	37	37	37	27	×¦»Æ·Éµç
34	122340	50	105	37	37	37	37	27	×¦»Æ·Éµç
35	141224	50	105	37	37	37	37	27	×¦»Æ·Éµç
36	162140	50	105	37	37	37	37	27	×¦»Æ·Éµç
37	185274	50	105	37	37	37	37	27	×¦»Æ·Éµç
38	212101	50	105	37	37	37	37	27	×¦»Æ·Éµç
39	241623	50	105	37	37	37	37	27	×¦»Æ·Éµç
40	273900	50	105	37	37	37	37	27	×¦»Æ·Éµç
41	309324	50	105	37	37	37	37	27	×¦»Æ·Éµç
42	347882	50	105	37	37	37	37	27	×¦»Æ·Éµç
43	389812	50	105	37	37	37	37	27	×¦»Æ·Éµç
44	437580	50	105	37	37	37	37	27	×¦»Æ·Éµç
45	489348	50	105	37	37	37	37	27	×¦»Æ·Éµç
46	545400	50	105	37	37	37	37	27	×¦»Æ·Éµç
47	606037	50	105	37	37	37	37	27	×¦»Æ·Éµç
48	674215	50	105	37	37	37	37	27	×¦»Æ·Éµç
49	747740	50	105	37	37	37	37	27	×¦»Æ·Éµç
50	826965	50	105	37	37	37	37	27	×¦»Æ·Éµç
51	911997	50	105	37	37	37	37	27	×¦»Æ·Éµç
52	1003200	50	105	37	37	37	37	27	×¦»Æ·Éµç
53	1100812	50	105	37	37	37	37	27	×¦»Æ·Éµç
54	1209160	50	105	37	37	37	37	27	×¦»Æ·Éµç
55	1325165	50	105	37	37	37	37	27	×¦»Æ·Éµç
56	1448808	50	105	37	37	37	37	27	×¦»Æ·Éµç
57	1580680	50	105	37	37	37	37	27	×¦»Æ·Éµç
58	1726142	50	105	37	37	37	37	27	×¦»Æ·Éµç
59	1880960	50	105	37	37	37	37	27	×¦»Æ·Éµç
60	2045460	50	105	37	37	37	37	27	×¦»Æ·Éµç
61	2219964	50	105	37	37	37	37	27	×¦»Æ·Éµç
62	2405187	50	105	37	37	37	37	27	×¦»Æ·Éµç
63	2601287	50	105	37	37	37	37	27	×¦»Æ·Éµç
64	2815614	50	105	37	37	37	37	27	×¦»Æ·Éµç
65	3042375	50	105	37	37	37	37	27	×¦»Æ·Éµç
66	3281960	50	105	37	37	37	37	27	×¦»Æ·Éµç
67	3534759	50	105	37	37	37	37	27	×¦»Æ·Éµç
68	3809552	50	105	37	37	37	37	27	×¦»Æ·Éµç
69	4099563	50	105	37	37	37	37	27	×¦»Æ·Éµç
70	4405005	50	105	37	37	37	37	27	×¦»Æ·Éµç
71	4726319	50	105	37	37	37	37	27	×¦»Æ·Éµç
72	5064470	50	105	37	37	37	37	27	×¦»Æ·Éµç
73	5419672	50	105	37	37	37	37	27	×¦»Æ·Éµç
74	5803176	50	105	37	37	37	37	27	×¦»Æ·Éµç
75	6205815	50	105	37	37	37	37	27	×¦»Æ·Éµç
76	6628398	50	105	37	37	37	37	27	×¦»Æ·Éµç
77	7071166	50	105	37	37	37	37	27	×¦»Æ·Éµç
78	7547256	50	105	37	37	37	37	27	×¦»Æ·Éµç
79	8045853	50	105	37	37	37	37	27	×¦»Æ·Éµç
80	8567857	50	105	37	37	37	37	27	×¦»Æ·Éµç
81	9113868	50	105	37	37	37	37	27	×¦»Æ·Éµç
82	9684485	50	105	37	37	37	37	27	×¦»Æ·Éµç
83	10280308	50	105	37	37	37	37	27	×¦»Æ·Éµç
84	10918025	50	105	37	37	37	37	27	×¦»Æ·Éµç
85	11583291	50	105	37	37	37	37	27	×¦»Æ·Éµç
86	12277488	50	105	37	37	37	37	27	×¦»Æ·Éµç
87	13001304	50	105	37	37	37	37	27	×¦»Æ·Éµç
88	13773109	50	105	37	37	37	37	27	×¦»Æ·Éµç
89	14577130	50	105	37	37	37	37	27	×¦»Æ·Éµç
90	15414502	50	105	37	37	37	37	27	×¦»Æ·Éµç
91	16285983	50	105	37	37	37	37	27	×¦»Æ·Éµç
92	17192327	50	105	37	37	37	37	27	×¦»Æ·Éµç
93	18134726	50	105	37	37	37	37	27	×¦»Æ·Éµç
94	19135512	50	105	37	37	37	37	27	×¦»Æ·Éµç
95	20175308	50	105	37	37	37	37	27	×¦»Æ·Éµç
96	21255404	50	105	37	37	37	37	27	×¦»Æ·Éµç
97	22376655	50	105	37	37	37	37	27	×¦»Æ·Éµç
98	23564335	50	105	37	37	37	37	27	×¦»Æ·Éµç
99	24796390	50	105	37	37	37	37	27	×¦»Æ·Éµç
100	0	50	105	37	37	37	37	27	×¦»Æ·Éµç
