//等级	给在线好友经验奖励	在线时间	累计次数	在线好友奖励
1	0	600	100	1
2	0	600	100	2
3	0	600	100	3
4	0	600	100	4
5	0	600	100	5
6	0	600	100	6
7	0	600	100	7
8	0	600	100	8
9	0	600	100	9
10	8002005	600	100	10
11	0	600	100	11
12	0	600	100	12
13	0	600	100	13
14	0	600	100	14
15	0	600	100	15
16	0	600	100	16
17	0	600	100	17
18	0	600	100	18
19	0	600	100	19
20	8002005	600	100	20
21	0	600	100	21
22	0	600	100	22
23	0	600	100	23
24	0	600	100	24
25	0	600	100	25
26	0	600	100	26
27	0	600	100	27
28	0	600	100	28
29	0	600	100	29
30	8002005	600	100	30
31	0	600	100	31
32	0	600	100	32
33	0	600	100	33
34	0	600	100	34
35	8002005	600	100	35
36	0	600	100	36
37	0	600	100	37
38	0	600	100	38
39	0	600	100	39
40	8002005	600	100	40
41	0	600	100	41
42	0	600	100	42
43	0	600	100	43
44	0	600	100	44
45	8002005	600	100	45
46	0	600	100	46
47	0	600	100	47
48	0	600	100	48
49	0	600	100	49
50	8002005	600	100	50
51	0	600	100	51
52	0	600	100	52
53	0	600	100	53
54	0	600	100	54
55	8002005	600	100	55
56	0	600	100	56
57	0	600	100	57
58	0	600	100	58
59	0	600	100	59
60	8002005	600	100	60
61	0	600	100	61
62	0	600	100	62
63	0	600	100	63
64	0	600	100	64
65	8002005	600	100	65
66	0	600	100	66
67	0	600	100	67
68	0	600	100	68
69	0	600	100	69
70	8002005	600	100	70
71	0	600	100	71
72	0	600	100	72
73	0	600	100	73
74	0	600	100	74
75	8002005	600	100	75
