编号	名称	门派	生命上限提升	外功基础提升	外功精通提升	内功基础提升	内功精通提升	外防基础提升	外防精通提升	内防基础提升	内防精通提升	身法提升	杀气提升	禅杖系	拳系	剑系	笔系	刺系	琴系	刀系	戟系	勾系	轮环系	手太阳疗伤	手少阳疗伤	足太阴疗伤	足少阴疗伤	免疫BUFF1	免疫BUFF2	心法难度基数	心法难度系数	心法层数上限	技能说明
·																																	
1	洗髓经	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34560	0	100	0
2	混元一气功	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17280	0	50	0
3	大无相功	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34560	0	350	0
4	玄元经	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17280	0	50	0
5	丹田吐纳功	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34560	0	350	0
6	玄门吐纳功	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17280	0	50	0
7	龙象般若功	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34560	0	350	0
8	紫霞功	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17280	0	50	0
9	小无相功	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34560	0	350	0
10	地灵真经	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8640	0	100	0
11	鸿蒙紫气	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17280	0	50	0
12	拳诀·大金刚力	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4147	0	25	0
13	杖诀·须弥山力	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4147	0	25	0
14	剑诀·荡剑回风	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	4147	0	25	0
15	笔诀·落笔成兵	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	4147	0	25	0
16	刺诀·红拂袖	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	4147	0	25	0
17	琴诀·玉指冰弦	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	4147	0	25	0
18	刀诀·玄玄刀经	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	4147	0	25	0
19	戟诀·地涌天泉	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	4147	0	25	0
20	勾诀·吠陀宝鉴	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	4147	0	25	0
21	轮诀·阴阳决	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	4147	0	25	0
22	金针度世	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	34560	0	10	0
23	一阳正气	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	34560	0	10	0
24	罗汉伏魔神功	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	34560	0	10	0
25	太玄神功	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	34560	0	10	0
26	鲸息功	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	1900800	25502500	100	免疫点穴效果，由心法等级与对方武功等级决定是否成功免疫
27	吐纳法	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	1900800	25502500	100	免疫封招，由心法等级与对方武功等级决定是否成功免疫
28	抱元守一	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	1900800	25502500	100	免疫反转乾坤，由心法等级与对方武功等级决定是否成功免疫
29	如封似闭	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	1900800	25502500	100	免疫反转阴阳，由心法等级与对方武功等级决定是否成功免疫
30	三分归元气	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	1900800	25502500	100	免疫失气，由心法等级与对方武功等级决定是否成功免疫
31	人器相御	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	1900800	25502500	100	免疫空手白刃，由心法等级与对方武功等级决定是否成功免疫
