//±‡∫≈	√˚≥∆	Õ‚π€±‡∫≈&Õ∑œÒ±‡∫≈	µ»º∂	…˙√¸	ƒ⁄¡¶	 ∆¡¶	∑«’Ω∂∑“∆∂ØÀŸ∂»	’Ω∂∑“∆∂ØÀŸ∂»	÷ÿ…˙ ±º‰£®∫¡√Î£©	ø… ”æ‡¿Î	…ÌÃÂƒ£–Õ¥Û–°	◊‘”…ªÓ∂Ø∑∂Œß	◊∑◊Ÿ∑∂Œß	π•ª˜÷µ	∑¿”˘÷µ	…¡±‹÷µ	±©ª˜÷µ	π•ª˜ÀŸ∂»	π÷ŒÔ¿‡–Õ	π•ª˜¿‡–Õ	–Ø¥¯æ≠—È	–Ø¥¯’Ê∆¯	—™π÷±‰…Ìº∏¬ 	π•π÷±‰…Ìº∏¬ 	∑¿π÷±‰…Ìº∏¬ 	π•ª˜º‰∏Ù£®º‰∏Ù£©	…±π÷»ŒŒÒ∑÷◊È	≥ØœÚΩ«∂»	◊∑ª˜Õ£÷πÃıº˛	“∆∂Ø¿‡–Õ	À—À˜ƒø±Íº‰∏Ù	Õ£¡Ù ±º‰œ¬œﬁ	Õ£¡Ù ±º‰…œœﬁ	ººƒ‹ID	ººƒ‹ID	ººƒ‹ID	ººƒ‹ID	ººƒ‹ID	Ai¿‡–Õ	GROUPID	øπ±©	∆∆ª˜	øπ∆∆	¥©¥Ã	øπ¥©	√¸÷–
//°æ • ﬁπ»°ø	±‡∫≈1-50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	“∞÷Ì	20002	1	110	0	0	100	100	10000	500	100	200	500	8	0	0	0	2000	0	0	0	9	0	0	0	2000	0	0	0	1	1	5	15	12001	12001	12001	12001	12001	5	1	0	0	0	0	0	0
2	±©ª˜Ω£øÕ	20002	1	110	0	0	100	100	10000	500	100	200	500	8	0	0	0	2000	0	0	0	9	0	0	0	2000	0	0	0	1	1	5	15	12001	50022	12001	12001	12001	5	1	0	0	0	0	0	0
3	¡È∫¸	20002	1	110	0	0	100	100	10000	500	100	200	500	8	0	0	0	2000	0	0	0	9	0	0	0	2000	0	0	0	1	1	5	15	12001	12001	12001	12001	12001	5	1	0	0	0	0	0	0
4	¥ÛΩ£ ø±¯	20002	1	1000	0	0	100	100	10000	500	100	200	500	2	0	0	0	2000	2	2	0	9	0	0	0	2000	0	0	0	1	1	5	15	12001	50022	12001	12001	12001	3	1	0	0	0	0	0	0
5	À¿¡È∑® ¶	20049	1	1000	0	0	100	100	10000	500	100	200	500	2	0	0	0	2000	0	0	0	9	0	0	0	2000	0	0	0	1	1	5	15	50491	50492	50491	50491	50491	3	1	0	0	0	0	0	0
6	Ω¸’Ω∑® ¶	20011	1	110	0	0	100	100	10000	500	100	200	500	8	0	0	0	2000	0	0	0	9	0	0	0	2000	0	0	0	1	1	5	15	12001	12001	12001	12001	12001	5	1	0	0	0	0	0	0
7	¿«	20012	1	110	0	0	100	300	10000	500	100	200	500	8	0	0	0	2000	0	0	0	9	0	0	0	2000	0	0	0	1	1	5	15	12001	50122	12001	12001	12001	5	1	0	0	0	0	0	0
8	Œ¸—™πÌ≈ÆÕı	20053	1	999999	0	0	100	100	10000	500	100	200	500	80	0	0	0	2000	2	2	0	9	0	0	0	2000	0	0	0	1	1	5	15	50532	50532	50532	50532	50532	3	1	0	0	0	0	0	0
9	Œ“ «¥ÃøÕ	20002	1	120	0	0	100	100	10000	500	100	200	500	8	0	0	0	2000	0	0	0	9	0	0	0	2000	0	0	0	1	1	5	15	12001	12001	12001	12001	12001	5	1	0	0	0	0	0	0
10	Œ“ «¥ÃøÕ	20002	1	130	0	0	100	100	10000	500	100	200	500	8	0	0	0	2000	0	0	0	9	0	0	0	2000	0	0	0	1	1	5	15	12001	12001	12001	12001	12001	5	1	0	0	0	0	0	0
11	Œ“ «¥ÃøÕ	20002	1	110	0	0	100	100	10000	500	100	200	500	8	0	0	0	2000	0	0	0	9	0	0	0	2000	0	0	0	1	1	5	15	12001	12001	12001	12001	12001	5	1	0	0	0	0	0	0
12	Œ“ «¥ÃøÕ	20002	1	110	0	0	100	100	10000	500	100	200	500	8	0	0	0	2000	0	0	0	9	0	0	0	2000	0	0	0	1	1	5	15	12001	12001	12001	12001	12001	5	1	0	0	0	0	0	0
13	Œ“ «¥ÃøÕ	20002	1	110	0	0	100	100	10000	500	100	200	500	8	0	0	0	2000	0	0	0	9	0	0	0	2000	0	0	0	1	1	5	15	12001	12001	12001	12001	12001	5	1	0	0	0	0	0	0
14	Œ“ «¥ÃøÕ	20002	1	110	0	0	100	100	10000	500	100	200	500	8	0	0	0	2000	0	0	0	9	0	0	0	2000	0	0	0	1	1	5	15	12001	12001	12001	12001	12001	5	1	0	0	0	0	0	0
15	Œ“ «¥ÃøÕ	20002	1	110	0	0	100	100	10000	500	100	200	500	8	0	0	0	2000	0	0	0	9	0	0	0	2000	0	0	0	1	1	5	15	12001	12001	12001	12001	12001	5	1	0	0	0	0	0	0
16	Œ“ «¥ÃøÕ	20002	1	110	0	0	100	100	10000	500	100	200	500	8	0	0	0	2000	0	0	0	9	0	0	0	2000	0	0	0	1	1	5	15	12001	12001	12001	12001	12001	5	1	0	0	0	0	0	0
17	Œ“ «¥ÃøÕ	20002	1	110	0	0	100	100	10000	500	100	200	500	8	0	0	0	2000	0	0	0	9	0	0	0	2000	0	0	0	1	1	5	15	12001	12001	12001	12001	12001	5	1	0	0	0	0	0	0
