//编号	名称	外观编号&头像编号	等级	生命	内力	势力	非战斗移动速度	战斗移动速度	重生时间（毫秒）	可视距离	身体模型大小	自由活动范围	追踪范围	攻击值	防御值	闪避值	暴击值	攻击速度	怪物类型	攻击类型	携带经验	携带真气	血怪变身几率	攻怪变身几率	防怪变身几率	攻击间隔（间隔）	杀怪任务分组	逃跑条件	追击停止条件	移动类型	搜索目标间隔	停留时间下限	停留时间上限	技能ID	技能ID	技能ID	技能ID	技能ID
//【主城】	编号1-50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
1	老撇子	23	1	100	0	0	200	500	10000	500	100	1000	10000	5	12	9	9	3000	2	0	0	10	10	20	30	2000	1	0	0	0	5000	5	15	12000	12000	12000	12000	12000
2	旱烟强	23	4	167	67	0	200	200	10000	500	100	1000	10000	28	12	9	9	3000	0	0	0	115	10	20	30	2000	2	0	0	0	5000	5	15	12000	12000	12000	12000	12000
3	稻草人	24	1	100	0	0	200	500	10000	500	100	0	0	0	0	0	0	0	0	2	0	10	10	20	30	2000	1	0	0	0	5000	5	15	0	0	0	0	0
//【将军岭】	编号51-200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51	九流弟子	24	6	393	93	0	200	300	10000	500	150	400	10000	56	41	30	18	3000	0	1	87	147	10	20	30	2000	51	0	0	1	5000	15	25	12000	12000	12000	12000	12000
52	九流师兄	24	7	463	106	0	200	300	10000	500	100	400	10000	65	47	34	22	3000	0	1	96	161	10	20	30	2000	52	0	0	1	5000	15	25	12000	12000	12000	12000	12000
53	九流掌门	24	8	535	119	0	200	300	10000	500	100	400	10000	74	53	40	25	3000	0	1	104	174	10	20	30	2000	53	0	0	1	5000	15	25	12000	12000	12000	12000	12000
54	持刀和尚	24	8	535	119	0	200	300	10000	500	100	400	10000	74	53	40	25	3000	0	1	104	174	10	20	30	2000	54	0	0	1	5000	15	25	12000	12000	12000	12000	12000
55	普头陀	24	9	608	132	0	200	300	10000	500	100	400	10000	84	59	45	28	3000	0	1	112	187	10	20	30	2000	55	0	0	1	5000	15	25	12000	12000	12000	12000	12000
56	铁掌罗汉	24	10	683	146	0	200	300	10000	500	100	400	10000	94	65	50	32	3000	0	1	119	199	10	20	30	2000	56	0	0	1	5000	15	25	12000	12000	12000	12000	12000
