//名称	编号	技能等级	升级需求真气值	升级需求钱	门派	技能类型	技能属性 7 自己冲锋 8 击退目标	技能子属性	技能基础攻击	攻击方式	冷却组	本身冷却时间	技能最大距离	技能最小距离	技能攻击半径	技能攻击宽度	攻击人数	消耗MP	消耗HP	击退距离	仇恨值	是否是普通技能	伤害比率	眩晕状态下可否使用	子弹ID	吟唱时间	技能ICON	技能描述	技能效果	ICON位置	技能出处	技能对应技能书ID	消耗道具ID	每次消耗道具数量	技能激活需要人物等级
普通攻击	1	1	1	1	3	0	9	0	0	3	1000	100	300	10	300	100	1	0	0	200	0	1	100	0	0	0	1001	普通攻击	普通攻击	1000	基础技能	0	0	0	0
普通攻击2	2	1	1	2	3	0	9	0	0	3	1000	100	300	10	300	100	1	0	0	200	0	1	100	0	0	0	1001	普通攻击	普通攻击	1000	基础技能	0	0	0	0
普通攻击3	3	1	1	3	3	0	9	0	0	3	1000	100	300	10	350	100	1	0	0	200	0	1	50	0	0	0	1001	普通攻击	普通攻击	1000	基础技能	0	0	0	0
普通攻击	4	1	1	1	3	0	9	0	0	3	1000	100	300	10	300	100	1	0	0	200	0	1	100	0	0	0	1001	普通攻击	普通攻击	1000	基础技能	0	0	0	0
普通攻击2	5	1	1	2	3	0	9	0	0	3	1000	100	300	10	300	100	1	0	0	200	0	1	100	0	0	0	1001	普通攻击	普通攻击	1000	基础技能	0	0	0	0
普通攻击3	6	1	1	3	3	0	9	0	0	3	1000	100	300	10	350	100	1	0	0	200	0	1	50	0	0	0	1001	普通攻击	普通攻击	1000	基础技能	0	0	0	0
普通攻击	7	1	1	1	3	0	9	0	0	3	1000	100	300	10	300	100	1	0	0	200	0	1	100	0	0	0	1001	普通攻击	普通攻击	1000	基础技能	0	0	0	0
普通攻击2	8	1	1	2	3	0	9	0	0	3	1000	100	300	10	300	100	1	0	0	200	0	1	100	0	0	0	1001	普通攻击	普通攻击	1000	基础技能	0	0	0	0
普通攻击3	9	1	1	3	3	0	9	0	0	3	1000	100	300	10	350	100	1	0	0	200	0	1	50	0	0	0	1001	普通攻击	普通攻击	1000	基础技能	0	0	0	0
宠物加属性测试	200	1	1	1	5	7	1	0	2	1	5000	5	1000	10	1000	200	1	0	0	0	0	0	200	0	0	0	1106001	怪物普通攻击	怪物普通攻击	0	0	0	0	0	0
//怪物技能																															0				
火焰直线	8010	1	15	18	8	0	1	0	0	2	0	5000	300	100	700	90	50	0	0	0	0	0	100	0	0	0	0	怪物普通攻击	怪物普通攻击	0	0	0	0	0	0
怪物普通攻击（1秒类）	12000	1	13	16	8	0	1	0	0	0	50000	2000	200	100	200	100	1	0	0	0	0	0	100	0	0	0	0	怪物普通攻击	怪物普通攻击	0	0	0	0	0	0
怪物普通攻击（1.333秒类）	12001	1	14	17	8	0	1	0	0	0	50000	2000	200	100	200	100	1	0	0	0	0	0	100	0	0	0	0	怪物普通攻击	怪物普通攻击	0	0	0	0	0	0
怪物普通攻击（1.334秒类）	12002	1	15	18	8	0	1	0	0	0	50000	2000	200	100	200	100	1	0	0	0	0	0	100	0	0	0	0	怪物普通攻击	怪物普通攻击	0	0	0	0	0	0
Boss普通攻击（1秒类）	12003	1	16	19	8	0	1	0	0	0	50000	2000	200	100	200	100	1	0	0	0	0	0	100	0	0	0	0	怪物普通攻击	怪物普通攻击	0	0	0	0	0	0
Boss普通攻击（1秒类）	12004	1	17	20	8	0	1	0	0	0	50000	2000	200	100	200	100	1	0	0	0	0	0	100	0	0	0	0	怪物普通攻击	怪物普通攻击	0	0	0	0	0	0
怪物群体攻击（1.334秒类）	12005	1	18	21	8	0	3	0	0	1	50000	2000	300	200	300	100	8	0	0	0	0	0	100	0	0	0	0	怪物普通攻击	怪物普通攻击	0	0	0	0	0	0
Boss普通攻击（1秒类）	12006	1	19	22	8	0	1	0	0	0	50000	2000	300	200	300	100	1	0	0	0	0	0	100	0	0	0	0	怪物普通攻击	怪物普通攻击	0	0	0	0	0	0
怪物远程技能	13001	1	14	17	8	0	1	0	0	0	0	2	1000	50	0	200	1	0	0	0	0	0	100	0	0	0	0	怪物普通攻击	怪物普通攻击	0	0	0	0	0	0
怪物吟唱技能	13002	1	0	0	8	0	1	0	0	1	0	2	1000	50	500	200	8	0	0	0	0	0	100	0	0	3000	0			0	0	0	0	0	0
吟唱技能1	10000	1	0	0	8	0	1	0	0	1	0	2	1000	50	500	200	8	0	0	0	0	0	100	0	0	3000	0			0	0	0	0	0	0
飞影六连斩	11101	1	1440	917	3	1	8	0	0	3	0	5	200	10	1000	300	400	5	0	100	0	0	55	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击151%伤害	伤害151%	1000	商店出售	211001	0	0	1
飞影六连斩	11101	2	2160	1376	3	1	8	0	0	3	0	5	200	10	1000	300	400	5	0	100	0	0	56	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击152%伤害	伤害152%	1000	商店出售	211001	0	0	2
飞影六连斩	11101	3	2880	1834	3	1	8	0	0	3	0	5	200	10	1000	300	400	5	0	100	0	0	57	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击153%伤害	伤害153%	1000	商店出售	211001	0	0	3
飞影六连斩	11101	4	3600	2293	3	1	8	0	0	3	0	5	200	10	1000	300	400	5	0	100	0	0	58	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击154%伤害	伤害154%	1000	商店出售	211001	0	0	4
飞影六连斩	11101	5	4320	2752	3	1	8	0	0	3	0	5	200	10	1000	300	400	5	0	100	0	0	59	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击155%伤害	伤害155%	1000	商店出售	211001	0	0	5
飞影六连斩	11101	6	5040	3210	3	1	8	0	0	3	0	5	200	10	1000	300	400	5	0	100	0	0	60	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击156%伤害	伤害156%	1000	商店出售	211001	0	0	6
飞影六连斩	11101	7	5760	3669	3	1	8	0	0	3	0	5	200	10	1000	300	400	5	0	100	0	0	61	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击157%伤害	伤害157%	1000	商店出售	211001	0	0	7
飞影六连斩	11101	8	6480	4127	3	1	8	0	0	3	0	5	200	10	1000	300	400	5	0	100	0	0	62	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击158%伤害	伤害158%	1000	商店出售	211001	0	0	8
飞影六连斩	11101	9	7200	4586	3	1	8	0	0	3	0	5	200	10	1000	300	400	5	0	100	0	0	63	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击159%伤害	伤害159%	1000	商店出售	211001	0	0	9
飞影六连斩	11101	10	7920	5044	3	1	8	0	0	3	0	5	200	10	1000	300	400	5	0	100	0	0	64	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击160%伤害	伤害160%	1000	商店出售	211001	0	0	10
飞影六连斩	11101	11	8640	5503	3	1	8	0	0	3	0	5	200	10	1000	300	400	5	0	100	0	0	65	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击161%伤害	伤害161%	1000	商店出售	211001	0	0	11
