//心法ID	技能ID	技能ID	技能ID	技能ID	技能ID	技能ID	技能ID	技能ID	技能ID	技能ID
300	3000	0	0	0	0	0	0	0	0	0
301	3001	0	0	0	0	0	0	0	0	0
303	3003	0	0	0	0	0	0	0	0	0
304	3004	0	0	0	0	0	0	0	0	0
305	3005	0	0	0	0	0	0	0	0	0
306	3006	0	0	0	0	0	0	0	0	0
309	3009	0	0	0	0	0	0	0	0	0
310	3010	0	0	0	0	0	0	0	0	0
311	3011	0	0	0	0	0	0	0	0	0
312	3012	0	0	0	0	0	0	0	0	0
313	3013	0	0	0	0	0	0	0	0	0
314	3014	0	0	0	0	0	0	0	0	0
315	3015	0	0	0	0	0	0	0	0	0
200	2000	0	0	0	0	0	0	0	0	0
201	2001	0	0	0	0	0	0	0	0	0
202	2002	0	0	0	0	0	0	0	0	0
203	2003	0	0	0	0	0	0	0	0	0
204	2004	0	0	0	0	0	0	0	0	0
205	2005	0	0	0	0	0	0	0	0	0
207	2007	0	0	0	0	0	0	0	0	0
208	2008	0	0	0	0	0	0	0	0	0
210	2010	0	0	0	0	0	0	0	0	0
211	2011	0	0	0	0	0	0	0	0	0
212	2012	0	0	0	0	0	0	0	0	0
213	2013	0	0	0	0	0	0	0	0	0
214	2014	0	0	0	0	0	0	0	0	0
