//心法名称	心法ID	等级	升级所需真气	升级所需金钱	增加攻击力	增加防御力	增加生命值	增加内力值	增加体力值	增加躲闪值	增加暴击值	增加吸血百分比	增加扣内百分比	增加扣体力百分比	增加扣攻击力的数量	增加扣防御力的数量	心法ICON	ICON位置	心法效果	心法描述
混元气功	6000	1	22	3	10	0	0	0	0	0	0	0	0	0	0	0	3000	0	心法：增加?点攻击力	炼化天地混元之气，增强自身攻击力。
一阳正气	6001	1	22	3	0	7	0	0	0	0	0	0	0	0	0	0	3001	0	心法：增加?点防御力	引阳刚正气聚于体表，布成一整体气罩，令敌无隙可乘。
洗髓经	6002	1	22	3	0	0	80	0	0	0	0	0	0	0	0	0	3002	0	心法：增加?点生命上限	与少林易筋经并列高深内功心法，有洗髓伐骨提升生命之功效。
玄元功	6003	1	22	3	0	0	0	15	0	0	0	0	0	0	0	0	3003	0	心法：增加?点内力上限	炼化全身内力，使得更加精纯，增加丹田内力容纳量。
太玄神功	6004	1	22	3	0	0	0	0	2	0	0	0	0	0	0	0	3004	0	心法：增加?点体力上限	依靠聚气吐纳之功，内修脉络，外强筋骨，可使灵活使用轻功。
凌波微步	6005	1	22	3	0	0	0	0	0	6	0	0	0	0	0	0	3005	0	心法：增加?点躲闪	步法极为繁复，其要旨是按《易经》六十四卦的方法灵活跳奔，跃前纵后，左窜右闪，以求避开强敌。
须弥山力	6006	1	22	3	0	0	0	0	0	0	4	0	0	0	0	0	2000	0	心法：增加?点暴击	此心法属刚猛一路，出其不意，攻其不备，其气势仿佛须弥山崩之力，令人不战而怯。
汲月神功	6007	1	22	3	0	0	0	0	0	0	0	50	0	0	0	0	2001	0	心法：使用枯木生华造成伤害的?增加为自己的生命值	学习后可通晓人体经脉要害之处。既可点穴截脉，克敌制胜；亦可助己疏筋活脉，恢复生命。
星罗万象	6008	1	22	3	0	0	0	0	0	0	0	0	100	0	0	0	2002	0	心法：增加九转星罗技能扣除目标?的内力	习得此心法后，将强化九转星罗，加大将对方的内力吸出的量，但亦不能为己所用。
烟云弥漫	6009	1	22	3	0	0	0	0	0	0	0	0	0	30	0	0	2003	0	心法：增加云缭雾绕扣除目标?的体力	习得此心法后，将强化云缭雾绕，引导强大气流缠绕目标，如泰山压身，使体力不断消耗。
洪涛汹涌	6010	1	22	3	0	0	0	0	0	0	0	0	0	0	50	0	2004	0	心法：增加碧海潮生扣除目标?的攻击力	习得此心法后，可强化碧海潮生，以音波制敌，使对方心神受刀重创，攻击力大大减少。
脱袍卸甲	6011	1	22	3	0	0	0	0	0	0	0	0	0	0	0	50	2005	0	心法：增加凌空裂帛扣除目标?的防御力	习得此心法后，可强化凌空裂帛，直接破开对方的护身气劲，将直接攻击本体。
