//名称	编号	技能等级	升级需求真气值	升级需求钱	门派	技能类型	技能属性 7 自己冲锋 8 击退目标	技能子属性	技能基础攻击	攻击方式	冷却组	本身冷却时间	技能最大距离	技能最小距离	技能攻击半径	攻击人数	消耗MP	消耗HP	消耗TP	仇恨值	是否是普通技能	伤害比率	眩晕状态下可否使用	子弹ID	吟唱时间	技能ICON	技能描述	技能效果	ICON位置	技能出处	技能对应技能书ID	消耗道具ID	每次消耗道具数量
普通攻击	3	1	1	1	3	0	9	0	0	2	1000	100	230	0	0	1	0	0	0	0	1	100	0	0	0	1001	普通攻击	普通攻击	1000	基础技能	0	0	0
普通攻击2	4	1	1	2	3	0	9	0	0	2	1000	100	230	0	0	1	0	0	0	0	1	100	0	0	0	1001	普通攻击	普通攻击	1000	基础技能	0	0	0
普通攻击3	5	1	1	3	3	0	9	0	0	2	1000	100	230	0	0	1	0	0	0	0	1	100	0	0	0	1001	普通攻击	普通攻击	1000	基础技能	0	0	0
戮神归元	101	1	1	4	3	1	7	0	0	2	0	500	1000	0	0	1	0	0	0	0	0	100	0	0	0	1003	戮神归元	强化对近距离单体目标造成基础的伤害，技能每提高1级伤害提高1.3%技能	1000	商店出售	190432	0	0
石破天惊	102	1	2	5	3	1	6	0	0	0	0	600	0	0	0	1	0	0	0	0	0	100	0	0	0	1004	石破天惊	使你的戮神归元有几率击退对手并且一定暴击，技能每提升1级触发几率提高2%	1000	BOSS掉落	190433	0	0
凝神洞悉	103	1	3	6	3	2	6	0	0	5	0	800	0	0	0	0	0	0	0	0	0	100	0	0	0	1005	凝神洞悉	降低石破天惊技能的对你命中几率，技能每提升1级几率提高2%	1000	BOSS掉落	190434	0	0
破风刺	104	1	4	7	3	2	8	0	0	2	1000	1200	230	0	0	1	0	0	0	0	0	100	0	0	0	3001	破风刺	对远距离单体目标造成基础的伤害，技能每提高1级伤害提高1%	1000	商店出售	190435	0	0
冰冷	105	1	5	8	3	2	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	100	0	0	0	1006	冰冷	使你的破风刺有几率使目标定身及沉默持续2秒，技能每提升1级触发几率提高2%	1000	BOSS掉落	190436	0	0
炽热	106	1	6	9	3	2	6	0	0	5	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	2001	炽热	降低冰冷技能的对你命中几率，技能每提升1级几率提高2%	1000	BOSS掉落	190437	0	0
逆乱强袭	107	1	7	10	3	2	3	0	0	1	1000	1300	500	0	500	1000	0	0	0	0	0	100	0	0	0	1002	逆乱强袭	对自身半径500米内的所有目标造成基础的伤害，技能每提高1级伤害提高0.7%	1000	商店出售	190438	0	0
纵火	108	1	8	11	3	3	6	0	0	1	0	0	500	0	500	1000	0	0	0	0	0	100	0	0	0	2000	纵火	使你的逆乱强袭有几率使目标被点燃持续3秒，给目标造成持续性的伤害，技能每提升1级触发几率提高2%，点燃时间延长0.2秒	1000	BOSS掉落	190439	190501	3
苦修	109	1	9	12	3	3	6	0	0	5	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	2002	苦修	降低纵火技能的对你命中几率，技能每提升1级几率提高2%	1000	BOSS掉落	190440	190502	2
逆乱强袭(扇形群攻)	110	1	10	13	3	3	3	0	0	2	1000	1300	500	0	1000	1000	0	0	0	0	0	100	0	0	0	1002	逆乱强袭	对自身半径500米内的所有目标造成基础的伤害，技能每提高1级伤害提高0.7%	1000	商店出售	190441	190503	5
职业技能1	10000	1	11	14	3	1	4	0	0	0	1000	100	230	0	0	1	0	0	0	0	1	100	0	0	0	1003	技能攻击	技能攻击	1000	基础技能	190431	0	0
//怪物技能																														0			
怪物普通攻击（1秒类）	12000	1	13	16	8	0	1	0	2	0	0	0	50	0	0	1	0	0	0	0	0	100	0	0	0	0	怪物普通攻击	怪物普通攻击	0	0	0	0	0
怪物普通攻击（1.333秒类）	12001	1	14	17	8	0	1	0	2	0	0	0	50	0	0	1	0	0	0	0	0	100	0	0	0	0	怪物普通攻击	怪物普通攻击	0	0	0	0	0
怪物普通攻击（1.334秒类）	12002	1	15	18	8	0	1	0	50	0	0	0	50	0	0	1	0	0	0	0	0	100	0	0	0	0	怪物普通攻击	怪物普通攻击	0	0	0	0	0
Boss普通攻击（1秒类）	12003	1	16	19	8	0	1	0	20	0	0	0	230	0	0	1	0	0	0	0	0	100	0	0	0	0	怪物普通攻击	怪物普通攻击	0	0	0	0	0
Boss普通攻击（1秒类）	12004	1	17	20	8	0	1	0	20	0	0	0	230	0	0	1	0	0	0	0	0	100	0	0	0	0	怪物普通攻击	怪物普通攻击	0	0	0	0	0
怪物群体攻击（1.334秒类）	12005	1	18	21	8	0	3	0	50	1	0	0	230	0	300	8	0	0	0	0	0	100	0	0	0	0	怪物普通攻击	怪物普通攻击	0	0	0	0	0
Boss普通攻击（1秒类）	12006	1	19	22	8	0	1	0	20	0	0	0	230	0	0	1	0	0	0	0	0	100	0	0	0	0	怪物普通攻击	怪物普通攻击	0	0	0	0	0
