编号	名称	类型	门派	最大等级	难度基数	难度系数	持续时间基数	持续时间系数	提升外防基数	提升外防系数	提升内防基数	提升内防系数	增加生命上限基数	增加生命上限系数	减免伤害比例基数	减免伤害比例系数	减免绝对伤害基数	减免绝对伤害系数	反弹伤害比例基数	反弹伤害比例系数	消耗生命值基数	消耗生命值系数	消耗内力值基数	消耗内力值系数	消耗真气值基数	消耗真气值系数	冷却时间	技能说明
1	金钟罩	1	0	60	2	28	20000	1000	10	40000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	1000	使用此技能能够在一定的时间内提高人物的外防值，并消耗一定的真气
2	铁布衫	2	0	60	2	28	20000	1000	0	0	10	40000	0	0	0	0	0	0	0	0	0	0	0	0	10	0	1000	
3	金刚不坏身	3	0	150	200	116	10000	130	0	0	0	0	50	663333	0	0	0	0	0	0	0	0	0	0	10	20000	1000	
4	菩提无树	4	0	50	100	1000	10000	1000	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	25	0	1000	
5	明镜非台	5	0	20	500	150	20000	2000	0	0	0	0	0	0	0	0	20	90000	0	0	0	0	0	0	10	0	1000	
6	还施彼身	6	0	10	1000	600	10000	2000	0	0	0	0	0	0	0	0	0	0	200	80	0	0	0	0	10	0	1000	
7	韧如丝	1	1	60	2	28	20000	1000	10	40000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	1000	使用此技能能够在一定的时间内提高人物的外防值，并消耗一定的真气
8	绕指柔	2	1	60	2	28	20000	1000	0	0	10	40000	0	0	0	0	0	0	0	0	0	0	0	0	10	0	1000	
9	不死劫	3	0	150	200	116	10000	130	0	0	0	0	50	663333	0	0	0	0	0	0	0	0	0	0	10	20000	1000	
10	残红未退	4	1	50	100	1000	10000	1000	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	25	0	1000	
11	藕断丝连	5	1	20	500	150	20000	2000	0	0	0	0	0	0	0	0	20	90000	0	0	0	0	0	0	10	0	1000	
12	移花接木	6	1	10	1000	600	10000	2000	0	0	0	0	0	0	0	0	0	0	200	80	0	0	0	0	10	0	1000	
13	顽石点头	1	2	60	2	28	20000	1000	10	40000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	1000	使用此技能能够在一定的时间内提高人物的外防值，并消耗一定的真气
14	心外无物	2	2	60	2	28	20000	1000	0	0	10	40000	0	0	0	0	0	0	0	0	0	0	0	0	10	0	1000	
15	生生不息	3	0	150	200	116	10000	130	0	0	0	0	50	663333	0	0	0	0	0	0	0	0	0	0	10	20000	1000	
16	护命妙经	4	2	50	100	1000	10000	1000	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	25	0	1000	
17	度厄真经	5	2	20	500	150	20000	2000	0	0	0	0	0	0	0	0	20	90000	0	0	0	0	0	0	10	0	1000	
18	借力打力	6	2	10	1000	600	10000	2000	0	0	0	0	0	0	0	0	0	0	200	80	0	0	0	0	10	0	1000	
19	磐石无转移	1	3	60	2	28	20000	1000	10	40000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	1000	使用此技能能够在一定的时间内提高人物的外防值，并消耗一定的真气
20	明王不动	2	3	60	2	28	20000	1000	0	0	10	40000	0	0	0	0	0	0	0	0	0	0	0	0	10	0	1000	
21	再受命	3	0	150	200	116	10000	130	0	0	0	0	50	663333	0	0	0	0	0	0	0	0	0	0	10	20000	1000	
22	光明引	4	3	50	100	1000	10000	1000	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	25	0	1000	
23	圣火引	5	3	20	500	150	20000	2000	0	0	0	0	0	0	0	0	20	90000	0	0	0	0	0	0	10	0	1000	
24	以牙还牙	6	3	10	1000	600	10000	2000	0	0	0	0	0	0	0	0	0	0	200	80	0	0	0	0	10	0	1000	
25	天罡护体	1	4	60	2	28	20000	1000	10	40000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	1000	使用此技能能够在一定的时间内提高人物的外防值，并消耗一定的真气
26	地煞加身	2	4	60	2	28	20000	1000	0	0	10	40000	0	0	0	0	0	0	0	0	0	0	0	0	10	0	1000	
27	七星借命法	3	0	150	200	116	10000	130	0	0	0	0	50	663333	0	0	0	0	0	0	0	0	0	0	10	20000	1000	
28	祛难法	4	4	50	100	1000	10000	1000	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	25	0	1000	
29	化劫法	5	4	20	500	150	20000	2000	0	0	0	0	0	0	0	0	20	90000	0	0	0	0	0	0	10	0	1000	
30	李代桃僵	6	4	10	1000	600	10000	2000	0	0	0	0	0	0	0	0	0	0	200	80	0	0	0	0	10	0	1000	
