//全局ID	物品ID	物品ID	物品ID	物品ID	物品ID	物品ID	物品ID	物品ID	物品ID	物品ID
//【杂物】	0	0	0	0	0	0	0	0	0	0
200000001	7000003	7000003	7000003	7000003	0	0	0	0	0	0
200000002	3000006	3000007	3000008	3000009	3000010	0	0	0	0	0
200000003	3000011	3000012	3000013	3000014	3000015	0	0	0	0	0
200000004	3000016	3000017	3000018	3000019	3000020	0	0	0	0	0
200000005	3000021	3000022	3000023	3000024	3000025	0	0	0	0	0
200000006	3000026	3000027	3000028	3000029	3000030	0	0	0	0	0
200000007	3000031	3000032	3000033	3000034	3000035	0	0	0	0	0
200000008	3000036	3000037	3000038	3000039	3000040	0	0	0	0	0
200000009	3000041	3000042	3000043	3000044	3000045	0	0	0	0	0
200000010	3000046	3000047	3000048	3000049	3000050	0	0	0	0	0
200000011	3000051	3000052	3000053	3000054	3000055	0	0	0	0	0
200000012	3000056	3000057	3000058	3000059	3000060	0	0	0	0	0
200000013	3000061	3000062	3000063	3000064	3000065	0	0	0	0	0
200000014	3000066	3000067	3000068	3000069	3000070	0	0	0	0	0
200000015	3000071	3000072	3000073	3000074	3000075	0	0	0	0	0
200000016	3000076	3000077	3000078	3000079	3000080	0	0	0	0	0
200000017	3000081	3000082	3000083	3000084	3000085	0	0	0	0	0
200000018	3000086	3000087	3000088	3000089	3000090	0	0	0	0	0
200000019	3000091	3000092	3000093	3000094	3000095	0	0	0	0	0
200000020	3000096	3000097	3000098	3000099	3000100	0	0	0	0	0
200000021	3000101	3000102	3000103	3000104	3000105	0	0	0	0	0
200000022	3000106	3000107	3000108	3000109	3000110	0	0	0	0	0
200000023	3000111	3000112	3000113	3000114	3000115	0	0	0	0	0
200000024	3000116	3000117	3000118	3000119	3000120	0	0	0	0	0
200000025	3000121	3000122	3000123	3000124	3000125	0	0	0	0	0
200000026	3000126	3000127	3000128	3000129	3000130	0	0	0	0	0
200000027	3000131	3000132	3000133	3000134	3000135	0	0	0	0	0
200000028	3000136	3000137	3000138	3000139	3000140	0	0	0	0	0
200000029	3000141	3000142	3000143	3000144	3000145	0	0	0	0	0
200000030	3000146	3000147	3000148	3000149	3000150	0	0	0	0	0
//【药品】	0	0	0	0	0	0	0	0	0	0
200010001	7000001	7010001	7020001	7000002	7010002	7020002	0	0	0	0
200010002	7000003	7010003	7020003	0	0	0	0	0	0	0
200010003	7000004	7010004	7020004	0	0	0	0	0	0	0
200010004	7000005	7010005	7020005	0	0	0	0	0	0	0
200010005	7000006	7010006	7020006	0	0	0	0	0	0	0
200010006	7000007	7010007	7020007	0	0	0	0	0	0	0
200010007	7000008	7010008	7020008	0	0	0	0	0	0	0
200010008	7000009	7010009	7020009	0	0	0	0	0	0	0
200010009	7000010	7010010	7020010	0	0	0	0	0	0	0
200010010	7000011	7010011	7020011	0	0	0	0	0	0	0
200010011	7000012	7010012	7020012	0	0	0	0	0	0	0
200010012	7000013	7010013	7020013	0	0	0	0	0	0	0
200010013	7000014	7010014	7020014	0	0	0	0	0	0	0
200010014	7000015	7010015	7020015	0	0	0	0	0	0	0
200010015	7000016	7010016	7020016	0	0	0	0	0	0	0
//【装备】	0	0	0	0	0	0	0	0	0	0
//200020001	2001001	1001	101001	11001	111001	2021001	201001	301001	211001	311001
//200020002	2001002	1002	101002	11002	111002	2021002	201002	301002	211002	311002
//200020003	2001003	1003	101003	11003	111003	2021003	201003	301003	211003	311003
//200020004	2001004	1004	101004	11004	111004	2021004	201004	301004	211004	311004
//200020005	2001005	1005	101005	11005	111005	2021005	201005	301005	211005	311005
//200020006	2002001	2001	102001	12001	112001	2022001	202001	302001	212001	312001
//200020007	2002002	2002	102002	12002	112002	2022002	202002	302002	212002	312002
//200020008	2002003	2003	102003	12003	112003	2022003	202003	302003	212003	312003
//200020009	2002004	2004	102004	12004	112004	2022004	202004	302004	212004	312004
//200020010	2002005	2005	102005	12005	112005	2022005	202005	302005	212005	312005
//200020011	2002006	2006	102006	12006	112006	2022006	202006	302006	212006	312006
//200020012	2002007	2007	102007	12007	112007	2022007	202007	302007	212007	312007
//200020013	2002008	2008	102008	12008	112008	2022008	202008	302008	212008	312008
//200020014	2002009	2009	102009	12009	112009	2022009	202009	302009	212009	312009
//200020015	2002010	2010	102010	12010	112010	2022010	202010	302010	212010	312010
//【少林装备】	200020001	200040000	0	0	0	0	0	0	0	0
200020001	2001001	2002001	11001	111001	31001	131001	51001	151001	1022001	1031001
200020002	2001002	2002002	11002	111002	31002	131002	51002	151002	1022002	1031002
200020003	2001003	2002003	11003	111003	31003	131003	51003	151003	1022003	1031003
200020004	2001004	2002004	11004	111004	31004	131004	51004	151004	1022004	1031004
//【蜀山装备】	200040001	200060000	0	0	0	0	0	0	0	0
200040001	2021001	2022001	211001	311001	231001	331001	251001	351001	1122001	1131001
200040002	2021002	2022002	211002	311002	231002	331002	251002	351002	1122002	1131002
200040003	2021003	2022003	211003	311003	231003	331003	251003	351003	1122003	1131003
200040004	2021004	2022004	211004	311004	231004	331004	251004	351004	1122004	1131004
//【五岳装备】	200060001	200080000	0	0	0	0	0	0	0	0
200060001	2041001	2042001	411001	511001	431001	531001	451001	551001	1222001	1231001
200060002	2041002	2042002	411002	511002	431002	531002	451002	551002	1222002	1231002
