// 道具ID	属性数下限	属性数下限	生命下限	生命上限	机率	内力下限	内力上限	机率	体力下限	体力上限	机率	攻击下限	攻击上限	机率	防御下限	防御上限	机率	暴击下限	暴击上限	机率	闪避下限	闪避上限	机率	移动速度下限	移动速度上限	机率	攻击速度下限	攻击速度上限	机率	伤害减免下限	伤害减免上限	机率	绝对伤害下限	绝对伤害上限	机率	防御无视下限	防御无视上限	机率	暴击倍数下限	暴击倍数上限	机率	冰伤害下限	冰伤害上限	机率	冰抗性下限	冰抗性上限	机率	火伤害下限	火伤害上限	机率	火抗性下限	火抗性上限	机率	玄伤害下限	玄伤害上限	机率	玄抗性下限	玄抗性上限	机率	毒伤害下限	毒伤害上限	机率	毒抗性下限	毒抗性上限	机率	需要的重置道具ID	重置需要的数量	需要的钱类型	重置需要的钱	需要的刷新道具ID	刷新需要的数量	刷新的钱类型	刷新需要的钱	可用锁定石ID	扣除可用锁定石数量
//【少林绿色武器】	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4005001	1	1	10000	4005001	0	1	10000	4006001	1
9000001	1	3	8	67	1000	4	14	1250	2	3	1250	2	9	650	2	6	650	1	3	650	1	5	650	1	6	650	1	6	650	1	13	650	4	16	650	1	4	650	1	8	650	1	8	650	1	8	650	1	8	650	1	8	650	1	8	650	1	8	650	1	8	650	1	8	650	4005001	1	1	10000	4005001	0	1	10000	4006001	1
9000002	1	3	8	67	1000	4	14	1250	2	3	1250	2	9	650	2	6	650	1	3	650	1	5	650	1	6	650	1	6	650	1	13	650	4	16	650	1	4	650	1	8	650	1	8	650	1	8	650	1	8	650	1	8	650	1	8	650	1	8	650	1	8	650	1	8	650	4005001	1	1	10000	4005001	0	1	10000	4006001	1
9000003	1	3	8	67	1000	4	14	1250	2	3	1250	2	9	650	2	6	650	1	3	650	1	5	650	1	6	650	1	6	650	1	13	650	4	16	650	1	4	650	1	8	650	1	8	650	1	8	650	1	8	650	1	8	650	1	8	650	1	8	650	1	8	650	1	8	650	4005001	1	1	10000	4005001	0	1	10000	4006001	1
9000004	1	3	8	67	1000	4	14	1250	2	3	1250	2	9	650	2	6	650	1	3	650	1	5	650	1	6	650	1	6	650	1	13	650	4	16	650	1	4	650	1	8	650	1	8	650	1	8	650	1	8	650	1	8	650	1	8	650	1	8	650	1	8	650	1	8	650	4005001	1	1	10000	4005001	0	1	10000	4006001	1
2001001	1	3	8	67	1000	4	14	1250	2	3	1250	2	9	650	2	6	650	1	3	650	1	5	650	1	6	650	1	6	650	1	13	650	4	16	650	1	4	650	1	8	650	1	8	650	1	8	650	1	8	650	1	8	650	1	8	650	1	8	650	1	8	650	1	8	650	4005001	1	1	10000	4005001	0	1	10000	4006001	1
2001002	1	3	73	132	1000	15	26	1250	3	4	1250	10	18	650	7	12	650	3	6	650	5	10	650	6	12	650	6	12	650	15	31	650	18	29	650	4	8	650	8	15	650	8	15	650	8	15	650	8	15	650	8	15	650	8	15	650	8	15	650	8	15	650	8	15	650	4005001	1	1	10000	4005001	0	1	10000	4006001	1
2001003	1	3	138	197	1000	27	37	1250	5	6	1250	18	26	650	12	17	650	7	9	650	10	14	650	12	17	650	12	17	650	33	53	650	31	43	650	8	12	650	16	23	650	16	23	650	16	23	650	16	23	650	16	23	650	16	23	650	16	23	650	16	23	650	16	23	650	4005001	1	1	10000	4005001	0	1	10000	4006001	1
2001004	1	3	204	263	1000	38	49	1250	6	8	1250	27	35	650	18	23	650	10	12	650	15	19	650	18	23	650	18	23	650	55	78	650	45	56	650	12	15	650	24	31	650	24	31	650	24	31	650	24	31	650	24	31	650	24	31	650	24	31	650	24	31	650	24	31	650	4005001	1	1	10000	4005001	0	1	10000	4006001	1
2001005	1	3	269	328	1000	50	60	1250	8	9	1250	35	43	650	23	28	650	13	15	650	19	23	650	24	29	650	24	29	650	82	109	650	58	70	650	16	19	650	32	38	650	32	38	650	32	38	650	32	38	650	32	38	650	32	38	650	32	38	650	32	38	650	32	38	650	4005001	1	1	10000	4005001	0	1	10000	4006001	1
2001006	1	3	335	393	1000	62	72	1250	9	11	1250	44	51	650	28	33	650	16	19	650	24	28	650	29	35	650	29	35	650	112	143	650	72	83	650	20	23	650	39	46	650	39	46	650	39	46	650	39	46	650	39	46	650	39	46	650	39	46	650	39	46	650	39	46	650	4005001	1	1	10000	4005001	0	1	10000	4006001	1
2001007	1	3	400	459	1000	73	83	1250	11	12	1250	52	60	650	34	39	650	19	22	650	28	33	650	35	40	650	35	40	650	147	182	650	85	97	650	23	27	650	47	54	650	47	54	650	47	54	650	47	54	650	47	54	650	47	54	650	47	54	650	47	54	650	47	54	650	4005001	1	1	10000	4005001	0	1	10000	4006001	1
2001008	1	3	465	524	1000	85	95	1250	12	14	1250	61	68	650	39	44	650	22	25	650	33	37	650	41	46	650	41	46	650	186	217	650	98	110	650	27	31	650	55	62	650	55	62	650	55	62	650	55	62	650	55	62	650	55	62	650	55	62	650	55	62	650	55	62	650	4005001	1	1	10000	4005001	0	1	10000	4006001	1
2001009	1	3	531	590	1000	96	107	1250	14	15	1250	69	77	650	45	49	650	25	28	650	38	42	650	47	52	650	47	52	650	219	244	650	112	124	650	31	35	650	62	69	650	62	69	650	62	69	650	62	69	650	62	69	650	62	69	650	62	69	650	62	69	650	62	69	650	4005001	1	1	10000	4005001	0	1	10000	4006001	1
2001010	1	3	596	655	1000	108	118	1250	15	17	1250	78	85	650	50	55	650	28	31	650	42	46	650	53	58	650	53	58	650	247	271	650	125	137	650	35	38	650	70	77	650	70	77	650	70	77	650	70	77	650	70	77	650	70	77	650	70	77	650	70	77	650	70	77	650	4005001	1	1	10000	4005001	0	1	10000	4006001	1
2001011	1	3	596	655	1000	108	118	1250	15	17	1250	69	77	650	45	49	650	25	28	650	38	42	650	47	52	650	47	52	650	219	244	650	112	124	650	31	35	650	62	69	650	62	69	650	62	69	650	62	69	650	62	69	650	62	69	650	62	69	650	62	69	650	62	69	650	4005001	1	1	10000	4005001	0	1	10000	4006001	1
2001012	1	3	531	590	1000	96	107	1250	14	15	1250	78	85	650	45	49	650	25	28	650	38	42	650	47	52	650	47	52	650	219	244	650	112	124	650	31	35	650	62	69	650	62	69	650	62	69	650	62	69	650	62	69	650	62	69	650	62	69	650	62	69	650	62	69	650	4005001	1	1	10000	4005001	0	1	10000	4006001	1
2001013	1	3	531	590	1000	96	107	1250	14	15	1250	69	77	650	50	55	650	25	28	650	38	42	650	47	52	650	47	52	650	219	244	650	112	124	650	31	35	650	62	69	650	62	69	650	62	69	650	62	69	650	62	69	650	62	69	650	62	69	650	62	69	650	62	69	650	4005001	1	1	10000	4005001	0	1	10000	4006001	1
