技能名称	编号	类型	学习等级	学习金钱	学习任务1	学习任务2	学习任务3	关联武功1	关联武功1等级	关联武功2	关联武功2等级	关联武功3	关联武功3等级	关联武功4	关联武功4等级	武器	动作ID	特效名字	特效高度	声音
·																				
少林基本攻击	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	10000	50	降龙十八掌	20	0.wav
无常杖法	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	10000	53	降龙十八掌	20	0.wav
大文殊杖法	3	1	16	0	0	0	0	0	0	0	0	0	0	0	0	10000	54	降龙十八掌	20	0.wav
达摩禅杖法	4	1	40	0	0	0	0	0	0	0	0	0	0	0	0	10000	55	降龙十八掌	20	0.wav
小夜叉棍法	5	1	11	0	0	0	0	0	0	0	0	0	0	0	0	10000	51	降龙十八掌	20	0.wav
醉八仙棍法	6	1	75	0	0	0	0	0	0	0	0	0	0	0	0	10000	52	降龙十八掌	20	0.wav
半神杖.大蟒游	7	1	7	0	0	0	0	0	0	0	0	0	0	0	0	10000	56	降龙十八掌	20	0.wav
半神杖.金翅展	8	1	65	0	0	0	0	0	0	0	0	0	0	0	0	10000	57	降龙十八掌	20	0.wav
半神杖.夜叉巡	9	1	30	0	0	0	0	0	0	0	0	0	0	0	0	10000	58	降龙十八掌	20	0.wav
半神杖.修罗场	10	1	55	0	0	0	0	0	0	0	0	0	0	0	0	10000	59	降龙十八掌	20	0.wav
芥子须弥杖	11	1	20	0	0	0	0	0	0	0	0	0	0	0	0	10000	60	降龙十八掌	20	0.wav
天人五衰杖	12	1	25	0	0	0	0	0	0	0	0	0	0	0	0	10000	61	降龙十八掌	20	0.wav
六道轮回杖	13	1	35	0	0	0	0	0	0	0	0	0	0	0	0	10000	62	降龙十八掌	20	0.wav
众生疾苦杖	14	1	45	0	0	0	0	0	0	0	0	0	0	0	0	10000	63	降龙十八掌	20	0.wav
极乐净土杖	15	1	50	0	0	0	0	0	0	0	0	0	0	0	0	10000	64	降龙十八掌	20	0.wav
毗湿奴之杵	16	1	85	0	0	0	0	0	0	0	0	0	0	0	0	10000	65	降龙十八掌	20	0.wav
梵天之击	17	1	95	0	0	0	0	0	0	0	0	0	0	0	0	10000	66	降龙十八掌	20	0.wav
湿婆之力	18	1	105	0	0	0	0	0	0	0	0	0	0	0	0	10000	67	降龙十八掌	20	0.wav
拈花指	19	1	12	0	0	0	0	0	0	0	0	0	0	0	0	10090	53	降龙十八掌	20	0.wav
摩诃指	20	1	13	0	0	0	0	0	0	0	0	0	0	0	0	10090	54	降龙十八掌	20	0.wav
大力金刚指	21	1	40	0	0	0	0	0	0	0	0	0	0	0	0	10090	55	降龙十八掌	20	0.wav
龙爪擒拿手	22	1	16	0	0	0	0	0	0	0	0	0	0	0	0	10090	51	降龙十八掌	20	0.wav
十二擒龙手	23	1	75	0	0	0	0	0	0	0	0	0	0	0	0	10090	52	降龙十八掌	20	0.wav
禅定手印	24	1	14	0	0	0	0	0	0	0	0	0	0	0	0	10090	56	降龙十八掌	20	0.wav
降魔手印	25	1	65	0	0	0	0	0	0	0	0	0	0	0	0	10090	57	降龙十八掌	20	0.wav
施无畏手印	26	1	30	0	0	0	0	0	0	0	0	0	0	0	0	10090	58	降龙十八掌	20	0.wav
