习得等级预计		编号	门派	名称	音效文件名	技能特效	受伤技能特效	缩放	高度	准备动作编号	动作编号	动作播放时间	对应武器	武功类型	触发方式	目标对象	中断概率	中断伤害倍数	攻击距离	攻击范围类型	消耗生命基数	消耗生命系数	消耗内力基数	消耗内力系数	消耗真气基数	消耗真气系数	出招时间	公共武功冷却时间	公共药品冷却时间	自身冷却时间	命中率	基础力道基数	基础力道系数	参数1（精通力道基数）	参数2（精通力道系数）	参数3（内功与外功的区别计算参数）	参数4（内功与外功的区别计算参数）	破防值基数	破防值系数	破防出现概率	生命伤害类型	内力伤害类型	真气伤害类型	熟练度基数	熟练度系数	buff编号1	buff触发几率1	buff编号2	buff触发几率2	技能说明
261																																																		
1	普通攻击	1	0	少林基本攻击	0.wav	少林/普通攻击	0	1	0	0	50	1500	-1	2	0	6	0	0	4	0	0	0	0	0	0	0	0	0	0	0	10000	5	4500	1250	12	10000	0	0	0	0	1	0	0	1728000	24502500	0	0	0	0	0
5	伤害输出型(外)	2	0	无常杖法	1.wav	少林/无常杖法	0	1	0	0	53	2000	1	0	0	6	0	0	8	0	0	0	6	0	0	0	0	1500	0	0	10000	5	4500	2000	20	10000	0	0	0	0	1	0	0	1728000	24502500	0	0	0	0	0
15	伤害输出型(外)	3	0	大文殊杖法	0.wav	八卦剑法	0	1	0	0	54	1500	1	0	0	6	0	0	4	0	0	0	12	500	0	0	0	1500	0	5000	10000	5	4500	3000	30	10000	0	2	0	0	1	0	0	518400	24502500	0	0	0	0	0
25	伤害输出型(外)	4	0	达摩禅杖法	1.wav	八卦剑法	0	1	0	0	55	1500	1	0	0	6	0	0	4	0	0	0	18	500	0	0	0	1500	0	7500	10000	5	4500	4000	40	10000	0	0	0	0	1	0	0	345600	24502500	0	0	0	0	0
10	伤害输出型(外)	5	0	小夜叉棍法	0.wav	八卦剑法	0	1	0	0	51	1500	1	0	0	6	0	0	4	0	0	0	18	500	0	0	0	1500	0	5000	10000	5	5000	4000	40	10000	0	0	0	0	1	0	0	518400	24502500	0	0	0	0	0
15	伤害输出型(外)	6	0	醉八仙棍法	1.wav	八卦剑法	0	1	0	0	52	1500	1	0	0	6	0	0	4	0	0	0	24	500	0	0	0	1500	0	7500	10000	5	5000	6000	60	10000	0	0	0	0	1	0	0	345600	24502500	0	0	0	0	0
20	伤害输出型(外)	7	0	半神杖.大蟒游	1.wav	少林/半神杖.大蟒游	0	1	0	0	56	1800	1	0	0	6	0	0	4	0	0	0	10	500	0	0	0	1500	0	0	10000	5	4000	2000	20	10000	0	0	0	0	1	0	0	2304000	24502500	0	0	0	0	0
25	伤害输出型(外)	8	0	半神杖.金翅展	0.wav	八卦剑法	0	1	0	0	57	1500	1	0	0	6	0	0	4	0	0	0	16	500	0	0	0	1500	0	5000	10000	5	4000	3000	30	10000	0	2	0	0	1	0	0	691200	24502500	0	0	0	0	0
30	伤害输出型(外)	9	0	半神杖.夜叉巡	1.wav	八卦剑法	0	1	0	0	58	1500	1	0	0	6	0	0	4	0	0	0	20	500	0	0	0	1500	0	7500	10000	5	4000	4000	40	10000	0	0	0	0	1	0	0	460800	24502500	0	0	0	0	0
35	伤害输出型(外)	10	0	半神杖.修罗场	0.wav	八卦剑法	0	1	0	0	59	1500	1	0	0	6	0	0	4	0	0	0	26	500	0	0	0	1500	0	10000	10000	5	4000	6000	60	10000	0	0	0	0	1	0	0	345600	24502500	0	0	0	0	0
30	群攻型(外)	11	0	芥子须弥杖	1.wav	八卦剑法	0	1	0	0	60	1500	1	0	0	7	0	0	4	1	0	0	20	500	0	0	0	1500	0	3000	10000	5	3500	1250	12	10000	0	0	0	0	1	0	0	1440000	24502500	0	0	0	0	0
35	群攻型(外)	12	0	天人五衰杖	0.wav	八卦剑法	0	1	0	0	61	1500	1	0	0	7	0	0	4	2	0	0	20	500	0	0	0	1500	0	3000	10000	5	3500	1250	12	10000	0	0	0	0	1	0	0	1440000	24502500	0	0	0	0	0
40	群攻型(外)	13	0	六道轮回杖	1.wav	八卦剑法	0	1	0	0	62	1500	1	0	0	7	0	0	4	3	0	0	26	500	0	0	0	1500	0	4000	10000	5	3500	2000	20	10000	0	0	0	0	1	0	0	1080000	24502500	0	0	0	0	0
45	群攻型(外)	14	0	众生疾苦杖	0.wav	八卦剑法	0	1	0	0	63	1500	1	0	0	7	0	0	4	4	0	0	26	500	0	0	0	1500	0	4000	10000	5	3500	2000	20	10000	0	0	0	0	1	0	0	1080000	24502500	0	0	0	0	0
50	群攻型(外)	15	0	极乐净土杖	1.wav	八卦剑法	0	1	0	0	64	1500	1	0	0	7	0	0	4	5	0	0	32	500	0	0	0	1500	0	4000	10000	5	3500	3000	30	10000	0	0	0	0	1	0	0	1080000	24502500	0	0	0	0	0
55	群攻型(外)	16	0	毗湿奴之杵	0.wav	八卦剑法	0	1	0	0	65	1500	1	0	0	7	0	0	4	6	0	0	26	500	0	0	0	1500	0	4000	10000	5	3500	2000	20	10000	0	0	0	0	1	0	0	1080000	24502500	0	0	0	0	0
60	群攻型(外)	17	0	梵天之击	1.wav	八卦剑法	0	1	0	0	66	1500	1	0	0	7	0	0	4	7	0	0	32	500	0	0	0	1500	0	4000	10000	5	3500	3000	30	10000	0	0	0	0	1	0	0	1080000	24502500	0	0	0	0	0
65	群攻型(外)	18	0	湿婆之力	0.wav	八卦剑法	0	1	0	0	67	1500	1	0	0	7	0	0	4	8	0	0	42	500	0	0	0	1500	0	4000	10000	5	3500	4000	40	10000	0	0	0	0	1	0	0	1080000	24502500	0	0	0	0	0
5	伤害输出型(内)	19	0	拈花指	0.wav	八卦剑法	0	1	0	0	53	1500	2	1	0	6	0	0	4	0	0	0	6	0	0	0	0	1500	0	0	10000	5	4500	2000	20	9000	18	0	0	0	1	0	0	1728000	24502500	0	0	0	0	0
15	伤害输出型(内)	20	0	摩诃指	1.wav	八卦剑法	0	1	0	0	54	1500	2	1	0	6	0	0	4	0	0	0	12	500	0	0	0	1500	0	5000	10000	5	4500	3000	30	9000	18	2	0	0	1	0	0	518400	24502500	0	0	0	0	0
25	伤害输出型(内)	21	0	大力金刚指	0.wav	八卦剑法	0	1	0	0	55	1500	2	1	0	6	0	0	4	0	0	0	18	500	0	0	0	1500	0	7500	10000	5	4500	4000	40	9000	18	0	0	0	1	0	0	345600	24502500	0	0	0	0	0
10	伤害输出型(内)	22	0	龙爪擒拿手	1.wav	八卦剑法	0	1	0	0	51	1500	2	1	0	6	0	0	4	0	0	0	18	500	0	0	0	1500	0	5000	10000	5	5000	4000	40	9000	18	0	0	0	1	0	0	518400	24502500	0	0	0	0	0
15	伤害输出型(内)	23	0	十二擒龙手	0.wav	八卦剑法	0	1	0	0	52	1500	2	1	0	6	0	0	4	0	0	0	24	500	0	0	0	1500	0	7500	10000	5	5000	6000	60	9000	18	0	0	0	1	0	0	345600	24502500	0	0	0	0	0
20	伤害输出型(内)	24	0	禅定手印	0.wav	八卦剑法	0	1	0	0	56	1500	2	1	0	6	0	0	4	0	0	0	10	500	0	0	0	1500	0	0	10000	5	4000	2000	20	9000	18	0	0	0	1	0	0	2304000	24502500	0	0	0	0	0
25	伤害输出型(内)	25	0	降魔手印	1.wav	八卦剑法	0	1	0	0	57	1500	2	1	0	6	0	0	4	0	0	0	16	500	0	0	0	1500	0	5000	10000	5	4000	3000	30	9000	18	2	0	0	1	0	0	691200	24502500	0	0	0	0	0
30	伤害输出型(内)	26	0	施无畏手印	0.wav	八卦剑法	0	1	0	0	58	1500	2	1	0	6	0	0	4	0	0	0	20	500	0	0	0	1500	0	7500	10000	5	4000	4000	40	9000	18	0	0	0	1	0	0	460800	24502500	0	0	0	0	0
35	伤害输出型(内)	27	0	恒河大手印	1.wav	八卦剑法	0	1	0	0	59	1500	2	1	0	6	0	0	4	0	0	0	26	500	0	0	0	1500	0	10000	10000	5	4000	6000	60	9000	18	0	0	0	1	0	0	345600	24502500	0	0	0	0	0
30	群攻型(内)	28	0	韦陀掌	0.wav	八卦剑法	0	1	0	0	60	1500	2	1	0	7	0	0	4	1	0	0	20	500	0	0	0	1500	0	3000	10000	5	3500	1250	12	9000	18	0	0	0	1	0	0	1440000	24502500	0	0	0	0	0
35	群攻型(内)	29	0	龙旋掌	1.wav	八卦剑法	0	1	0	0	61	1500	2	1	0	7	0	0	4	2	0	0	20	500	0	0	0	1500	0	3000	10000	5	3500	1250	12	9000	18	0	0	0	1	0	0	1440000	24502500	0	0	0	0	0
40	群攻型(内)	30	0	推山掌	0.wav	八卦剑法	0	1	0	0	62	1500	2	1	0	7	0	0	4	3	0	0	26	500	0	0	0	1500	0	4000	10000	5	3500	2000	20	9000	18	0	0	0	1	0	0	1080000	24502500	0	0	0	0	0
