//经脉	脉线序号	穴位序号	生命上限	内力上限	体力上限	攻击	防御	暴击	闪避	所需道具ID	成功率	所需真气
//【阴跷脉】	0	0	0	0	0	0	0	0	0	0	0	0
然谷	1	1	0	0	0	0	11	0	8	3500001	100	0
照海	1	2	96	0	0	0	0	6	0	3500002	100	0
交信	1	3	95	0	0	17	0	0	0	3500003	100	0
阴谷	1	4	0	0	0	0	11	0	7	3500004	50	1092
横谷	1	5	0	24	0	18	0	0	0	3500005	50	1193
气冲	1	6	96	0	6	0	0	0	0	3500006	50	934
乳根	1	7	0	0	0	0	0	7	8	3500007	50	1013
盆缺	1	8	0	24	0	0	11	0	0	3500008	50	799
人迎	1	9	0	24	0	17	0	0	0	3500009	50	1137
晴明	1	10	96	0	0	0	0	6	0	3500010	50	1305
不容	1	11	0	0	6	0	0	0	8	3500011	50	574
梁门	1	12	95	0	0	0	11	0	0	3500012	50	1510
膻中	1	13	0	0	0	17	0	6	0	3500013	50	1362
足三里	1	14	0	24	0	0	0	0	8	3500014	50	720
丰隆	1	15	95	0	6	0	0	0	0	3500015	50	925
解溪	1	16	0	0	0	18	0	0	8	3500016	50	1553
冲阳	1	17	0	25	0	0	12	0	0	3500017	50	863
颊车	1	18	96	0	0	0	0	6	0	3500018	50	1305
额外奖励	1	0	48	9	1	6	4	2	3	0	0	0
//【阳跷脉】	0	0	0	0	0	0	0	0	0	0	0	0
申脉	2	19	84	0	0	15	0	0	0	3500019	50	1632
仆参	2	20	0	0	5	0	0	8	0	3500020	50	568
居髎	2	21	84	0	0	16	0	0	0	3500021	50	1688
中府	2	22	0	0	0	0	10	0	10	3500022	50	1238
跗阳	2	23	86	0	0	0	0	8	0	3500023	50	1347
肩髃	2	24	0	26	0	0	10	0	0	3500024	50	758
巨骨	2	25	0	0	0	0	10	0	10	3500025	50	1238
地仓	2	26	84	0	0	16	0	0	0	3500026	50	1688
巨髎	2	27	86	0	4	0	0	0	0	3500027	50	829
承泣	2	28	0	26	0	0	0	8	0	3500028	50	735
风池	2	29	84	0	0	0	0	0	10	3500029	50	1463
攒竹	2	30	0	25	0	0	10	0	0	3500030	50	750
眉冲	2	31	0	0	4	16	0	0	0	3500031	50	923
曲差	2	32	86	0	0	0	0	0	10	3500032	50	1482
五处	2	33	84	0	0	0	0	8	0	3500033	50	1328
承光	2	34	0	0	4	16	0	0	0	3500034	50	923
通天	2	35	0	26	0	0	11	0	0	3500035	50	814
络却	2	36	84	25	0	0	0	0	0	3500036	50	975
玉枕	2	37	86	0	0	0	0	0	10	3500037	50	1482
天柱	2	38	0	0	0	16	0	8	0	3500038	50	1440
承山	2	39	0	26	0	0	10	0	0	3500039	50	758
飞扬	2	40	0	0	0	16	10	0	0	3500040	50	1463
昆仑	2	41	0	0	5	0	0	0	10	3500041	50	703
额外奖励	2	0	96	17	3	13	8	5	7	0	0	0
//【阴维脉】	0	0	0	0	0	0	0	0	0	0	0	0
府舍	3	42	74	0	0	0	12	0	0	3500042	50	1825
大横	3	43	0	0	8	0	0	7	0	3500043	50	690
侠白	3	44	73	0	0	19	0	0	0	3500044	50	2338
腹衰	3	45	0	0	0	0	13	0	11	3500045	50	1965
期门	3	46	0	18	0	0	0	7	0	3500046	50	810
廉泉	3	47	74	0	0	0	12	0	0	3500047	50	1825
极泉	3	48	74	0	0	0	0	0	10	3500048	50	1825
青灵	3	49	73	17	0	0	0	0	0	3500049	50	1083
少海	3	50	0	18	0	20	0	0	0	3500050	50	1680
灵道	3	51	74	0	0	0	0	7	0	3500051	50	1555
通里	3	52	0	0	7	0	0	0	11	3500052	50	1043
阴郄	3	53	0	18	0	0	13	0	0	3500053	50	1155
神门	3	54	73	18	0	0	0	0	0	3500054	50	1093
少府	3	55	0	18	0	0	0	0	10	3500055	50	1080
少冲	3	56	0	0	0	19	0	7	0	3500056	50	2055
筑宾	3	57	74	0	0	19	0	0	0	3500057	50	2350
额外奖励	3	0	192	35	5	25	16	9	14	0	0	0
