名称	编号（穴道）	编号（物品）	生命上限	内力上限	真气上限	生命恢复量	内力恢复量	真气恢复量	外功基础	外功精通	内功基础	内功精通	外防基础	外防精通	内防基础	内防精通	身法	杀气	冲穴需要心法
																			
·																			
然谷	0	7001	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1200
照海	1	7002	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1200
交信	2	7003	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	1200
阴谷	3	7004	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2400
横谷	4	7005	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2400
气冲	5	7006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2400
乳根	6	7007	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8000
盆缺	7	7008	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8000
人迎	8	7009	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	3600
睛明	9	7010	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3600
不容	10	7011	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1200
梁门	11	7012	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	2000
横鼻	12	7013	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8000
足三里	13	7014	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	14400
丰隆	14	7015	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3600
解溪	15	7016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3600
冲阳	16	7017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	8000
属兑	17	7018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3600
阴蹻脉	31	7019	20	9	0	0	2	0	6	0	6	0	6	0	0	0	0	0	0
府舍	32	7020	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	14400
大横	33	7021	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3600
阳交	34	7022	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3600
腹哀	35	7023	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	1200
期门	36	7024	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1200
廉泉	37	7025	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	1200
极泉	38	7026	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	2400
青灵	39	7027	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2400
少海	40	7028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2400
灵道	41	7029	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8000
通里	42	7030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	14400
阴郄	43	7031	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7200
神门	44	7032	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3600
少府	45	7033	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	15400
