//荣耀ID	荣耀名	荣耀类型	奖励游戏币	奖励金币	奖励荣耀	等级	连续登陆次数	在线时间	通关次数	杀怪数	游戏币数	元宝数	装备数	强化等级	升阶等级	升星等级	刻印等级	攻击力	变身数量	信仰技能数	背包数	完成荣耀数	条件索引	条件说明
1	见习战士	0	10000	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	恭喜你，你已经成为一名合格的“见习战士”
2	青铜战士	0	40000	26	10500	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	恭喜你等级达到20级，你已经成为一名合格的“青铜战士”
3	白银战士	0	50000	35	14000	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	恭喜你等级达到30级，你已经成为一名合格的“白银战士”
4	黄金战士	0	80000	53	21000	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	恭喜你等级达到40级，你已经成为一名合格的“黄金战士”
5	龙战士	0	100000	62	24500	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	恭喜你等级达到50级，你已经成为一名合格的“龙战士”
6	青龙战士	0	150000	79	31500	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	恭喜你等级达到60级，你已经成为一名合格的“青龙战士”
7	银龙战士	0	200000	106	42000	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	恭喜你等级达到70级，你已经成为一名合格的“银龙战士”
8	黄金龙战士	0	300000	124	49000	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	恭喜你等级达到80级，你已经成为一名合格的“黄金龙战士”
9	圣战士	0	400000	177	70000	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	恭喜你等级达到90级，你已经成为一名合格的“圣战士”
10	终极圣战士	0	500000	222	87500	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	恭喜你等级达到100级，你已经成为一名合格的“终极圣战士”
11	升阶资格证	1	100000	5	33600	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	3	拥有3件装备升阶到3级
12	升阶临时工	1	200000	7	44800	0	0	0	0	0	0	0	3	0	4	0	0	0	0	0	0	0	3	拥有3件装备升阶到4级
13	升阶研究员	1	300000	11	67200	0	0	0	0	0	0	0	3	0	5	0	0	0	0	0	0	0	3	拥有3件装备升阶到5级
14	升阶讲师	1	400000	13	78400	0	0	0	0	0	0	0	6	0	2	0	0	0	0	0	0	0	3	拥有6件装备升阶到2级
15	升阶指导员	1	500000	16	100800	0	0	0	0	0	0	0	6	0	3	0	0	0	0	0	0	0	3	拥有6件装备升阶到3级
16	升阶教导	1	600000	22	134400	0	0	0	0	0	0	0	6	0	4	0	0	0	0	0	0	0	3	拥有6件装备升阶到4级
17	升阶大师	1	700000	26	156800	0	0	0	0	0	0	0	6	0	5	0	0	0	0	0	0	0	3	拥有6件装备升阶到5级
18	升阶宗师	1	800000	37	224000	0	0	0	0	0	0	0	8	0	2	0	0	0	0	0	0	0	3	拥有8件装备升阶到2级
19	升阶大宗师	1	900000	47	280000	0	0	0	0	0	0	0	8	0	5	0	0	0	0	0	0	0	3	拥有8件装备升阶到5级
20	升星资格证	1	150000	8	42000	0	0	0	0	0	0	0	3	0	0	20	0	0	0	0	0	0	4	拥有3件装备升星到20级
21	升星临时工	1	250000	11	56000	0	0	0	0	0	0	0	3	0	0	30	0	0	0	0	0	0	4	拥有3件装备升星到30级
22	升星研究员	1	350000	17	84000	0	0	0	0	0	0	0	3	0	0	40	0	0	0	0	0	0	4	拥有3件装备升星到40级
23	升星讲师	1	450000	20	98000	0	0	0	0	0	0	0	3	0	0	50	0	0	0	0	0	0	4	拥有3件装备升星到50级
24	升星指导员	1	550000	25	126000	0	0	0	0	0	0	0	6	0	0	80	0	0	0	0	0	0	4	拥有6件装备升星到80级
25	升星教导	1	650000	34	168000	0	0	0	0	0	0	0	6	0	0	100	0	0	0	0	0	0	4	拥有6件装备升星到100级
26	升星大师	1	750000	40	196000	0	0	0	0	0	0	0	6	0	0	240	0	0	0	0	0	0	4	拥有6件装备升星到240级
27	升星宗师	1	850000	57	280000	0	0	0	0	0	0	0	8	0	0	120	0	0	0	0	0	0	4	拥有8件装备升星到120级
28	升星大宗师	1	950000	72	350000	0	0	0	0	0	0	0	8	0	0	240	0	0	0	0	0	0	4	拥有8件装备升星到240级
29	刻印达人	1	150000	8	39900	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	5	拥有4件附加1个刻印的装备
30	刻印专员	1	250000	11	53200	0	0	0	0	0	0	0	4	0	0	0	2	0	0	0	0	0	5	拥有4件附加2个刻印的装备
31	刻印助理	1	350000	17	79800	0	0	0	0	0	0	0	4	0	0	0	3	0	0	0	0	0	5	拥有4件附加3个刻印的装备
32	刻印分析师	1	450000	20	93100	0	0	0	0	0	0	0	6	0	0	0	1	0	0	0	0	0	5	拥有6件附加1个刻印的装备
33	刻印顾问	1	550000	25	119700	0	0	0	0	0	0	0	6	0	0	0	2	0	0	0	0	0	5	拥有6件附加2个刻印的装备
34	刻印主管	1	650000	34	159600	0	0	0	0	0	0	0	6	0	0	0	3	0	0	0	0	0	5	拥有6件附加3个刻印的装备
35	刻印经理	1	750000	40	186200	0	0	0	0	0	0	0	8	0	0	0	1	0	0	0	0	0	5	拥有8件附加1个刻印的装备
36	刻印代表	1	850000	57	266000	0	0	0	0	0	0	0	8	0	0	0	2	0	0	0	0	0	5	拥有8件附加2个刻印的装备
37	刻印代言人	1	950000	72	332500	0	0	0	0	0	0	0	8	0	0	0	3	0	0	0	0	0	5	拥有8件附加3个刻印的装备
38	腰缠万贯	0	30000	0	14700	0	0	0	0	0	5000000	0	0	0	0	0	0	0	0	0	0	0	6	拥有游戏币5000000
39	百万富豪	0	50000	0	19600	0	0	0	0	0	50000000	0	0	0	0	0	0	0	0	0	0	0	6	拥有游戏币50000000
40	富甲一方	0	80000	0	29400	0	0	0	0	0	500000000	0	0	0	0	0	0	0	0	0	0	0	6	拥有游戏币500000000
41	财大气粗	0	100000	0	34300	0	0	0	0	0	900000000	0	0	0	0	0	0	0	0	0	0	0	6	拥有游戏币900000000
42	挥金如土	0	120000	0	44100	0	0	0	0	0	120000000	0	0	0	0	0	0	0	0	0	0	0	6	拥有游戏币120000000
43	大富大贵	0	140000	0	58800	0	0	0	0	0	140000000	0	0	0	0	0	0	0	0	0	0	0	6	拥有游戏币140000000
44	富可敌国	0	160000	0	68600	0	0	0	0	0	160000000	0	0	0	0	0	0	0	0	0	0	0	6	拥有游戏币160000000
45	富甲天下	0	180000	0	98000	0	0	0	0	0	180000000	0	0	0	0	0	0	0	0	0	0	0	6	拥有游戏币180000000
