//称号ID	称号名	增加血量	增加攻击	增加防御	消耗荣耀点	消耗荣耀勋章数	荣耀勋章道具ID	ICON编号	描述	称号类型	称号背景图
1	吸血鬼猎人	36	6	6	0	0	190655	190655	就吸血鬼吗，狼人，恶魔不来几只吗	3	ch03
2	猎魔人皇	109	18	18	1000000	0	190655	190655	兼职抓捕一切恶魔生物	3	ch03
3	暗夜之王	218	36	36	2000000	0	190655	190655	暗夜之中，无人挡我	3	ch03
4	黑暗主宰	364	61	61	3000000	0	190655	190655	黑暗的世界，我说了算	3	ch03
5	永恒神王	546	91	91	4000000	0	190655	190655	永恒不死，真的好吗	3	ch03
6	叫我土豪哥	764	127	127	5000000	100	190655	190655	土豪哥的真谛，足以彰显出任何土豪的光彩	3	ch01
7	高大上	1019	170	170	6000000	100	190656	190656	高端大气上档次，低调奢华内涵	3	ch01
8	宅男女神	1310	218	218	7000000	100	190657	190657	宅男心中最高贵的女神才是游戏中最靓丽的风景线	3	ch01
9	姐只爱帅哥	1638	273	273	8000000	100	190658	190658	土鳖犀利哥神马的不高过来，姐只爱帅哥	3	ch01
10	熊孩子	2001	334	334	9000000	100	190659	190659	可恨又可爱的熊孩子	3	ch01
11	暮光之城	2402	400	400	10000000	100	190660	190660	属于我的暮光之城，千秋万载不可改变	3	ch01
12	专注打酱油	2838	473	473	11000000	100	190661	190661	你们冲我先撤，我的专业，我的酱油	3	ch01
13	马到成功	3311	552	552	12000000	100	190662	190662	一马当先，马到成功，马年大吉	3	ch01
14	浪漫情人	3821	637	637	13000000	100	190663	190663	祝天下有情人终成眷属	3	ch01
15	单身情歌	4367	728	728	14000000	100	190664	190664	一时的孤单不代表一辈子的孤单，我在这里等待你的回来	3	ch01
16	爸爸去哪里	4949	825	825	15000000	100	190665	190665	爸比，你宽厚的肩膀是我永远的港湾，我爱你爸比	3	ch01
17	挥金如土	5568	928	928	16000000	100	190666	190666	金钱只是我的点缀，个性才是最大的财富	3	ch01
18	纸醉金迷	6223	1037	1037	17000000	100	190667	190667	什么样的生活才是我要的生活，你们永远不懂哥	3	ch01
19	富贵逼人	6914	1152	1152	18000000	100	190668	190668	运气也是实力的一部分，难道我是福星转世	3	ch02
20	没有不可能	7642	1274	1274	19000000	100	190669	190669	实力；运气；我不知道，我只知道没有我不能完成的事	3	ch02
21	中国好人	8406	1401	1401	20000000	100	190670	190670	人人为我，我为人人	3	ch02
22	为爱走天涯	9206	1534	1534	21000000	100	190671	190671	爱美人不爱江山，没有了爱，人生已经没有颜色	3	ch02
23	吸血鬼猎人	36	6	6	0	0	190655	190655	就吸血鬼吗，狼人，恶魔不来几只吗	2	ch03
24	猎魔人皇	109	18	18	1000000	0	190655	190655	兼职抓捕一切恶魔生物	2	ch03
25	暗夜之王	218	36	36	2000000	0	190655	190655	暗夜之中，无人挡我	2	ch03
26	黑暗主宰	364	61	61	3000000	0	190655	190655	黑暗的世界，我说了算	2	ch03
27	永恒神王	546	91	91	4000000	0	190655	190655	永恒不死，真的好吗	2	ch03
28	叫我土豪哥	764	127	127	5000000	100	190655	190655	土豪哥的真谛，足以彰显出任何土豪的光彩	2	ch01
29	高大上	1019	170	170	6000000	100	190656	190656	高端大气上档次，低调奢华内涵	2	ch01
30	宅男女神	1310	218	218	7000000	100	190657	190657	宅男心中最高贵的女神才是游戏中最靓丽的风景线	2	ch01
31	姐只爱帅哥	1638	273	273	8000000	100	190658	190658	土鳖犀利哥神马的不高过来，姐只爱帅哥	2	ch01
32	熊孩子	2001	334	334	9000000	100	190659	190659	可恨又可爱的熊孩子	2	ch01
33	暮光之城	2402	400	400	10000000	100	190660	190660	属于我的暮光之城，千秋万载不可改变	2	ch01
34	专注打酱油	2838	473	473	11000000	100	190661	190661	你们冲我先撤，我的专业，我的酱油	2	ch01
35	马到成功	3311	552	552	12000000	100	190662	190662	一马当先，马到成功，马年大吉	2	ch01
36	浪漫情人	3821	637	637	13000000	100	190663	190663	祝天下有情人终成眷属	2	ch01
37	单身情歌	4367	728	728	14000000	100	190664	190664	一时的孤单不代表一辈子的孤单，我在这里等待你的回来	2	ch01
38	爸爸去哪里	4949	825	825	15000000	100	190665	190665	爸比，你宽厚的肩膀是我永远的港湾，我爱你爸比	2	ch01
39	挥金如土	5568	928	928	16000000	100	190666	190666	金钱只是我的点缀，个性才是最大的财富	2	ch01
40	纸醉金迷	6223	1037	1037	17000000	100	190667	190667	什么样的生活才是我要的生活，你们永远不懂哥	2	ch01
