//等级	血量值	内力值	真气值（体力值）	杀气值	外功	内功	外防	内防	身法	冲穴点	攻击功力点	防御功力点	所需经验
·													
150													
													
1	169	106	2	1	20	20	20	20	2	1	0	0	100
2	188	112	4	1	25	25	25	25	4	1	0	0	150
3	207	118	6	2	30	30	30	30	6	1	0	0	200
4	226	124	8	2	35	35	35	35	8	1	0	0	250
5	245	130	10	2	40	40	40	40	10	1	0	0	300
6	264	136	12	3	45	45	45	45	12	1	0	0	350
7	283	142	14	3	50	50	50	50	14	1	0	0	400
8	302	148	16	3	55	55	55	55	16	1	0	0	450
9	321	154	18	4	60	60	60	60	18	1	0	0	500
10	340	160	20	4	65	65	65	65	20	1	5	5	765
11	359	166	22	4	70	70	70	70	22	1	5	5	1173
12	378	172	24	5	70	70	70	70	24	1	5	5	1691
13	397	178	26	5	70	70	70	70	26	1	5	5	2394
14	416	184	28	5	70	70	70	70	28	1	5	5	3408
15	435	190	30	6	70	70	70	70	30	1	5	5	4725
16	454	196	32	6	70	70	70	70	32	1	5	5	6360
17	473	202	34	6	70	70	70	70	34	1	5	5	8382
18	492	208	36	7	70	70	70	70	36	1	5	5	11174
19	511	214	38	7	70	70	70	70	38	1	5	5	14555
20	530	220	40	7	70	70	70	70	40	1	5	5	18675
21	549	226	42	8	70	70	70	70	42	1	5	5	23520
22	568	232	44	8	70	70	70	70	44	1	5	5	29256
23	587	238	46	8	70	70	70	70	46	1	5	5	35967
24	606	244	48	9	70	70	70	70	48	1	5	5	44454
25	625	250	50	9	70	70	70	70	50	1	5	5	54270
26	644	256	52	9	70	70	70	70	52	1	5	5	65664
27	663	262	54	10	70	70	70	70	54	1	5	5	78617
28	682	268	56	10	70	70	70	70	56	1	5	5	94537
29	701	274	58	10	70	70	70	70	58	1	5	5	112585
30	720	280	60	11	70	70	70	70	60	1	5	5	133095
31	739	286	62	11	70	70	70	70	62	1	5	5	156045
32	758	292	64	11	70	70	70	70	64	1	5	5	181900
33	777	298	66	12	70	70	70	70	66	1	5	5	210632
34	796	304	68	12	70	70	70	70	68	1	5	5	244680
35	815	310	70	12	70	70	70	70	70	1	5	5	282448
36	834	316	72	13	70	70	70	70	72	1	5	5	324280
37	853	322	74	13	70	70	70	70	74	1	5	5	370548
38	872	328	76	13	70	70	70	70	76	1	5	5	424203
39	891	334	78	14	70	70	70	70	78	1	5	5	483246
40	910	340	80	14	70	70	70	70	80	1	5	5	547800
41	929	346	82	14	70	70	70	70	82	1	5	5	618648
42	948	352	84	15	70	70	70	70	84	1	5	5	695764
43	967	358	86	15	70	70	70	70	86	1	5	5	779625
44	986	364	88	15	70	70	70	70	88	1	5	5	875160
45	1005	370	90	16	70	70	70	70	90	1	5	5	978696
46	1024	376	92	16	70	70	70	70	92	1	5	5	1090800
47	1043	382	94	16	70	70	70	70	94	1	5	5	1212075
48	1062	388	96	17	70	70	70	70	96	1	5	5	1348430
49	1081	394	98	17	70	70	70	70	98	1	5	5	1495480
50	1100	400	100	17	70	70	70	70	100	1	5	5	1653930
51	1119	406	100	18	70	70	70	70	102	1	5	5	1823995
52	1138	412	100	18	70	70	70	70	104	1	5	5	2006400
53	1157	418	100	18	70	70	70	70	106	1	5	5	2201625
54	1176	424	100	19	70	70	70	70	108	1	5	5	2418320
55	1195	430	100	19	70	70	70	70	110	1	5	5	2650331
56	1214	436	100	19	70	70	70	70	112	1	5	5	2897616
57	1233	442	100	20	70	70	70	70	114	1	5	5	3161361
58	1252	448	100	20	70	70	70	70	116	1	5	5	3452284
59	1271	454	100	20	70	70	70	70	118	1	5	5	3761921
60	1290	460	100	21	70	70	70	70	120	1	5	5	4090920
61	1309	466	100	21	70	70	70	70	122	1	5	5	4439929
62	1328	472	100	21	70	70	70	70	124	1	5	5	4810374
63	1347	478	100	22	70	70	70	70	126	1	5	5	5202574
64	1366	484	100	22	70	70	70	70	128	1	5	5	5631228
65	1385	490	100	22	70	70	70	70	130	1	5	5	6084750
66	1404	496	100	23	70	70	70	70	132	1	5	5	6563920
67	1423	502	100	23	70	70	70	70	134	1	5	5	7069518
68	1442	508	100	23	70	70	70	70	136	1	5	5	7619105
69	1461	514	100	24	70	70	70	70	138	1	5	5	8199126
70	1480	520	100	24	70	70	70	70	140	1	5	5	8810010
71	1499	526	100	24	70	70	70	70	142	1	5	5	9452639
72	1518	532	100	25	70	70	70	70	144	1	5	5	10128941
73	1537	538	100	25	70	70	70	70	146	1	5	5	10839345
74	1556	544	100	25	70	70	70	70	148	1	5	5	11606352
75	1575	550	100	26	70	70	70	70	150	1	5	5	12411630
76	1594	556	100	26	70	70	70	70	152	1	5	5	13256796
77	1613	562	100	26	70	70	70	70	154	1	5	5	14142333
78	1632	568	100	27	70	70	70	70	156	1	5	5	15094512
79	1651	574	100	27	70	70	70	70	158	1	5	5	16091707
80	1670	580	100	27	70	70	70	70	160	1	5	5	17135715
81	1689	586	100	28	70	70	70	70	162	1	5	5	18227736
82	1708	592	100	28	70	70	70	70	164	1	5	5	19368970
83	1727	598	100	28	70	70	70	70	166	1	5	5	20560617
84	1746	604	100	29	70	70	70	70	168	1	5	5	21836050
85	1765	610	100	29	70	70	70	70	170	1	5	5	23166582
86	1784	616	100	29	70	70	70	70	172	1	5	5	24554976
87	1803	622	100	30	70	70	70	70	174	1	5	5	26002609
88	1822	628	100	30	70	70	70	70	176	1	5	5	27546219
89	1841	634	100	30	70	70	70	70	178	1	5	5	29154260
90	1860	640	100	31	70	70	70	70	180	1	5	5	30829005
91	1879	646	100	31	70	70	70	70	182	1	5	5	32571966
92	1898	652	100	31	70	70	70	70	184	1	5	5	34384655
93	1917	658	100	32	70	70	70	70	186	1	5	5	36269453
94	1936	664	100	32	70	70	70	70	188	1	5	5	38271024
95	1955	670	100	32	70	70	70	70	190	1	5	5	40350616
96	1974	676	100	33	70	70	70	70	192	1	5	5	42510808
97	1993	682	100	33	70	70	70	70	194	1	5	5	44753310
98	2012	688	100	33	70	70	70	70	196	1	5	5	47128670
99	2031	694	100	34	70	70	70	70	198	1	5	5	49592780
100	2050	700	100	34	70	70	70	70	200	2	5	5	52148445
101	2069	706	100	34	70	70	70	70	202	2	5	5	54797525
102	2088	712	100	35	70	70	70	70	204	2	5	5	57542925
103	2107	718	100	35	70	70	70	70	206	2	5	5	60386565
104	2126	724	100	35	70	70	70	70	208	2	5	5	63387648
105	2145	730	100	36	70	70	70	70	210	2	5	5	66495276
106	2164	736	100	36	70	70	70	70	212	2	6	6	69711528
107	2183	742	100	36	70	70	70	70	214	2	6	6	73037334
108	2202	748	100	37	70	70	70	70	216	2	6	6	76542415
109	2221	754	100	37	70	70	70	70	218	2	6	6	80167214
110	2240	760	100	37	70	70	70	70	220	2	6	6	83912760
111	2259	766	100	38	70	70	70	70	222	2	6	6	87783705
112	2278	772	100	38	70	70	70	70	224	2	6	6	91782359
113	2297	778	100	38	70	70	70	70	226	2	6	6	95909751
114	2316	784	100	39	70	70	70	70	228	2	6	6	100246304
115	2335	790	100	39	70	70	70	70	230	2	6	6	104722859
116	2354	796	100	39	70	70	70	70	232	2	6	6	109341900
117	2373	802	100	40	70	70	70	70	234	2	6	6	114104538
118	2392	808	100	40	70	70	70	70	236	2	6	6	119102632
119	2411	814	100	40	70	70	70	70	238	2	6	6	124255082
120	2430	820	100	41	70	70	70	70	240	2	6	6	129565925
121	2449	826	100	41	70	70	70	70	242	2	6	6	135037825
122	2468	832	100	41	70	70	70	70	244	2	6	6	140674939
123	2487	838	100	42	70	70	70	70	246	2	6	6	146480003
124	2506	844	100	42	70	70	70	70	248	2	6	6	152554686
125	2525	850	100	42	70	70	70	70	250	2	6	6	158809182
126	2544	856	100	43	70	70	70	70	252	2	6	6	165246416
127	2563	862	100	43	70	70	70	70	254	2	6	6	171869313
128	2582	868	100	43	70	70	70	70	256	2	6	6	178791260
129	2601	874	100	44	70	70	70	70	258	2	6	6	185909910
130	2620	880	100	44	70	70	70	70	260	2	6	6	193231695
131	2639	886	100	44	70	70	70	70	262	2	6	6	200758092
132	2658	892	100	45	70	70	70	70	264	2	6	6	208493968
133	2677	898	100	45	70	70	70	70	266	2	6	6	216442521
134	2696	904	100	45	70	70	70	70	268	2	6	6	224731800
135	2715	910	100	46	70	70	70	70	270	2	6	6	233247609
136	2734	916	100	46	70	70	70	70	272	2	6	6	241993350
137	2753	922	100	46	70	70	70	70	274	2	6	6	250974306
138	2772	928	100	47	70	70	70	70	276	2	6	6	260328421
139	2791	934	100	47	70	70	70	70	278	2	6	6	269930635
140	2810	940	100	47	70	70	70	70	280	2	6	6	279784560
141	2829	946	100	48	70	70	70	70	282	2	6	6	289895801
142	2848	952	100	48	70	70	70	70	284	2	6	6	300268054
143	2867	958	100	48	70	70	70	70	286	2	6	6	310905015
144	2886	964	100	49	70	70	70	70	288	2	6	6	321967398
145	2905	970	100	49	70	70	70	70	290	2	6	6	333308437
146	2924	976	100	49	70	70	70	70	292	2	6	6	344936232
147	2943	982	100	50	70	70	70	70	294	2	6	6	356852620
148	2962	988	100	50	70	70	70	70	296	0	6	6	369231925
149	2981	994	100	50	70	70	70	70	298	0	6	6	381916800
150	3000	1000	100	50	70	70	70	70	300	0	6	6	0
