编号	名称	类型	门派	最大等级	难度基数	难度系数	持续时间基数	持续时间系数	跳跃格数基数	移动速度提升基数	移动速度提升系数	增加身法基数	增加身法系数	降低公共冷却时间基数	降低公共冷却时间系数	降低个体冷却时间基数	降低个体冷却时间系数	增加绝对躲闪基数	增加绝对躲闪系数	消耗生命值基数	消耗生命值系数	消耗内力值基数	消耗内力值系数	消耗真气值基数	消耗真气值系数	冷却时间	技能说明
1	一苇渡江	1	0	10	1	40000	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1000	按下Shift键的同时点击鼠标左键可跳跃，跳跃的距离随着级别的提高而变得更远
2	踏雪无痕	2	0	100	50	500000	10000	500	0	2000	130	0	0	0	0	0	0	0	0	0	0	0	0	10	0	1000	
3	轻身术	3	0	100	2	1050	10000	500	0	0	0	50	95000	0	0	0	0	0	0	0	0	0	0	15	0	1000	
4	青门引	4	0	50	2	2500	10000	500	0	0	0	0	0	500	90	0	0	0	0	0	0	0	0	15	0	1000	
5	凌云决	5	0	50	2	2500	10000	500	0	0	0	0	0	0	0	500	90	0	0	0	0	0	0	15	0	1000	
6	达摩心经	6	0	50	1	1000	10000	1000	0	0	0	0	0	0	0	0	0	500	40	0	0	0	0	40	0	1000	
7	雪泥鸿爪	1	1	10	1	40000	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1000	按下Shift键的同时点击鼠标左键可跳跃，跳跃的距离随着级别的提高而变得更远
8	踏雪飞鸿	2	1	100	50	500000	10000	500	0	2000	130	0	0	0	0	0	0	0	0	0	0	0	0	10	0	1000	
9	花飞蝶舞	3	1	100	2	1050	10000	500	0	0	0	50	95000	0	0	0	0	0	0	0	0	0	0	15	0	1000	
10	芳草渡	4	1	50	2	2500	10000	500	0	0	0	0	0	500	90	0	0	0	0	0	0	0	0	15	0	1000	
11	清风拂桂	5	1	50	2	2500	10000	500	0	0	0	0	0	0	0	500	90	0	0	0	0	0	0	15	0	1000	
12	蜻蜓点水	6	1	50	1	1000	10000	1000	0	0	0	0	0	0	0	0	0	500	40	0	0	0	0	40	0	1000	
13	梯云纵	1	2	10	1	40000	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1000	按下Shift键的同时点击鼠标左键可跳跃，跳跃的距离随着级别的提高而变得更远
14	八卦步	2	2	100	50	500000	10000	500	0	2000	130	0	0	0	0	0	0	0	0	0	0	0	0	10	0	1000	
15	鹤冲天 	3	2	100	2	1050	10000	500	0	0	0	50	95000	0	0	0	0	0	0	0	0	0	0	15	0	1000	
16	凌虚飘行	4	2	50	2	2500	10000	500	0	0	0	0	0	500	90	0	0	0	0	0	0	0	0	15	0	1000	
17	清风拂云	5	2	50	2	2500	10000	500	0	0	0	0	0	0	0	500	90	0	0	0	0	0	0	15	0	1000	
18	天罡北斗	6	2	50	1	1000	10000	1000	0	0	0	0	0	0	0	0	0	500	40	0	0	0	0	40	0	1000	
19	天马行空	1	3	10	1	40000	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1000	按下Shift键的同时点击鼠标左键可跳跃，跳跃的距离随着级别的提高而变得更远
20	苍龙行水	2	3	100	50	500000	10000	500	0	2000	130	0	0	0	0	0	0	0	0	0	0	0	0	10	0	1000	
21	望远行	3	3	100	2	1050	10000	500	0	0	0	50	95000	0	0	0	0	0	0	0	0	0	0	15	0	1000	
22	怒火狂风	4	3	50	2	2500	10000	500	0	0	0	0	0	500	90	0	0	0	0	0	0	0	0	15	0	1000	
23	狂风扫叶	5	3	50	2	2500	10000	500	0	0	0	0	0	0	0	500	90	0	0	0	0	0	0	15	0	1000	
24	乾坤大挪移	6	3	50	1	1000	10000	1000	0	0	0	0	0	0	0	0	0	500	40	0	0	0	0	40	0	1000	
25	凌波微步	1	4	10	1	40000	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1000	按下Shift键的同时点击鼠标左键可跳跃，跳跃的距离随着级别的提高而变得更远
26	神行百变	2	4	100	50	500000	10000	500	0	2000	130	0	0	0	0	0	0	0	0	0	0	0	0	10	0	1000	
27	清风拂云	3	4	100	2	1050	10000	500	0	0	0	50	95000	0	0	0	0	0	0	0	0	0	0	15	0	1000	
28	九泉魂落	4	4	50	2	2500	10000	500	0	0	0	0	0	500	90	0	0	0	0	0	0	0	0	15	0	1000	
29	北溟逍遥游	5	4	50	2	2500	10000	500	0	0	0	0	0	0	0	500	90	0	0	0	0	0	0	15	0	1000	
30	斗转星移	6	4	50	1	1000	10000	1000	0	0	0	0	0	0	0	0	0	500	40	0	0	0	0	40	0	1000	
