//ID	属性类型ID	属性值	属性类型ID	属性值	属性类型ID	属性值
110101	2	45	0	0	0	0
110102	2	67	0	0	0	0
110103	2	128	0	0	0	0
110104	2	209	0	0	0	0
110105	2	311	0	0	0	0
110106	2	452	0	0	0	0
110107	2	613	0	0	0	0
110108	2	794	0	0	0	0
110109	2	996	0	0	0	0
110110	2	1237	0	0	0	0
110201	2	45	0	0	0	0
110202	2	67	0	0	0	0
110203	2	128	0	0	0	0
110204	2	209	0	0	0	0
110205	2	311	0	0	0	0
110206	2	452	0	0	0	0
110207	2	613	0	0	0	0
110208	2	794	0	0	0	0
110209	2	996	0	0	0	0
110210	2	1237	0	0	0	0
110301	2	45	0	0	0	0
110302	2	67	0	0	0	0
110303	2	128	0	0	0	0
110304	2	209	0	0	0	0
110305	2	311	0	0	0	0
110306	2	452	0	0	0	0
110307	2	613	0	0	0	0
110308	2	794	0	0	0	0
110309	2	996	0	0	0	0
110310	2	1237	0	0	0	0
110401	0	497	0	0	0	0
110402	0	791	0	0	0	0
110403	0	1366	0	0	0	0
110404	0	2240	0	0	0	0
110405	0	3394	0	0	0	0
110406	0	4828	0	0	0	0
110407	0	6542	0	0	0	0
110408	0	8537	0	0	0	0
110409	0	10831	0	0	0	0
110410	0	13405	0	0	0	0
110501	3	138	0	0	0	0
110502	3	222	0	0	0	0
110503	3	386	0	0	0	0
110504	3	630	0	0	0	0
110505	3	954	0	0	0	0
110506	3	1358	0	0	0	0
110507	3	1842	0	0	0	0
110508	3	2406	0	0	0	0
110509	3	3050	0	0	0	0
110510	3	3774	0	0	0	0
110601	0	497	0	0	0	0
110602	0	791	0	0	0	0
110603	0	1366	0	0	0	0
110604	0	2240	0	0	0	0
110605	0	3394	0	0	0	0
110606	0	4828	0	0	0	0
110607	0	6542	0	0	0	0
110608	0	8537	0	0	0	0
110609	0	10831	0	0	0	0
110610	0	13405	0	0	0	0
110701	5	59	0	0	0	0
110702	5	100	0	0	0	0
110703	5	162	0	0	0	0
110704	5	264	0	0	0	0
110705	5	405	0	0	0	0
110706	5	567	0	0	0	0
110707	5	769	0	0	0	0
110708	5	1011	0	0	0	0
110709	5	1292	0	0	0	0
110710	5	1594	0	0	0	0
110801	4	59	0	0	0	0
110802	4	100	0	0	0	0
110803	4	162	0	0	0	0
110804	4	264	0	0	0	0
110805	4	405	0	0	0	0
110806	4	567	0	0	0	0
110807	4	769	0	0	0	0
110808	4	1011	0	0	0	0
110809	4	1292	0	0	0	0
110810	4	1594	0	0	0	0
//恶魔城狼人	0	0	0	0	0	0
120101	2	45	0	0	0	0
