//ID	生命	内力	体力	攻击	防御	暴击	闪避	移动速度	攻击速度	伤害减免	绝对伤害	防御无视	暴击倍数
//【生命宝石】--5004001-5004100													
5004001	20	0	0	0	0	0	0	0	0	0	0	0	0
5004002	40	0	0	0	0	0	0	0	0	0	0	0	0
5004003	60	0	0	0	0	0	0	0	0	0	0	0	0
5004004	80	0	0	0	0	0	0	0	0	0	0	0	0
5004005	100	0	0	0	0	0	0	0	0	0	0	0	0
5004006	120	0	0	0	0	0	0	0	0	0	0	0	0
5004007	140	0	0	0	0	0	0	0	0	0	0	0	0
5004008	160	0	0	0	0	0	0	0	0	0	0	0	0
5004009	180	0	0	0	0	0	0	0	0	0	0	0	0
5004010	200	0	0	0	0	0	0	0	0	0	0	0	0
5004011	220	0	0	0	0	0	0	0	0	0	0	0	0
5004012	240	0	0	0	0	0	0	0	0	0	0	0	0
5004013	260	0	0	0	0	0	0	0	0	0	0	0	0
5004014	280	0	0	0	0	0	0	0	0	0	0	0	0
5004015	300	0	0	0	0	0	0	0	0	0	0	0	0
5004016	320	0	0	0	0	0	0	0	0	0	0	0	0
5004017	340	0	0	0	0	0	0	0	0	0	0	0	0
5004018	360	0	0	0	0	0	0	0	0	0	0	0	0
5004019	380	0	0	0	0	0	0	0	0	0	0	0	0
5004020	400	0	0	0	0	0	0	0	0	0	0	0	0
//【内力宝石】--5004101-5004200													
5004101	0	20	0	0	0	0	0	0	0	0	0	0	0
5004102	0	40	0	0	0	0	0	0	0	0	0	0	0
5004103	0	60	0	0	0	0	0	0	0	0	0	0	0
5004104	0	80	0	0	0	0	0	0	0	0	0	0	0
5004105	0	100	0	0	0	0	0	0	0	0	0	0	0
5004106	0	120	0	0	0	0	0	0	0	0	0	0	0
5004107	0	140	0	0	0	0	0	0	0	0	0	0	0
5004108	0	160	0	0	0	0	0	0	0	0	0	0	0
5004109	0	180	0	0	0	0	0	0	0	0	0	0	0
5004110	0	200	0	0	0	0	0	0	0	0	0	0	0
5004111	0	220	0	0	0	0	0	0	0	0	0	0	0
5004112	0	240	0	0	0	0	0	0	0	0	0	0	0
5004113	0	260	0	0	0	0	0	0	0	0	0	0	0
5004114	0	280	0	0	0	0	0	0	0	0	0	0	0
5004115	0	300	0	0	0	0	0	0	0	0	0	0	0
5004116	0	320	0	0	0	0	0	0	0	0	0	0	0
5004117	0	340	0	0	0	0	0	0	0	0	0	0	0
5004118	0	360	0	0	0	0	0	0	0	0	0	0	0
5004119	0	380	0	0	0	0	0	0	0	0	0	0	0
5004120	0	400	0	0	0	0	0	0	0	0	0	0	0
//【体力宝石】--5004201-5004300													
5004201	0	0	20	0	0	0	0	0	0	0	0	0	0
5004202	0	0	40	0	0	0	0	0	0	0	0	0	0
5004203	0	0	60	0	0	0	0	0	0	0	0	0	0
5004204	0	0	80	0	0	0	0	0	0	0	0	0	0
5004205	0	0	100	0	0	0	0	0	0	0	0	0	0
5004206	0	0	120	0	0	0	0	0	0	0	0	0	0
5004207	0	0	140	0	0	0	0	0	0	0	0	0	0
5004208	0	0	160	0	0	0	0	0	0	0	0	0	0
5004209	0	0	180	0	0	0	0	0	0	0	0	0	0
5004210	0	0	200	0	0	0	0	0	0	0	0	0	0
5004211	0	0	220	0	0	0	0	0	0	0	0	0	0
5004212	0	0	240	0	0	0	0	0	0	0	0	0	0
5004213	0	0	260	0	0	0	0	0	0	0	0	0	0
5004214	0	0	280	0	0	0	0	0	0	0	0	0	0
5004215	0	0	300	0	0	0	0	0	0	0	0	0	0
5004216	0	0	320	0	0	0	0	0	0	0	0	0	0
5004217	0	0	340	0	0	0	0	0	0	0	0	0	0
5004218	0	0	360	0	0	0	0	0	0	0	0	0	0
5004219	0	0	380	0	0	0	0	0	0	0	0	0	0
5004220	0	0	400	0	0	0	0	0	0	0	0	0	0
//【攻击宝石】--5004301-5004400													
5004301	0	0	0	20	0	0	0	0	0	0	0	0	0
5004302	0	0	0	40	0	0	0	0	0	0	0	0	0
5004303	0	0	0	60	0	0	0	0	0	0	0	0	0
5004304	0	0	0	80	0	0	0	0	0	0	0	0	0
5004305	0	0	0	100	0	0	0	0	0	0	0	0	0
5004306	0	0	0	120	0	0	0	0	0	0	0	0	0
5004307	0	0	0	140	0	0	0	0	0	0	0	0	0
5004308	0	0	0	160	0	0	0	0	0	0	0	0	0
5004309	0	0	0	180	0	0	0	0	0	0	0	0	0
5004310	0	0	0	200	0	0	0	0	0	0	0	0	0
5004311	0	0	0	220	0	0	0	0	0	0	0	0	0
5004312	0	0	0	240	0	0	0	0	0	0	0	0	0
5004313	0	0	0	260	0	0	0	0	0	0	0	0	0
5004314	0	0	0	280	0	0	0	0	0	0	0	0	0
5004315	0	0	0	300	0	0	0	0	0	0	0	0	0
5004316	0	0	0	320	0	0	0	0	0	0	0	0	0
5004317	0	0	0	340	0	0	0	0	0	0	0	0	0
5004318	0	0	0	360	0	0	0	0	0	0	0	0	0
5004319	0	0	0	380	0	0	0	0	0	0	0	0	0
5004320	0	0	0	400	0	0	0	0	0	0	0	0	0
//【防御宝石】--5004401-5004500													
5004401	0	0	0	0	20	0	0	0	0	0	0	0	0
5004402	0	0	0	0	40	0	0	0	0	0	0	0	0
5004403	0	0	0	0	60	0	0	0	0	0	0	0	0
5004404	0	0	0	0	80	0	0	0	0	0	0	0	0
5004405	0	0	0	0	100	0	0	0	0	0	0	0	0
5004406	0	0	0	0	120	0	0	0	0	0	0	0	0
5004407	0	0	0	0	140	0	0	0	0	0	0	0	0
5004408	0	0	0	0	160	0	0	0	0	0	0	0	0
5004409	0	0	0	0	180	0	0	0	0	0	0	0	0
5004410	0	0	0	0	200	0	0	0	0	0	0	0	0
5004411	0	0	0	0	220	0	0	0	0	0	0	0	0
5004412	0	0	0	0	240	0	0	0	0	0	0	0	0
5004413	0	0	0	0	260	0	0	0	0	0	0	0	0
5004414	0	0	0	0	280	0	0	0	0	0	0	0	0
5004415	0	0	0	0	300	0	0	0	0	0	0	0	0
5004416	0	0	0	0	320	0	0	0	0	0	0	0	0
5004417	0	0	0	0	340	0	0	0	0	0	0	0	0
5004418	0	0	0	0	360	0	0	0	0	0	0	0	0
5004419	0	0	0	0	380	0	0	0	0	0	0	0	0
5004420	0	0	0	0	400	0	0	0	0	0	0	0	0
//【暴击宝石】--5004501-5004600													
5004501	0	0	0	0	0	20	0	0	0	0	0	0	0
5004502	0	0	0	0	0	40	0	0	0	0	0	0	0
5004503	0	0	0	0	0	60	0	0	0	0	0	0	0
5004504	0	0	0	0	0	80	0	0	0	0	0	0	0
5004505	0	0	0	0	0	100	0	0	0	0	0	0	0
5004506	0	0	0	0	0	120	0	0	0	0	0	0	0
5004507	0	0	0	0	0	140	0	0	0	0	0	0	0
5004508	0	0	0	0	0	160	0	0	0	0	0	0	0
5004509	0	0	0	0	0	180	0	0	0	0	0	0	0
5004510	0	0	0	0	0	200	0	0	0	0	0	0	0
5004511	0	0	0	0	0	220	0	0	0	0	0	0	0
5004512	0	0	0	0	0	240	0	0	0	0	0	0	0
5004513	0	0	0	0	0	260	0	0	0	0	0	0	0
5004514	0	0	0	0	0	280	0	0	0	0	0	0	0
5004515	0	0	0	0	0	300	0	0	0	0	0	0	0
5004516	0	0	0	0	0	320	0	0	0	0	0	0	0
5004517	0	0	0	0	0	340	0	0	0	0	0	0	0
5004518	0	0	0	0	0	360	0	0	0	0	0	0	0
5004519	0	0	0	0	0	380	0	0	0	0	0	0	0
5004520	0	0	0	0	0	400	0	0	0	0	0	0	0
//【闪避宝石】--5004601-5004700													
5004601	0	0	0	0	0	0	20	0	0	0	0	0	0
5004602	0	0	0	0	0	0	40	0	0	0	0	0	0
5004603	0	0	0	0	0	0	60	0	0	0	0	0	0
5004604	0	0	0	0	0	0	80	0	0	0	0	0	0
