//装备标示（品质*100 + 星数）	//装备品质（颜色）	装备星数	消耗金钱类型	消耗金钱数量	分解获得普通材料ID	分解获得普通材料数量	分解获得普通材料成功率	分解获特殊材料ID	分解获特殊材料数量	分解获特殊材料成功率
100	1	0	1	0	4005001	1	10000	4003001	0	0
101	1	1	1	0	4005001	1	10000	4003001	0	0
102	1	2	1	0	4005001	1	10000	4003001	0	0
103	1	3	1	0	4005001	1	10000	4003001	0	0
104	1	4	1	0	4005001	1	10000	4003001	0	0
105	1	5	1	0	4005001	1	10000	4003001	0	0
106	1	6	1	0	4005001	1	10000	4003001	1	10000
107	1	7	1	0	4005001	1	10000	4003001	2	10000
108	1	8	1	0	4005001	1	10000	4003001	3	10000
109	1	9	1	0	4005001	1	10000	4003001	4	10000
110	1	10	1	0	4005001	1	10000	4003001	5	10000
111	1	11	1	0	4005001	1	10000	4003001	6	10000
112	1	12	1	0	4005001	1	10000	4003001	7	10000
200	2	0	1	0	4005001	1	10000	4003001	0	0
201	2	1	1	0	4005001	1	10000	4003001	0	0
202	2	2	1	0	4005001	1	10000	4003001	0	0
203	2	3	1	0	4005001	1	10000	4003001	0	0
204	2	4	1	0	4005001	1	10000	4003001	0	0
205	2	5	1	0	4005001	1	10000	4003001	0	0
206	2	6	1	0	4005001	1	10000	4003001	1	10000
207	2	7	1	0	4005001	1	10000	4003001	2	10000
208	2	8	1	0	4005001	1	10000	4003001	3	10000
209	2	9	1	0	4005001	1	10000	4003001	4	10000
210	2	10	1	0	4005001	1	10000	4003001	5	10000
211	2	11	1	0	4005001	1	10000	4003001	6	10000
212	2	12	1	0	4005001	1	10000	4003001	7	10000
300	3	0	1	0	4005001	1	10000	4003001	0	0
301	3	1	1	0	4005001	1	10000	4003001	0	0
302	3	2	1	0	4005001	1	10000	4003001	0	0
303	3	3	1	0	4005001	1	10000	4003001	0	0
304	3	4	1	0	4005001	1	10000	4003001	0	0
305	3	5	1	0	4005001	1	10000	4003001	0	0
306	3	6	1	0	4005001	1	10000	4003001	1	10000
307	3	7	1	0	4005001	1	10000	4003001	2	10000
308	3	8	1	0	4005001	1	10000	4003001	3	10000
309	3	9	1	0	4005001	1	10000	4003001	4	10000
310	3	10	1	0	4005001	1	10000	4003001	5	10000
311	3	11	1	0	4005001	1	10000	4003001	6	10000
312	3	12	1	0	4005001	1	10000	4003001	7	10000
400	4	0	1	0	4005001	1	10000	4003001	0	0
401	4	1	1	0	4005001	1	10000	4003001	0	0
402	4	2	1	0	4005001	1	10000	4003001	0	0
403	4	3	1	0	4005001	1	10000	4003001	0	0
404	4	4	1	0	4005001	1	10000	4003001	0	0
405	4	5	1	0	4005001	1	10000	4003001	0	0
406	4	6	1	0	4005001	1	10000	4003001	1	10000
407	4	7	1	0	4005001	1	10000	4003001	2	10000
408	4	8	1	0	4005001	1	10000	4003001	3	10000
409	4	9	1	0	4005001	1	10000	4003001	4	10000
410	4	10	1	0	4005001	1	10000	4003001	5	10000
411	4	11	1	0	4005001	1	10000	4003001	6	10000
412	4	12	1	0	4005001	1	10000	4003001	7	10000
500	5	0	1	0	4005001	1	10000	4003001	0	0
501	5	1	1	0	4005001	1	10000	4003001	0	0
502	5	2	1	0	4005001	1	10000	4003001	0	0
503	5	3	1	0	4005001	1	10000	4003001	0	0
504	5	4	1	0	4005001	1	10000	4003001	0	0
505	5	5	1	0	4005001	1	10000	4003001	0	0
506	5	6	1	0	4005001	1	10000	4003001	1	10000
507	5	7	1	0	4005001	1	10000	4003001	2	10000
508	5	8	1	0	4005001	1	10000	4003001	3	10000
509	5	9	1	0	4005001	1	10000	4003001	4	10000
510	5	10	1	0	4005001	1	10000	4003001	5	10000
511	5	11	1	0	4005001	1	10000	4003001	6	10000
512	5	12	1	0	4005001	1	10000	4003001	7	10000
