//当前个数	成功率	升星需要的钱类型	升星需要需要金钱	升星需要的材料ID	升星材料数量	洗星需要的钱类型	洗星需要需要金钱	洗星需要的材料ID	洗星材料数量	失败是否需要降星	可用保护材料	扣除保护材料数量	可用幸运符材料	扣除幸运符材料数量	使用幸运符的成功率
0	10000	1	1000	4002001	1	1	1000	4020002	1	0	4004001	1	4003001	1	500
1	10000	1	1000	4002001	1	1	1000	4020002	1	0	4004001	1	4003001	1	500
2	9000	1	1000	4002001	1	1	1000	4020002	1	1	4004001	1	4003001	1	500
3	7500	1	1000	4002001	1	1	1000	4020002	1	1	4004001	1	4003001	1	500
4	6000	1	1000	4002001	1	1	1000	4020002	1	1	4004001	1	4003001	1	500
5	4500	1	1000	4002001	1	1	1000	4020002	1	1	4004001	1	4003001	1	500
6	3000	1	1000	4002001	1	1	1000	4020002	1	1	4004001	1	4003001	1	500
7	2000	1	1000	4002001	1	1	1000	4020002	1	1	4004001	1	4003001	1	500
8	1500	1	1000	4002001	1	1	1000	4020002	1	1	4004001	1	4003001	1	500
9	1000	1	1000	4002001	1	1	1000	4020002	1	1	4004001	1	4003001	1	500
10	500	1	1000	4002001	1	1	1000	4020002	1	1	4004001	1	4003001	1	500
11	100	1	1000	4002001	1	1	1000	4020002	1	1	4004001	1	4003001	1	500
