//属性ID	装备类型	装备等级	装备品级	1阶增加的属性	2阶增加的属性	3阶增加的属性	4阶增加的属性	5阶增加的属性	6阶增加的属性	7阶增加的属性	8阶增加的属性	9阶增加的属性	10阶增加的属性
//武器													
10100101	101	1	1	0	1	2	3	4	5	6	7	8	9
10100102	101	1	2	0	2	3	4	5	6	7	8	9	10
10100103	101	1	3	0	3	4	5	6	7	8	9	10	11
10100104	101	1	4	0	4	5	6	7	8	9	10	11	12
10100105	101	1	5	0	5	6	7	8	9	10	11	12	13
10101001	101	10	1	0	6	7	8	9	10	11	12	13	14
10101002	101	10	2	0	7	8	9	10	11	12	13	14	15
10101003	101	10	3	0	8	9	10	11	12	13	14	15	16
10101004	101	10	4	0	9	10	11	12	13	14	15	16	17
10101005	101	10	5	0	10	11	12	13	14	15	16	17	18
10102001	101	20	1	0	11	12	13	14	15	16	17	18	19
10102002	101	20	2	0	12	13	14	15	16	17	18	19	20
10102003	101	20	3	0	13	14	15	16	17	18	19	20	21
10102004	101	20	4	0	14	15	16	17	18	19	20	21	22
10102005	101	20	5	0	15	16	17	18	19	20	21	22	23
10103001	101	30	1	0	16	17	18	19	20	21	22	23	24
10103002	101	30	2	0	17	18	19	20	21	22	23	24	25
10103003	101	30	3	0	18	19	20	21	22	23	24	25	26
10103004	101	30	4	0	19	20	21	22	23	24	25	26	27
10103005	101	30	5	0	20	21	22	23	24	25	26	27	28
10104001	101	40	1	0	21	22	23	24	25	26	27	28	29
10104002	101	40	2	0	22	23	24	25	26	27	28	29	30
10104003	101	40	3	0	23	24	25	26	27	28	29	30	31
10104004	101	40	4	0	24	25	26	27	28	29	30	31	32
10104005	101	40	5	0	25	26	27	28	29	30	31	32	33
10105001	101	50	1	0	26	27	28	29	30	31	32	33	34
10105002	101	50	2	0	27	28	29	30	31	32	33	34	35
10105003	101	50	3	0	28	29	30	31	32	33	34	35	36
10105004	101	50	4	0	29	30	31	32	33	34	35	36	37
10105005	101	50	5	0	30	31	32	33	34	35	36	37	38
10106001	101	60	1	0	31	32	33	34	35	36	37	38	39
10106002	101	60	2	0	32	33	34	35	36	37	38	39	40
10106003	101	60	3	0	33	34	35	36	37	38	39	40	41
10106004	101	60	4	0	34	35	36	37	38	39	40	41	42
10106005	101	60	5	0	35	36	37	38	39	40	41	42	43
10106501	101	65	1	0	36	37	38	39	40	41	42	43	44
10106502	101	65	2	0	37	38	39	40	41	42	43	44	45
10106503	101	65	3	0	38	39	40	41	42	43	44	45	46
10106504	101	65	4	0	39	40	41	42	43	44	45	46	47
10106505	101	65	5	0	40	41	42	43	44	45	46	47	48
10107001	101	70	1	0	41	42	43	44	45	46	47	48	49
10107002	101	70	2	0	42	43	44	45	46	47	48	49	50
10107003	101	70	3	0	43	44	45	46	47	48	49	50	51
10107004	101	70	4	0	44	45	46	47	48	49	50	51	52
10107005	101	70	5	0	45	46	47	48	49	50	51	52	53
10107501	101	75	1	0	46	47	48	49	50	51	52	53	54
10107502	101	75	2	0	47	48	49	50	51	52	53	54	55
10107503	101	75	3	0	48	49	50	51	52	53	54	55	56
10107504	101	75	4	0	49	50	51	52	53	54	55	56	57
10107505	101	75	5	0	50	51	52	53	54	55	56	57	58
//头盔													
10200101	102	1	1	0	1	2	3	4	5	6	7	8	9
10200102	102	1	2	0	2	3	4	5	6	7	8	9	10
10200103	102	1	3	0	3	4	5	6	7	8	9	10	11
10200104	102	1	4	0	4	5	6	7	8	9	10	11	12
10200105	102	1	5	0	5	6	7	8	9	10	11	12	13
10201001	102	10	1	0	6	7	8	9	10	11	12	13	14
10201002	102	10	2	0	7	8	9	10	11	12	13	14	15
10201003	102	10	3	0	8	9	10	11	12	13	14	15	16
