//属性ID	装备类型	装备等级	装备品级(颜色)	1阶增加的属性	2阶增加的属性	3阶增加的属性	4阶增加的属性	5阶增加的属性	6阶增加的属性	7阶增加的属性	8阶增加的属性	9阶增加的属性	10阶增加的属性	1星增加属性	2星增加属性	3星增加属性	4星增加属性	5星增加属性	6星增加属性	7星增加属性	8星增加属性	9星增加属性	10星增加属性	11星增加属性	12星增加属性	生命下限	生命上限	机率	精炼+生命	内力下限	内力上限	机率	精炼+内力	体力下限	体力上限	机率	精炼+体力	攻击下限	攻击上限	机率	精炼+攻击	防御下限	防御上限	机率	精炼+防御	暴击下限	暴击上限	机率	精炼+暴击	闪避下限	闪避上限	机率	精炼+闪避	移动速度下限	移动速度上限	机率	精炼+移动	攻击速度下限	攻击速度上限	机率	精炼+攻击	伤害减免下限	伤害减免上限	机率	精炼+伤害	绝对伤害下限	绝对伤害上限	机率	精炼+绝对伤害	防御无视下限	防御无视上限	机率	精炼+防御	暴击倍数下限	暴击倍数上限	机率	精炼+暴击	冰伤害下限	冰伤害上限	机率	精炼+冰伤害	冰抗性下限	冰抗性上限	机率	精炼+冰抗性	火伤害下限	火伤害上限	机率	精炼+火伤	火抗性下限	火抗性上限	机率	精炼+火抗性	玄伤害下限	玄伤害上限	机率	精炼+玄伤害	玄抗性下限	玄抗性上限	机率	精炼+玄抗性	毒伤害下限	毒伤害上限	机率	精炼+毒伤害	毒抗性下限	毒抗性上限	机率	精炼+毒伤害	随机出1条附加属性几率	出2条附加属性几率	出3条附加属性几率	出4条附加属性几率	出5条附加属性几率	出6条附加属性几率	洗练道具ID	洗练需要的道具数量	洗练需要的钱	洗练可用锁定石ID	洗练扣除可用锁定石数量	精炼道具ID	精炼需要的道具数量	精炼需要的钱
//武器																																																																																																																											
10101001	101	10	1	0	3	5	7	10	13	16	19	23	27	2	5	8	10	13	16	18	21	24	26	26	26	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10101002	101	10	2	0	6	10	15	20	26	32	39	47	54	4	8	12	16	20	24	28	32	36	40	40	40	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10101003	101	10	3	0	10	16	23	31	39	49	59	70	82	6	12	18	24	30	36	42	48	54	60	60	60	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10101004	101	10	4	0	13	21	31	41	53	65	79	94	109	8	17	26	35	43	52	61	70	78	87	87	87	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10101005	101	10	5	0	16	27	39	52	66	82	99	117	137	12	24	36	48	60	72	84	96	109	121	121	121	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10102001	101	20	1	0	6	9	13	17	21	25	30	35	40	4	8	13	17	21	26	30	34	39	43	43	43	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10102002	101	20	2	0	12	18	26	34	42	51	60	70	81	6	13	19	26	32	39	45	52	58	65	65	65	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10102003	101	20	3	0	18	28	39	51	63	77	91	106	122	9	19	29	39	48	58	68	78	87	97	97	97	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10102004	101	20	4	0	24	37	52	68	84	102	121	141	162	14	28	42	56	70	84	98	112	127	141	141	141	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10102005	101	20	5	0	30	47	65	85	106	128	152	177	203	19	39	58	78	97	117	136	156	175	195	195	195	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
