//装备等阶	升级成功率	失败降阶概率	失败后销毁率	金钱类型	升级消耗金币	需要的材料ID	消耗的材料个数	可用幸运符ID	需要幸运符的数量	幸运符的成功率
1	10000	0	0	1	10000	4007001	1	4003001	1	500
2	8000	0	0	1	20000	4007001	1	4003001	1	500
3	6600	0	0	1	40000	4007001	1	4003001	1	500
4	4200	0	0	1	80000	4007001	1	4003001	1	500
5	3200	0	0	1	100000	4007001	1	4003001	1	500
6	2400	0	0	1	140000	4007001	1	4003001	1	500
7	1600	0	0	1	180000	4007001	1	4003001	1	500
8	700	0	0	1	220000	4007001	1	4003001	1	500
9	400	0	0	1	300000	4007001	1	4003001	1	500
10	0	0	0	1	0	4007001	1	4003001	1	500
