//属性ID	装备等级	装备品质	装备等阶	生命值	内力值	体力值	攻击值	防御值	暴击值	闪避值	移动速度	攻击速度	伤害减免	绝对伤害	防御无视值	暴击倍数	 冰伤害	冰抗性	火伤害	火抗性	玄伤害	玄抗性	毒伤害	毒抗性
//绿色																								
10201	10	2	1	7	1	0	1	0	0	0	1	1	0	0	1	5	0	0	0	0	0	0	0	0
10202	10	2	2	15	3	0	2	1	0	1	2	2	1	0	2	11	0	0	0	0	0	0	0	0
10203	10	2	3	22	4	0	3	2	1	1	3	3	1	1	4	16	0	0	0	0	0	0	0	0
10204	10	2	4	30	6	1	4	2	1	2	4	4	2	1	5	22	0	0	0	0	0	0	0	0
10205	10	2	5	38	8	1	5	3	1	2	5	5	2	1	6	27	0	0	0	0	0	0	0	0
10206	10	2	6	45	9	1	6	4	2	3	6	6	3	1	7	32	0	0	0	0	0	0	0	0
10207	10	2	7	53	11	2	7	5	2	3	6	6	3	2	9	38	0	0	0	0	0	0	0	0
10208	10	2	8	60	12	2	8	5	2	4	7	7	4	2	10	43	0	0	0	0	0	0	0	0
10209	10	2	9	68	14	2	9	6	3	5	8	8	4	2	11	48	0	0	0	0	0	0	0	0
10210	10	2	10	76	16	3	10	7	3	5	9	9	5	2	12	54	0	0	0	0	0	0	0	0
20201	20	2	1	13	2	0	1	1	0	0	1	1	1	0	2	8	0	0	0	0	0	0	0	0
20202	20	2	2	26	5	0	3	2	1	1	3	3	1	1	4	16	0	0	0	0	0	0	0	0
20203	20	2	3	39	7	1	5	3	1	2	4	4	2	1	6	24	0	0	0	0	0	0	0	0
20204	20	2	4	52	10	1	6	4	2	3	6	6	3	1	7	32	0	0	0	0	0	0	0	0
20205	20	2	5	65	12	2	8	5	3	4	7	7	4	2	9	40	0	0	0	0	0	0	0	0
20206	20	2	6	78	15	2	10	7	3	5	8	8	4	2	11	48	0	0	0	0	0	0	0	0
20207	20	2	7	91	17	3	12	8	4	6	10	10	5	3	13	57	0	0	0	0	0	0	0	0
20208	20	2	8	104	20	3	13	9	4	7	11	11	6	3	15	65	0	0	0	0	0	0	0	0
20209	20	2	9	117	23	4	15	10	5	8	12	12	7	3	17	73	0	0	0	0	0	0	0	0
20210	20	2	10	130	25	4	17	11	6	9	14	14	7	4	18	81	0	0	0	0	0	0	0	0
30201	30	2	1	18	3	0	2	1	0	1	2	2	1	0	2	11	0	0	0	0	0	0	0	0
30202	30	2	2	36	7	1	4	3	1	2	4	4	2	1	5	22	0	0	0	0	0	0	0	0
30203	30	2	3	55	10	1	7	4	2	3	6	6	3	1	7	32	0	0	0	0	0	0	0	0
30204	30	2	4	73	14	2	9	6	3	5	7	7	4	2	10	43	0	0	0	0	0	0	0	0
30205	30	2	5	92	17	2	12	8	4	6	9	9	5	2	12	54	0	0	0	0	0	0	0	0
30206	30	2	6	110	21	3	14	9	5	7	11	11	6	3	15	65	0	0	0	0	0	0	0	0
30207	30	2	7	129	24	4	17	11	6	9	13	13	7	3	17	75	0	0	0	0	0	0	0	0
30208	30	2	8	147	28	4	19	12	6	10	15	15	8	4	20	86	0	0	0	0	0	0	0	0
30209	30	2	9	166	31	5	22	14	7	11	17	17	9	4	22	97	0	0	0	0	0	0	0	0
30210	30	2	10	184	35	5	24	16	8	13	18	18	10	5	25	108	0	0	0	0	0	0	0	0
40201	40	2	1	23	4	0	3	2	1	1	2	2	1	1	3	13	0	0	0	0	0	0	0	0
40202	40	2	2	47	8	1	6	4	2	3	5	5	2	1	6	27	0	0	0	0	0	0	0	0
40203	40	2	3	71	13	2	9	6	3	5	7	7	4	2	9	40	0	0	0	0	0	0	0	0
40204	40	2	4	95	17	2	12	8	4	6	9	9	5	2	12	54	0	0	0	0	0	0	0	0
40205	40	2	5	119	22	3	15	10	5	8	12	12	6	3	15	67	0	0	0	0	0	0	0	0
