//名称	编号	脚本ID	品质（白绿蓝紫橙）	类型	物品模型编号(男)	物品模型编号(女)	最大耐久度	耐久改变方式	耐久改变数	叠加数量	购入货币类型	购买价格	出售货币类型	出售价格	使用门派	等级需求	性别需求	可否锻造(升品质)	可否强化	可否鉴定(重置属性条数)重置	可否洗练	可否精炼(升星)	可否升级(如:20升级30级)	可否打孔	可否摘宝石	可否洗星	可否丢弃	可否卖店	可否交易	可否修理	可否存仓库	死亡掉落	可否使用	可否鉴定	冷却时间	冷却组	吟唱时间（毫秒）	道具颜色类型	任务关联	任务关联数量	图标编号	地上模型号	宝石类型	绑定类型（）	物品说明
人族长枪	110101	0	1	101	151	151	100	0	0	1	1	5	0	5	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110101	1	0	1	人族战士经常使用的普通武器
银饰长枪	110102	0	2	101	152	152	100	0	0	1	1	5	0	5	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110101	1	0	1	用纯银灌注对恶魔有额外杀伤力
黄金长枪	110103	0	3	101	152	152	100	0	0	1	1	5	0	5	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110101	1	0	1	用黄金打造武器对所有生物都有强大杀伤力
水晶长枪	110104	0	4	101	152	152	100	0	0	1	1	5	0	5	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110102	1	0	1	采用远古水晶锻造的武器，晶莹剔透无比锋利
圣翼长枪	110105	0	5	101	152	152	100	0	0	1	1	5	0	5	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110102	1	0	1	第一次混沌战争中勇者说实用的武器，当你握住她将获得无穷的力量
神喻长枪	110106	0	6	101	152	152	100	0	0	1	1	5	0	5	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110102	1	0	1	被天使祝福过的武器，圣光会始终环绕在武器周围
秩序长枪	110107	0	7	101	152	152	100	0	0	1	1	5	0	5	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110103	1	0	1	象征秩序和自由的武器，只有无比的勇气和智慧才能驾驭她。
王权长枪	110108	0	8	101	152	152	100	0	0	1	1	5	0	5	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110103	1	0	1	象征权利和勇气的武器，当你使用她是会看到王者的英灵
皇族长枪	110109	0	9	101	152	152	100	0	0	1	1	5	0	5	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110104	1	0	1	刻有伟大皇族徽记的圣器，当你握住她是也同时证明你有统治人类的权利。
诸神长枪	110110	0	10	101	152	152	100	0	0	1	1	5	0	5	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110105	1	0	1	第一次混沌战争中，诸神所佩神器，被神之血灌注拥有无比强大的能力！
注灵之戟	110201	0	1	112	0	0	100	0	0	1	1	5	0	5	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110001	1	0	1	用来禁锢征服的灵魂，获得英雄变身
纯银之戟	110202	0	2	112	0	0	100	0	0	1	1	5	0	5	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110001	1	0	1	纯银打造，用户灌注英雄之魂的容器，装备后可获得变身能力
黄金之戟	110203	0	3	112	0	0	100	0	0	1	1	5	0	5	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110001	1	0	1	使用黄金打造，用于收藏英雄之魂的华丽容器，装备后可获得变身能力
水晶之戟	110204	0	4	112	0	0	100	0	0	1	1	5	0	5	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110001	1	0	1	采用远古水晶锻造的武器，装备后可获得变身能力
圣翼之戟	110205	0	5	112	0	0	100	0	0	1	1	5	0	5	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110001	1	0	1	刻有天使之翼的圣器，据说封印了天使之魂。装备后可获得变身能力
神喻之戟	110206	0	6	112	0	0	100	0	0	1	1	5	0	5	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110001	1	0	1	被众神祝福过得圣器，装备后可获得变身能力
秩序之戟	110207	0	7	112	0	0	100	0	0	1	1	5	0	5	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110001	1	0	1	封印了秩序之神的容器，装备后可获得变身能力
王权之戟	110208	0	8	112	0	0	100	0	0	1	1	5	0	5	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110001	1	0	1	封印了人类王者的容器，装备后可获得变身能力
皇族之戟	110209	0	9	112	0	0	100	0	0	1	1	5	0	5	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110001	1	0	1	刻有皇族徽记的容器，装备后可获得变身能力
诸神之戟	110210	0	10	112	0	0	100	0	0	1	1	5	0	5	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110001	1	0	1	传说在第一次混沌战争中诸神使用的圣器，装备后可获得变身能力
信赖权杖	110301	0	1	113	0	0	100	0	0	1	1	5	0	5	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110002	1	0	1	战士徽章，获得英雄跟随
纯银权杖	110302	0	2	113	0	0	100	0	0	1	1	5	0	5	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110002	1	0	1	用纯银雕饰的徽记，装备后开启英雄跟随。
黄金权杖	110303	0	3	113	0	0	100	0	0	1	1	5	0	5	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110002	1	0	1	使用黄金打造的徽记，装备后开启英雄跟随。
水晶权杖	110304	0	4	113	0	0	100	0	0	1	1	5	0	5	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110002	1	0	1	镶嵌有远古水晶的徽记，装备后开启英雄跟随。
圣翼权杖	110305	0	5	113	0	0	100	0	0	1	1	5	0	5	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110002	1	0	1	镶嵌有天使之翼的徽记，装备后开启英雄跟随。
神喻权杖	110306	0	6	113	0	0	100	0	0	1	1	5	0	5	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110002	1	0	1	刻有无上神预的徽记，装备后开启英雄跟随。
