//名称	ID	等级	品级	可骑乘人数	是否可升级	升级所需经验	移动速度（百分比）	属性下限	属性上限	属性下限	属性上限	属性下限	属性上限	属性下限	属性上限	属性下限	属性上限	属性下限	属性上限	属性下限	属性上限	模型ID	图片id
//【食草类】																							
灵犀	1	1	1	1	1	1000	80	20	30	20	30	20	30	20	30	20	30	20	30	20	30	2001	70001
三合马	1	2	1	1	1	1000	90	20	30	20	30	20	30	20	30	20	30	20	30	20	30	2001	70000
三合马	1	3	1	1	1	1000	100	20	30	20	30	20	30	20	30	20	30	20	30	20	30	2001	70000
三合马	1	4	1	1	1	1000	110	20	30	20	30	20	30	20	30	20	30	20	30	20	30	2001	70000
三合马	1	5	1	1	1	1000	120	20	30	20	30	20	30	20	30	20	30	20	30	20	30	2001	70000
三合马	1	6	1	1	1	1000	130	20	30	20	30	20	30	20	30	20	30	20	30	20	30	2001	70000
三合马	1	7	1	1	1	1000	140	20	30	20	30	20	30	20	30	20	30	20	30	20	30	2001	70000
三合马	1	8	1	1	1	1000	150	20	30	20	30	20	30	20	30	20	30	20	30	20	30	2001	70000
三合马	1	9	1	1	1	0	150	20	30	20	30	20	30	20	30	20	30	20	30	20	30	2001	70000
雕	2	1	1	1	1	1000	80	20	30	20	30	20	30	20	30	20	30	20	30	20	30	2001	70000
雕	2	2	1	1	1	1000	90	20	30	20	30	20	30	20	30	20	30	20	30	20	30	2001	70000
雕	2	3	1	1	1	1000	100	20	30	20	30	20	30	20	30	20	30	20	30	20	30	2001	70000
雕	2	4	1	1	1	1000	110	20	30	20	30	20	30	20	30	20	30	20	30	20	30	2001	70000
雕	2	5	1	1	1	1000	120	20	30	20	30	20	30	20	30	20	30	20	30	20	30	2001	70000
雕	2	6	1	1	1	1000	130	20	30	20	30	20	30	20	30	20	30	20	30	20	30	2001	70000
雕	2	7	1	1	1	1000	140	20	30	20	30	20	30	20	30	20	30	20	30	20	30	2001	70000
雕	2	8	1	1	1	1000	150	20	30	20	30	20	30	20	30	20	30	20	30	20	30	2001	70000
雕	2	9	1	1	1	0	150	20	30	20	30	20	30	20	30	20	30	20	30	20	30	2001	70000
屁狐狸	3	1	1	1	1	1000	80	20	30	20	30	20	30	20	30	20	30	20	30	20	30	2001	70000
屁狐狸	3	2	1	1	1	1000	90	20	30	20	30	20	30	20	30	20	30	20	30	20	30	2001	70000
屁狐狸	3	3	1	1	1	1000	100	20	30	20	30	20	30	20	30	20	30	20	30	20	30	2001	70000
屁狐狸	3	4	1	1	1	1000	110	20	30	20	30	20	30	20	30	20	30	20	30	20	30	2001	70000
屁狐狸	3	5	1	1	1	1000	120	20	30	20	30	20	30	20	30	20	30	20	30	20	30	2001	70000
屁狐狸	3	6	1	1	1	1000	130	20	30	20	30	20	30	20	30	20	30	20	30	20	30	2001	70000
屁狐狸	3	7	1	1	1	1000	140	20	30	20	30	20	30	20	30	20	30	20	30	20	30	2001	70000
屁狐狸	3	8	1	1	1	1000	150	20	30	20	30	20	30	20	30	20	30	20	30	20	30	2001	70000
屁狐狸	3	9	1	1	1	0	150	20	30	20	30	20	30	20	30	20	30	20	30	20	30	2001	70000
草泥马	4	1	1	1	1	1000	80	20	30	20	30	20	30	20	30	20	30	20	30	20	30	2001	70000
草泥马	4	2	1	1	1	1000	90	20	30	20	30	20	30	20	30	20	30	20	30	20	30	2001	70000
草泥马	4	3	1	1	1	1000	100	20	30	20	30	20	30	20	30	20	30	20	30	20	30	2001	70000
草泥马	4	4	1	1	1	1000	110	20	30	20	30	20	30	20	30	20	30	20	30	20	30	2001	70000
草泥马	4	5	1	1	1	1000	120	20	30	20	30	20	30	20	30	20	30	20	30	20	30	2001	70000
草泥马	4	6	1	1	1	1000	130	20	30	20	30	20	30	20	30	20	30	20	30	20	30	2001	70000
草泥马	4	7	1	1	1	1000	140	20	30	20	30	20	30	20	30	20	30	20	30	20	30	2001	70000
草泥马	4	8	1	1	1	1000	150	20	30	20	30	20	30	20	30	20	30	20	30	20	30	2001	70000
草泥马	4	9	1	1	1	0	150	20	30	20	30	20	30	20	30	20	30	20	30	20	30	2001	70000
